序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-21,135.832,18226.11,129.82,-29.63%,4.63%,58.960,2.27%,8.01
2,2026-01-20,136.593,35810.85,131.77,-30.12%,3.66%,58.960,4.43%,8.13
3,2026-01-19,136.766,32827.32,125.61,-30.14%,8.88%,58.960,4.07%,7.75
4,2026-01-16,134.512,20765.51,120.42,-28.05%,11.70%,58.960,2.61%,7.43
5,2026-01-15,134.999,18383.96,122.20,-28.33%,10.47%,58.960,2.32%,7.54
6,2026-01-14,133.966,27502.32,122.53,-27.41%,9.33%,58.960,3.45%,7.56
7,2026-01-13,135.126,25560.85,126.09,-28.22%,7.16%,58.960,3.20%,7.78
8,2026-01-12,136.549,26855.88,127.72,-29.21%,6.92%,58.960,3.33%,7.88
9,2026-01-09,136.141,22201.20,129.17,-28.59%,5.39%,58.960,2.77%,7.97
10,2026-01-08,135.932,36579.02,129.82,-28.33%,4.71%,58.960,4.57%,8.01
11,2026-01-07,136.394,39237.32,132.09,-28.57%,3.26%,58.960,4.85%,8.15
12,2026-01-06,137.305,65786.20,131.12,-29.14%,4.72%,58.960,8.11%,8.09
13,2026-01-05,138.453,28340.04,130.96,-29.87%,5.72%,58.960,3.49%,8.08
14,2025-12-31,137.537,34991.67,129.82,-28.70%,5.94%,58.960,4.33%,8.01
15,2025-12-30,135.731,19098.33,124.15,-27.30%,9.33%,58.960,2.39%,7.66
16,2025-12-29,135.878,29874.39,125.45,-27.31%,8.32%,58.960,3.72%,7.74
17,2025-12-26,134.942,17741.01,121.88,-26.35%,10.72%,58.960,2.22%,7.52
18,2025-12-25,135.671,18988.22,123.02,-26.79%,10.29%,58.960,2.38%,7.59
19,2025-12-24,134.243,25214.50,123.18,-25.66%,8.98%,58.960,3.20%,7.60
20,2025-12-23,133.795,20276.27,122.20,-25.24%,9.48%,58.960,2.56%,7.54
21,2025-12-22,134.970,15869.52,123.99,-26.01%,8.86%,58.960,1.98%,7.65
22,2025-12-19,136.281,23503.38,124.80,-26.68%,9.20%,58.960,2.93%,7.70
23,2025-12-18,135.654,21968.68,123.02,-26.15%,10.27%,58.960,2.76%,7.59
24,2025-12-17,133.688,29919.24,121.39,-24.66%,10.13%,58.960,3.81%,7.49
25,2025-12-16,130.836,15462.20,114.26,-22.48%,14.50%,58.960,2.01%,7.05
26,2025-12-15,129.901,7286.29,112.97,-21.70%,14.99%,58.960,0.95%,6.97
27,2025-12-12,129.672,19726.73,112.16,-21.31%,15.62%,58.960,2.58%,6.92
28,2025-12-11,128.464,11694.00,110.70,-20.33%,16.05%,58.960,1.54%,6.83
29,2025-12-10,129.728,11979.03,113.13,-21.22%,14.67%,58.960,1.57%,6.98
30,2025-12-09,128.684,23060.01,111.83,-20.36%,15.07%,58.960,3.03%,6.90
