序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,126.283,6366.00,51.48,-28.52%,145.29%,18.424,2.72%,17.02
2,2026-05-20,126.650,3125.83,50.36,-28.91%,151.47%,18.424,1.34%,16.65
3,2026-05-19,125.972,4810.93,49.61,-27.71%,153.94%,18.424,2.08%,16.40
4,2026-05-18,124.494,4007.61,48.94,-25.29%,154.37%,18.424,1.74%,16.18
5,2026-05-15,125.300,5079.39,49.97,-26.06%,150.75%,18.424,2.18%,16.52
6,2026-05-14,126.998,2587.08,50.12,-28.41%,153.38%,18.424,1.10%,16.57
7,2026-05-13,128.015,2487.33,51.27,-29.69%,149.69%,18.424,1.06%,16.95
8,2026-05-12,128.312,4439.70,51.69,-29.94%,148.22%,18.424,1.88%,17.09
9,2026-05-11,129.203,10954.35,52.81,-31.00%,144.64%,18.424,4.61%,17.46
10,2026-05-08,127.842,2232.01,49.76,-28.62%,156.93%,18.424,0.95%,16.45
11,2026-05-07,127.878,6612.70,49.55,-28.51%,158.10%,18.424,2.80%,16.38
12,2026-05-06,127.180,6202.88,48.70,-27.39%,161.15%,18.424,2.64%,16.10
13,2026-04-30,127.000,3970.42,49.27,-26.27%,157.74%,18.424,1.69%,16.29
14,2026-04-29,127.081,3400.62,48.40,-26.24%,162.58%,18.424,1.44%,16.00
15,2026-04-28,128.010,3639.98,47.79,-27.31%,167.85%,18.424,1.54%,15.80
16,2026-04-27,127.655,4811.49,47.73,-26.71%,167.44%,18.424,2.05%,15.78
17,2026-04-24,126.271,5312.66,47.55,-24.50%,165.55%,18.424,2.28%,15.72
18,2026-04-23,126.850,3090.90,48.82,-25.12%,159.83%,18.424,1.32%,16.14
19,2026-04-22,127.035,8102.12,49.27,-25.23%,157.81%,18.424,3.45%,16.29
20,2026-04-21,126.688,5351.38,49.15,-24.66%,157.74%,18.424,2.28%,16.25
21,2026-04-20,128.111,14894.24,49.70,-26.33%,157.78%,18.424,6.31%,16.43
22,2026-04-17,128.608,26868.74,51.06,-26.54%,151.88%,18.424,11.27%,16.88
23,2026-04-16,126.929,6770.56,49.27,-24.34%,157.60%,18.424,2.90%,16.29
24,2026-04-15,126.224,12640.30,49.94,-23.34%,152.75%,18.424,5.43%,16.51
25,2026-04-14,125.131,10880.07,48.67,-21.85%,157.11%,18.424,4.75%,16.09
26,2026-04-13,122.943,2478.55,47.91,-18.93%,156.60%,18.424,1.10%,15.84
27,2026-04-10,122.299,7908.39,48.97,-17.82%,149.73%,18.424,3.48%,16.19
28,2026-04-09,122.990,5478.80,47.67,-18.62%,158.00%,18.424,2.42%,15.76
29,2026-04-08,122.438,7136.68,48.58,-17.83%,152.04%,18.424,3.15%,16.06
30,2026-04-07,120.822,3845.85,47.97,-15.64%,151.85%,18.424,1.73%,15.86
