序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,218.175,5801.76,209.84,-99.44%,3.97%,6.685,3.95%,10.24
2,2026-05-20,219.726,6446.01,215.57,-99.60%,1.93%,6.685,4.39%,10.52
3,2026-05-19,221.945,5959.60,213.53,-100.06%,3.94%,6.685,4.04%,10.42
4,2026-05-18,218.543,4083.00,211.07,-98.00%,3.54%,6.685,2.78%,10.30
5,2026-05-15,218.963,4896.58,211.48,-96.61%,3.54%,6.685,3.34%,10.32
6,2026-05-14,219.994,8894.83,212.09,-96.56%,3.73%,6.685,6.02%,10.35
7,2026-05-13,223.397,5048.82,213.12,-97.52%,4.82%,6.685,3.39%,10.40
8,2026-05-12,223.527,7455.29,213.53,-97.06%,4.68%,6.685,4.96%,10.42
9,2026-05-11,224.987,5229.63,211.27,-97.16%,6.49%,6.685,3.48%,10.31
10,2026-05-08,223.261,4442.78,207.79,-94.97%,7.45%,6.685,2.99%,10.14
11,2026-05-07,220.964,5941.91,206.97,-93.52%,6.76%,6.685,4.02%,10.10
12,2026-05-06,220.190,5702.51,205.33,-92.72%,7.24%,6.685,3.89%,10.02
13,2026-04-30,220.564,4049.11,210.66,-90.13%,4.70%,6.685,2.74%,10.28
14,2026-04-29,223.432,5922.12,211.48,-90.84%,5.65%,6.685,3.95%,10.32
15,2026-04-28,225.483,5243.36,215.37,-91.20%,4.70%,6.685,3.47%,10.51
16,2026-04-27,225.427,4842.44,212.91,-90.72%,5.88%,6.685,3.23%,10.39
17,2026-04-24,223.512,5111.96,211.07,-88.69%,5.90%,6.685,3.44%,10.30
18,2026-04-23,220.867,6109.83,209.43,-87.25%,5.46%,6.685,4.15%,10.22
19,2026-04-22,218.160,3396.64,204.71,-85.76%,6.57%,6.685,2.33%,9.99
20,2026-04-21,215.266,7129.46,201.84,-84.20%,6.65%,6.685,4.94%,9.85
21,2026-04-20,215.870,4171.14,199.80,-84.04%,8.05%,6.685,2.88%,9.75
22,2026-04-17,217.364,7071.52,201.43,-83.46%,7.91%,6.685,4.86%,9.83
23,2026-04-16,216.091,8017.74,201.23,-82.58%,7.39%,6.685,5.56%,9.82
24,2026-04-15,216.361,4386.50,204.10,-82.30%,6.01%,6.685,3.03%,9.96
25,2026-04-14,213.976,6802.95,200.21,-80.99%,6.88%,6.685,4.81%,9.77
26,2026-04-13,209.988,4784.97,199.59,-79.01%,5.21%,6.685,3.40%,9.74
27,2026-04-10,211.675,6499.30,200.41,-78.62%,5.62%,6.685,4.54%,9.78
28,2026-04-09,212.569,4304.82,196.72,-78.63%,8.06%,6.685,3.02%,9.60
29,2026-04-08,215.542,6514.92,199.39,-79.44%,8.10%,6.685,4.55%,9.73
30,2026-04-07,208.184,5090.00,195.49,-76.17%,6.49%,6.685,3.64%,9.54
