序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,129.835,3557.47,92.97,-7.75%,39.66%,9.151,2.99%,6.61
2,2026-02-12,130.024,2401.96,93.95,-7.82%,38.39%,9.151,2.01%,6.68
3,2026-02-11,130.438,2891.24,95.36,-7.96%,36.79%,9.151,2.42%,6.78
4,2026-02-10,130.211,3322.26,95.22,-7.86%,36.75%,9.151,2.78%,6.77
5,2026-02-09,130.800,3135.23,96.06,-8.08%,36.16%,9.151,2.62%,6.83
6,2026-02-06,130.138,3940.73,95.92,-7.79%,35.67%,9.151,3.32%,6.82
7,2026-02-05,129.640,4722.54,96.77,-7.59%,33.97%,9.151,3.99%,6.88
8,2026-02-04,130.020,5211.10,96.62,-7.73%,34.56%,9.151,4.40%,6.87
9,2026-02-03,129.334,6057.10,95.64,-7.46%,35.23%,9.151,5.14%,6.80
10,2026-02-02,127.522,7177.83,95.64,-6.75%,33.34%,9.151,6.11%,6.80
11,2026-01-30,129.598,6489.59,98.17,-7.51%,32.01%,9.151,5.45%,6.98
12,2026-01-29,130.976,7469.17,98.73,-8.02%,32.66%,9.151,6.23%,7.02
13,2026-01-28,130.491,4920.94,96.91,-7.83%,34.66%,9.151,4.14%,6.89
14,2026-01-27,128.907,4595.85,95.78,-7.22%,34.59%,9.151,3.90%,6.81
15,2026-01-26,129.206,6181.06,96.77,-7.32%,33.53%,9.151,5.20%,6.88
16,2026-01-23,130.444,7725.63,97.05,-7.76%,34.41%,9.151,6.47%,6.90
17,2026-01-22,130.287,8590.33,98.59,-7.69%,32.15%,9.151,7.19%,7.01
18,2026-01-21,129.394,8271.13,97.05,-7.34%,33.33%,9.151,6.99%,6.90
19,2026-01-20,128.457,5504.11,96.20,-6.98%,33.53%,9.151,4.67%,6.84
20,2026-01-19,128.155,4239.70,95.36,-6.86%,34.39%,9.151,3.62%,6.78
21,2026-01-16,127.183,3405.75,93.81,-6.46%,35.57%,9.151,2.92%,6.67
22,2026-01-15,127.288,4842.96,94.66,-6.49%,34.48%,9.151,4.17%,6.73
23,2026-01-14,127.393,5688.17,94.94,-6.52%,34.19%,9.151,4.86%,6.75
24,2026-01-13,127.615,4658.76,95.50,-6.60%,33.63%,9.151,3.98%,6.79
25,2026-01-12,128.584,8699.95,95.22,-6.95%,35.04%,9.151,7.40%,6.77
26,2026-01-09,127.895,3266.10,95.08,-6.67%,34.52%,9.151,2.79%,6.76
27,2026-01-08,127.418,4433.82,94.94,-6.48%,34.21%,9.151,3.80%,6.75
28,2026-01-07,127.352,5589.97,94.37,-6.45%,34.94%,9.151,4.81%,6.71
29,2026-01-06,126.812,4876.98,93.81,-6.24%,35.18%,9.151,4.21%,6.67
30,2026-01-05,125.842,4278.20,93.53,-5.86%,34.55%,9.151,3.72%,6.65
