序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,121.783,15886.69,53.35,-4.81%,128.26%,119.831,1.08%,18.46
2,2026-03-19,123.716,12686.99,52.31,-5.59%,136.50%,119.831,0.86%,18.10
3,2026-03-18,124.880,12938.93,53.04,-6.04%,135.47%,119.831,0.87%,18.35
4,2026-03-17,124.000,20414.87,53.30,-5.68%,132.67%,119.831,1.36%,18.44
5,2026-03-16,126.028,15037.01,54.31,-6.47%,132.07%,119.831,1.00%,18.79
6,2026-03-13,126.811,14022.49,55.84,-6.74%,127.10%,119.831,0.92%,19.32
7,2026-03-12,126.660,27757.09,56.50,-6.67%,124.17%,119.831,1.82%,19.55
8,2026-03-11,127.542,35607.62,53.82,-7.00%,137.00%,119.831,2.33%,18.62
9,2026-03-10,126.596,0.00,52.49,-6.63%,141.20%,119.831,0.00%,18.16
10,2026-03-09,126.596,0.00,52.49,-6.62%,141.20%,119.831,0.00%,18.16
11,2026-03-06,126.596,0.00,52.49,-6.59%,141.20%,119.831,0.00%,18.16
12,2026-03-05,126.596,0.00,52.49,-6.58%,141.20%,119.831,0.00%,18.16
13,2026-03-04,126.596,0.00,52.49,-6.58%,141.20%,119.831,0.00%,18.16
14,2026-03-03,126.596,0.00,52.49,-6.57%,141.20%,119.831,0.00%,18.16
15,2026-03-02,126.596,0.00,52.49,-6.56%,141.20%,119.831,0.00%,18.16
16,2026-02-27,126.596,0.00,52.49,-6.53%,141.20%,119.831,0.00%,18.16
17,2026-02-26,126.596,0.00,52.49,-6.52%,141.20%,119.831,0.00%,18.16
18,2026-02-25,126.596,0.00,52.49,-6.51%,141.20%,119.831,0.00%,18.16
19,2026-02-24,126.596,12905.77,52.49,-6.50%,141.20%,119.831,0.85%,18.16
20,2026-02-13,126.964,7763.15,52.05,-5.99%,143.92%,119.831,0.51%,18.01
21,2026-02-12,126.092,6625.92,53.24,-5.66%,136.85%,119.831,0.44%,18.42
22,2026-02-11,126.046,6765.91,53.96,-5.63%,133.59%,119.831,0.45%,18.67
23,2026-02-10,125.559,11117.89,54.48,-5.44%,130.47%,119.831,0.74%,18.85
24,2026-02-09,125.400,11615.30,55.15,-5.37%,127.40%,119.831,0.77%,19.08
25,2026-02-06,124.439,15101.60,53.67,-4.99%,131.86%,119.831,1.02%,18.57
26,2026-02-05,123.768,13034.43,53.09,-4.73%,133.12%,119.831,0.88%,18.37
27,2026-02-04,124.324,12642.52,56.53,-4.93%,119.92%,119.831,0.85%,19.56
28,2026-02-03,124.004,21752.80,53.93,-4.80%,129.93%,119.831,1.47%,18.66
29,2026-02-02,122.275,14732.05,51.56,-4.13%,137.15%,119.831,1.00%,17.84
30,2026-01-30,123.881,19041.71,52.60,-4.73%,135.51%,119.831,1.28%,18.20
