序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-03,150.411,0.00,138.63,-10.59%,8.50%,0.028,0.00%,39.37
2,2026-03-02,150.411,0.00,150.35,-10.59%,0.04%,0.168,0.00%,42.70
3,2026-02-27,150.411,0.00,151.76,-10.59%,-0.89%,0.820,0.00%,43.10
4,2026-02-26,150.411,43489.22,150.99,-10.59%,-0.38%,1.422,200.59%,42.88
5,2026-02-25,153.696,189175.58,154.05,-11.34%,-0.23%,3.544,343.31%,43.75
6,2026-02-24,146.234,142871.29,146.30,-9.57%,-0.05%,5.804,173.11%,41.55
7,2026-02-13,132.685,26345.03,132.99,-5.97%,-0.23%,11.885,16.48%,37.77
8,2026-02-12,136.366,17400.30,136.55,-6.96%,-0.13%,12.869,9.93%,38.78
9,2026-02-11,135.723,40153.00,136.09,-6.78%,-0.27%,13.238,22.34%,38.65
10,2026-02-10,132.780,41791.40,132.92,-5.98%,-0.11%,14.935,21.05%,37.75
11,2026-02-09,134.063,35682.50,135.11,-6.32%,-0.77%,16.130,16.63%,38.37
12,2026-02-06,132.618,34526.82,132.39,-5.91%,0.17%,17.293,14.97%,37.60
13,2026-02-05,131.050,23174.10,131.16,-5.47%,-0.09%,20.170,8.69%,37.25
14,2026-02-04,133.584,31902.65,133.56,-6.16%,0.02%,21.014,11.37%,37.93
15,2026-02-03,134.677,50190.70,134.33,-6.45%,0.26%,21.400,17.75%,38.15
16,2026-02-02,129.209,59974.07,129.47,-4.94%,-0.20%,22.168,20.08%,36.77
17,2026-01-30,142.756,53665.69,142.85,-8.49%,-0.07%,22.907,16.28%,40.57
18,2026-01-29,147.852,56543.12,147.89,-9.70%,-0.02%,23.842,15.83%,42.00
19,2026-01-28,153.866,74597.96,153.73,-11.06%,0.09%,24.144,20.50%,43.66
20,2026-01-27,150.825,59718.45,150.60,-10.37%,0.15%,26.032,15.33%,42.77
21,2026-01-26,151.486,54070.47,151.76,-10.51%,-0.18%,26.573,13.37%,43.10
22,2026-01-23,149.284,37028.62,148.77,-9.98%,0.35%,27.030,9.23%,42.25
23,2026-01-22,147.967,59069.95,148.35,-9.66%,-0.25%,27.033,14.71%,42.13
24,2026-01-21,146.486,27651.03,146.69,-9.31%,-0.14%,27.940,6.75%,41.66
25,2026-01-20,147.253,33654.53,145.70,-9.48%,1.06%,27.997,8.18%,41.38
26,2026-01-19,147.969,43927.31,146.13,-9.64%,1.26%,27.997,10.66%,41.50
27,2026-01-16,145.153,49329.62,142.29,-8.95%,2.01%,27.997,12.22%,40.41
28,2026-01-15,145.587,80436.68,142.43,-9.04%,2.22%,27.997,19.20%,40.45
29,2026-01-14,156.755,38167.36,139.26,-11.53%,12.56%,27.997,8.78%,39.55
30,2026-01-13,153.958,35127.38,135.21,-10.92%,13.86%,27.997,8.06%,38.40
