序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,146.291,9964.15,115.61,-9.34%,26.54%,15.696,4.34%,20.29
2,2026-01-15,144.351,9599.17,111.68,-8.87%,29.25%,15.696,4.25%,19.60
3,2026-01-14,145.238,10137.91,111.51,-9.08%,30.25%,15.696,4.40%,19.57
4,2026-01-13,146.455,6410.94,113.62,-9.35%,28.90%,15.696,2.79%,19.94
5,2026-01-12,146.743,7834.15,114.99,-9.41%,27.62%,15.696,3.40%,20.18
6,2026-01-09,146.445,11250.75,115.67,-9.31%,26.61%,15.696,4.87%,20.30
7,2026-01-08,146.552,10330.53,116.52,-9.33%,25.77%,15.696,4.51%,20.45
8,2026-01-07,144.137,10528.88,113.50,-8.76%,26.99%,15.696,4.64%,19.92
9,2026-01-06,145.768,8291.04,114.64,-9.13%,27.15%,15.696,3.63%,20.12
10,2026-01-05,144.485,8088.31,115.50,-8.82%,25.10%,15.696,3.58%,20.27
11,2025-12-31,142.737,8473.58,114.53,-8.36%,24.63%,15.696,3.78%,20.10
12,2025-12-30,140.857,12431.20,113.22,-7.91%,24.41%,15.696,5.66%,19.87
13,2025-12-29,138.753,6380.13,109.46,-7.38%,26.76%,15.696,2.93%,19.21
14,2025-12-26,139.378,8564.65,110.48,-7.52%,26.15%,15.696,3.90%,19.39
15,2025-12-25,139.286,6764.24,109.74,-7.49%,26.92%,15.696,3.10%,19.26
16,2025-12-24,137.777,4457.86,107.98,-7.11%,27.60%,15.696,2.07%,18.95
17,2025-12-23,136.732,3999.05,106.38,-6.84%,28.53%,15.696,1.86%,18.67
18,2025-12-22,136.967,9111.34,105.64,-6.89%,29.65%,15.696,4.25%,18.54
19,2025-12-19,136.729,6809.78,107.64,-6.81%,27.03%,15.696,3.17%,18.89
20,2025-12-18,136.644,4114.26,106.27,-6.78%,28.58%,15.696,1.92%,18.65
21,2025-12-17,136.749,5155.43,106.44,-6.80%,28.48%,15.696,2.41%,18.68
22,2025-12-16,136.750,4516.90,107.12,-6.80%,27.66%,15.696,2.10%,18.80
23,2025-12-15,137.570,6167.53,108.83,-6.99%,26.41%,15.696,2.86%,19.10
24,2025-12-12,137.088,4036.87,109.06,-6.85%,25.70%,15.696,1.87%,19.14
25,2025-12-11,137.443,3462.57,108.55,-6.94%,26.62%,15.696,1.60%,19.05
26,2025-12-10,137.989,4676.79,109.40,-7.06%,26.13%,15.696,2.16%,19.20
27,2025-12-09,137.835,8823.60,110.03,-7.02%,25.27%,15.696,4.08%,19.31
28,2025-12-08,139.131,5211.68,110.83,-7.33%,25.54%,15.696,2.38%,19.45
29,2025-12-05,139.607,8635.10,111.85,-7.42%,24.81%,15.696,3.97%,19.63
30,2025-12-04,137.548,7544.10,110.14,-6.91%,24.88%,15.696,3.51%,19.33
