序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,111.624,17855.02,79.47,0.52%,40.46%,24.990,6.34%,2.40
2,2026-02-12,114.641,18847.01,88.08,-0.41%,30.16%,24.990,6.56%,2.66
3,2026-02-11,115.143,68761.33,91.06,-0.56%,26.45%,24.990,23.84%,2.75
4,2026-02-10,111.933,10747.29,85.10,0.43%,31.53%,24.990,3.84%,2.57
5,2026-02-09,113.031,20408.68,87.42,0.08%,29.30%,24.990,7.23%,2.64
6,2026-02-06,111.032,16296.54,84.77,0.71%,30.98%,24.990,5.88%,2.56
7,2026-02-05,109.015,9485.48,82.78,1.35%,31.69%,24.990,3.47%,2.50
8,2026-02-04,110.718,11073.63,83.78,0.80%,32.16%,24.990,4.03%,2.53
9,2026-02-03,109.620,18710.89,82.45,1.15%,32.95%,24.990,6.90%,2.49
10,2026-02-02,106.495,16803.42,79.80,2.17%,33.45%,24.990,6.23%,2.41
11,2026-01-30,109.911,18935.40,84.44,1.06%,30.17%,24.990,6.87%,2.55
12,2026-01-29,110.183,19755.01,82.78,0.97%,33.10%,24.990,7.12%,2.50
13,2026-01-28,112.703,21377.84,89.40,0.18%,26.06%,24.990,7.65%,2.70
14,2026-01-27,110.903,18000.09,87.75,0.74%,26.39%,24.990,6.50%,2.65
15,2026-01-26,112.010,20193.38,88.08,0.40%,27.17%,24.990,7.16%,2.66
16,2026-01-23,114.090,19664.35,90.73,-0.24%,25.75%,24.990,6.91%,2.74
17,2026-01-22,112.965,24981.65,91.06,0.10%,24.06%,24.990,8.85%,2.75
18,2026-01-21,111.470,14745.29,88.74,0.56%,25.61%,24.990,5.31%,2.68
19,2026-01-20,111.370,23712.29,90.40,0.59%,23.20%,24.990,8.50%,2.73
20,2026-01-19,111.004,18218.41,87.42,0.70%,26.98%,24.990,6.63%,2.64
21,2026-01-16,109.513,17110.86,84.77,1.17%,29.19%,24.990,6.21%,2.56
22,2026-01-15,109.816,19985.32,84.77,1.07%,29.55%,24.990,7.31%,2.56
23,2026-01-14,110.798,26254.55,87.75,0.76%,26.27%,24.990,9.41%,2.65
24,2026-01-13,110.298,28412.30,87.09,0.92%,26.65%,24.990,10.26%,2.63
25,2026-01-12,111.667,19924.42,86.42,0.50%,29.21%,24.990,7.17%,2.61
26,2026-01-09,109.480,15856.78,83.44,1.17%,31.20%,24.990,5.81%,2.52
27,2026-01-08,108.500,15926.91,84.11,1.48%,29.00%,24.990,5.86%,2.54
28,2026-01-07,108.265,25777.45,85.10,1.55%,27.22%,24.990,9.48%,2.57
29,2026-01-06,109.673,49159.22,90.73,1.11%,20.88%,24.990,18.19%,2.74
30,2026-01-05,107.257,33805.14,82.45,2.19%,30.09%,24.990,12.67%,2.49
