序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,121.253,7910.73,83.66,-3.44%,44.93%,22.199,2.92%,6.76
2,2026-05-20,122.407,10938.15,85.77,-3.77%,42.72%,22.199,4.03%,6.93
3,2026-05-19,122.480,12726.84,86.51,-3.78%,41.58%,22.199,4.72%,6.99
4,2026-05-18,120.391,12254.37,86.51,-3.18%,39.16%,22.199,4.57%,6.99
5,2026-05-15,121.338,12385.35,88.12,-3.45%,37.70%,22.199,4.58%,7.12
6,2026-05-14,122.221,9990.30,89.98,-3.69%,35.84%,22.199,3.67%,7.27
7,2026-05-13,123.915,10349.49,90.97,-4.16%,36.22%,22.199,3.76%,7.35
8,2026-05-12,123.189,11678.12,89.73,-3.95%,37.29%,22.199,4.25%,7.25
9,2026-05-11,124.359,14329.92,91.09,-4.27%,36.52%,22.199,5.18%,7.36
10,2026-05-08,125.562,14530.32,93.94,-4.59%,33.67%,22.199,5.21%,7.59
11,2026-05-07,126.409,10668.85,95.30,-4.81%,32.65%,22.199,3.79%,7.70
12,2026-05-06,126.994,16146.77,96.16,-4.96%,32.06%,22.199,5.76%,7.77
13,2026-04-30,124.602,33127.77,94.55,-4.29%,31.78%,22.199,12.03%,7.64
14,2026-04-29,125.598,16027.02,93.69,-4.56%,34.06%,22.199,5.77%,7.57
15,2026-04-28,124.292,35649.00,91.58,-4.20%,35.71%,22.199,12.91%,7.40
16,2026-04-27,124.480,90888.99,92.33,-4.25%,34.83%,22.199,33.36%,7.46
17,2026-04-24,134.842,9972.41,102.60,-6.88%,31.43%,22.199,3.32%,8.29
18,2026-04-23,135.132,8278.17,104.70,-6.94%,29.06%,22.199,2.75%,8.46
19,2026-04-22,136.234,9030.07,106.93,-7.20%,27.40%,22.199,2.99%,8.64
20,2026-04-21,135.875,5374.11,106.56,-7.11%,27.51%,22.199,1.78%,8.61
21,2026-04-20,136.301,9354.03,106.56,-7.20%,27.91%,22.199,3.08%,8.61
22,2026-04-17,136.782,8085.23,106.93,-7.30%,27.92%,22.199,2.66%,8.64
23,2026-04-16,136.385,9164.94,106.93,-7.20%,27.55%,22.199,3.04%,8.64
24,2026-04-15,135.353,8968.07,106.54,-6.94%,27.05%,22.199,2.97%,8.64
25,2026-04-14,136.300,10088.01,108.88,-7.16%,25.19%,22.199,3.35%,8.83
26,2026-04-13,135.115,12340.09,109.74,-6.88%,23.12%,22.199,4.12%,8.90
27,2026-04-10,135.733,17618.31,108.26,-7.00%,25.38%,22.199,5.81%,8.78
28,2026-04-09,136.473,19252.04,111.59,-7.17%,22.30%,22.199,6.37%,9.05
29,2026-04-08,135.000,22556.00,105.67,-6.82%,27.75%,22.199,7.52%,8.57
30,2026-04-07,134.691,30703.37,110.85,-6.74%,21.51%,22.199,10.27%,8.99
