序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,141.283,21218.43,135.79,-6.04%,4.05%,9.943,15.15%,9.03
2,2026-01-19,143.078,27114.97,133.23,-6.38%,7.39%,9.944,19.23%,8.86
3,2026-01-16,138.418,39281.21,129.47,-5.46%,6.91%,9.944,27.63%,8.61
4,2026-01-15,149.727,10548.27,131.28,-7.58%,14.05%,9.944,7.08%,8.73
5,2026-01-14,149.302,16323.17,129.62,-7.50%,15.18%,9.944,10.83%,8.62
6,2026-01-13,152.504,10495.83,131.58,-8.06%,15.90%,9.944,6.94%,8.75
7,2026-01-12,151.764,8809.26,128.72,-7.93%,17.90%,9.944,5.80%,8.56
8,2026-01-09,151.638,8264.32,128.87,-7.89%,17.67%,9.944,5.51%,8.57
9,2026-01-08,149.485,8365.82,126.62,-7.50%,18.06%,9.944,5.60%,8.42
10,2026-01-07,150.080,9645.64,128.57,-7.60%,16.73%,9.944,6.44%,8.55
11,2026-01-06,150.465,10333.26,127.52,-7.66%,17.99%,9.944,6.90%,8.48
12,2026-01-05,147.863,11203.52,125.11,-7.19%,18.18%,9.944,7.61%,8.32
13,2025-12-31,144.960,5657.23,123.16,-6.64%,17.70%,9.944,3.91%,8.19
14,2025-12-30,145.088,7899.14,123.61,-6.65%,17.38%,9.944,5.50%,8.22
15,2025-12-29,143.651,7515.99,123.16,-6.38%,16.64%,9.944,5.22%,8.19
16,2025-12-26,144.743,10505.72,123.61,-6.57%,17.10%,9.944,7.29%,8.22
17,2025-12-25,143.150,2844.80,119.55,-6.27%,19.74%,9.944,2.00%,7.95
18,2025-12-24,143.175,5904.43,120.00,-6.27%,19.31%,9.944,4.16%,7.98
19,2025-12-23,142.212,5340.93,119.10,-6.09%,19.41%,9.944,3.77%,7.92
20,2025-12-22,141.423,3152.17,118.65,-5.93%,19.20%,9.944,2.23%,7.89
21,2025-12-19,141.032,2856.03,118.50,-5.85%,19.02%,9.944,2.04%,7.88
22,2025-12-18,140.074,3744.94,116.24,-5.66%,20.50%,9.944,2.69%,7.73
23,2025-12-17,139.826,4284.67,116.54,-5.61%,19.98%,9.944,3.11%,7.75
24,2025-12-16,137.409,2554.03,113.84,-5.14%,20.71%,9.944,1.87%,7.57
25,2025-12-15,139.002,2327.32,116.84,-5.44%,18.97%,9.944,1.68%,7.77
26,2025-12-12,139.448,3875.87,116.84,-5.51%,19.35%,9.944,2.80%,7.77
27,2025-12-11,138.489,2879.38,115.19,-5.33%,20.23%,9.944,2.08%,7.66
28,2025-12-10,140.159,1595.54,116.39,-5.64%,20.42%,9.944,1.15%,7.74
29,2025-12-09,139.912,2261.69,116.84,-5.59%,19.74%,9.944,1.62%,7.77
30,2025-12-08,141.678,2791.89,119.85,-5.92%,18.21%,9.944,1.98%,7.97
