序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,135.863,25926.52,114.40,-4.84%,18.76%,25.774,7.32%,7.07
2,2026-01-19,140.002,83370.51,122.65,-5.65%,14.14%,25.774,23.02%,7.58
3,2026-01-16,136.360,19758.24,114.89,-4.93%,18.69%,25.774,5.59%,7.10
4,2026-01-15,136.930,27228.66,116.67,-5.03%,17.37%,25.774,7.79%,7.21
5,2026-01-14,135.401,33904.32,115.05,-4.73%,17.69%,25.774,9.59%,7.11
6,2026-01-13,135.736,27686.85,114.40,-4.79%,18.65%,25.774,7.86%,7.07
7,2026-01-12,139.517,52223.46,119.26,-5.53%,16.99%,25.774,14.48%,7.37
8,2026-01-09,136.562,37044.67,113.75,-4.94%,20.05%,25.774,10.53%,7.03
9,2026-01-08,135.928,48364.96,112.62,-4.81%,20.69%,25.774,13.83%,6.96
10,2026-01-07,131.742,14118.14,104.37,-3.96%,26.23%,25.774,4.16%,6.45
11,2026-01-06,132.504,14409.73,106.15,-4.11%,24.83%,25.774,4.24%,6.56
12,2026-01-05,130.928,14547.89,103.72,-3.78%,26.23%,25.774,4.32%,6.41
13,2025-12-31,129.805,16231.18,105.83,-3.53%,22.66%,25.774,4.84%,6.54
14,2025-12-30,129.256,41914.16,104.21,-3.41%,24.04%,25.774,12.59%,6.44
15,2025-12-29,128.377,33354.86,103.72,-3.23%,23.77%,25.774,10.20%,6.41
16,2025-12-26,125.996,15846.94,94.34,-2.71%,33.56%,25.774,4.86%,5.83
17,2025-12-25,125.072,6599.51,93.53,-2.50%,33.73%,25.774,2.04%,5.78
18,2025-12-24,125.315,6339.96,94.01,-2.55%,33.30%,25.774,1.97%,5.81
19,2025-12-23,123.961,5219.30,90.29,-2.26%,37.29%,25.774,1.63%,5.58
20,2025-12-22,124.226,4146.04,89.81,-2.31%,38.33%,25.774,1.29%,5.55
21,2025-12-19,123.805,5211.49,89.64,-2.21%,38.11%,25.774,1.63%,5.54
22,2025-12-18,123.004,2659.51,88.67,-2.03%,38.72%,25.774,0.84%,5.48
23,2025-12-17,123.012,6568.50,88.67,-2.03%,38.73%,25.774,2.08%,5.48
24,2025-12-16,121.977,7935.79,87.70,-1.80%,39.08%,25.774,2.52%,5.42
25,2025-12-15,123.633,6032.65,90.94,-2.17%,35.95%,25.774,1.89%,5.62
26,2025-12-12,123.619,5167.67,90.62,-2.16%,36.42%,25.774,1.62%,5.60
27,2025-12-11,123.500,4625.20,89.97,-2.13%,37.27%,25.774,1.45%,5.56
28,2025-12-10,124.419,6209.12,92.40,-2.33%,34.66%,25.774,1.94%,5.71
29,2025-12-09,123.893,9315.76,93.20,-2.22%,32.93%,25.774,2.93%,5.76
30,2025-12-08,124.118,6466.78,90.94,-2.26%,36.49%,25.774,2.01%,5.62
