序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,150.185,1671.76,120.83,-5.57%,24.30%,9.890,1.12%,9.92
2,2026-01-15,150.133,8477.99,121.80,-5.56%,23.26%,9.890,5.73%,10.00
3,2026-01-14,149.181,8184.05,122.41,-5.43%,21.87%,9.890,5.51%,10.05
4,2026-01-13,148.706,9731.92,121.80,-5.36%,22.09%,9.890,6.55%,10.00
5,2026-01-12,150.394,14116.65,122.29,-5.58%,22.98%,9.890,9.47%,10.04
6,2026-01-09,149.380,6002.13,121.07,-5.44%,23.38%,9.890,4.06%,9.94
7,2026-01-08,148.481,5167.02,120.83,-5.31%,22.89%,9.890,3.52%,9.92
8,2026-01-07,148.252,4917.98,120.95,-5.28%,22.57%,9.890,3.35%,9.93
9,2026-01-06,148.896,5304.41,121.32,-5.36%,22.73%,9.890,3.62%,9.96
10,2026-01-05,146.899,4827.74,121.07,-5.09%,21.33%,9.890,3.32%,9.94
11,2025-12-31,146.508,3840.24,120.59,-5.02%,21.50%,9.890,2.65%,9.90
12,2025-12-30,145.516,3764.45,119.49,-4.88%,21.78%,9.890,2.61%,9.81
13,2025-12-29,145.600,6218.56,121.32,-4.89%,20.02%,9.890,4.32%,9.96
14,2025-12-26,145.980,4201.62,123.02,-4.94%,18.66%,9.890,2.91%,10.10
15,2025-12-25,146.155,5653.49,122.66,-4.96%,19.16%,9.890,3.92%,10.07
16,2025-12-24,146.087,5313.68,123.63,-4.95%,18.16%,9.890,3.68%,10.15
17,2025-12-23,146.634,10475.06,124.36,-5.02%,17.91%,9.890,7.22%,10.21
18,2025-12-22,146.529,6736.86,124.00,-5.00%,18.17%,9.890,4.65%,10.18
19,2025-12-19,147.011,5834.36,125.09,-5.06%,17.52%,9.890,4.05%,10.27
20,2025-12-18,144.953,5278.53,122.05,-4.77%,18.77%,9.890,3.67%,10.02
21,2025-12-17,144.509,15262.31,121.56,-4.71%,18.88%,9.890,10.67%,9.98
22,2025-12-16,140.959,6137.50,116.57,-4.21%,20.93%,9.890,4.38%,9.57
23,2025-12-15,142.249,8665.35,117.66,-4.39%,20.90%,9.890,6.16%,9.66
24,2025-12-12,139.728,8931.59,114.74,-4.02%,21.78%,9.890,6.45%,9.42
25,2025-12-11,140.315,2640.46,114.50,-4.11%,22.55%,9.890,1.90%,9.40
26,2025-12-10,141.794,1944.04,116.69,-4.31%,21.52%,9.890,1.39%,9.58
27,2025-12-09,141.672,2900.21,117.54,-4.29%,20.53%,9.890,2.07%,9.65
28,2025-12-08,142.573,2811.72,117.91,-4.42%,20.92%,9.890,1.99%,9.68
29,2025-12-05,142.614,5156.66,118.76,-4.42%,20.09%,9.890,3.67%,9.75
30,2025-12-04,141.745,2365.35,117.54,-4.29%,20.59%,9.890,1.68%,9.65
