序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,136.877,5643.99,107.03,-3.98%,27.89%,10.814,3.81%,5.48
2,2026-01-15,136.621,6242.99,108.01,-3.94%,26.49%,10.814,4.23%,5.53
3,2026-01-14,137.241,15446.08,110.16,-4.03%,24.59%,10.814,10.39%,5.64
4,2026-01-13,135.539,9944.99,108.20,-3.78%,25.26%,10.814,6.75%,5.54
5,2026-01-12,136.630,13683.15,106.06,-3.94%,28.83%,10.814,9.21%,5.43
6,2026-01-09,137.245,6855.13,107.81,-4.02%,27.30%,10.814,4.64%,5.52
7,2026-01-08,135.706,4676.72,107.23,-3.80%,26.56%,10.814,3.18%,5.49
8,2026-01-07,135.148,6223.21,107.42,-3.71%,25.81%,10.814,4.24%,5.50
9,2026-01-06,136.179,8227.98,109.38,-3.86%,24.51%,10.814,5.59%,5.60
10,2026-01-05,134.554,7151.98,107.81,-3.62%,24.80%,10.814,4.92%,5.52
11,2025-12-31,133.042,8825.22,106.64,-3.39%,24.76%,10.814,6.14%,5.46
12,2025-12-30,132.283,5436.17,105.08,-3.28%,25.89%,10.814,3.82%,5.38
13,2025-12-29,131.184,5596.07,106.45,-3.11%,23.24%,10.814,3.93%,5.45
14,2025-12-26,133.264,10839.85,108.01,-3.41%,23.38%,10.814,7.52%,5.53
15,2025-12-25,131.414,3602.67,104.88,-3.14%,25.30%,10.814,2.54%,5.37
16,2025-12-24,130.490,4727.52,104.30,-2.97%,25.11%,10.814,3.35%,5.34
17,2025-12-23,130.823,4079.72,105.08,-3.02%,24.50%,10.814,2.89%,5.38
18,2025-12-22,130.693,5311.65,105.08,-3.00%,24.38%,10.814,3.76%,5.38
19,2025-12-19,131.207,5954.24,106.06,-3.07%,23.72%,10.814,4.21%,5.43
20,2025-12-18,130.517,8552.90,106.06,-2.96%,23.07%,10.814,6.08%,5.43
21,2025-12-17,129.296,5088.60,102.93,-2.78%,25.62%,10.814,3.65%,5.27
22,2025-12-16,128.096,4396.85,100.39,-2.59%,27.60%,10.814,3.18%,5.14
23,2025-12-15,127.854,4570.51,100.98,-2.55%,26.62%,10.814,3.31%,5.17
24,2025-12-12,127.517,4278.60,99.02,-2.50%,28.77%,10.814,3.10%,5.07
25,2025-12-11,128.300,5370.04,101.37,-2.62%,26.57%,10.814,3.86%,5.19
26,2025-12-10,128.648,8054.77,103.71,-2.67%,24.04%,10.814,5.79%,5.31
27,2025-12-09,127.615,3312.99,100.20,-2.51%,27.37%,10.814,2.40%,5.13
28,2025-12-08,128.303,4340.95,101.17,-2.61%,26.82%,10.814,3.12%,5.18
29,2025-12-05,128.473,3745.75,101.95,-2.63%,26.01%,10.814,2.71%,5.22
30,2025-12-04,127.526,3252.04,101.37,-2.49%,25.81%,10.814,2.36%,5.19
