序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,247.579,161876.83,210.26,-52.88%,17.75%,9.992,63.40%,36.48
2,2026-05-20,253.888,74409.86,210.61,-53.95%,20.55%,9.992,29.97%,36.54
3,2026-05-19,244.175,80351.37,211.47,-52.03%,15.47%,9.992,33.40%,36.69
4,2026-05-18,240.971,58104.48,211.99,-51.30%,13.67%,9.992,23.92%,36.78
5,2026-05-15,242.104,83726.72,218.67,-51.24%,10.71%,9.992,33.40%,37.94
6,2026-05-14,260.702,70885.36,228.82,-54.57%,13.93%,9.992,26.84%,39.70
7,2026-05-13,268.774,239000.32,241.10,-55.81%,11.48%,9.992,86.67%,41.83
8,2026-05-12,263.653,181677.81,236.31,-54.87%,11.57%,9.992,68.47%,41.00
9,2026-05-11,269.308,376120.00,235.85,-55.70%,14.19%,9.992,138.00%,40.92
10,2026-05-08,254.986,348300.19,218.33,-53.00%,16.79%,9.992,140.74%,37.88
11,2026-05-07,232.549,128112.32,203.46,-48.54%,14.30%,9.992,54.15%,35.30
12,2026-05-06,233.818,100981.90,200.46,-48.72%,16.64%,9.992,42.92%,34.78
13,2026-04-30,242.212,397508.09,209.63,-49.88%,15.55%,9.992,170.77%,36.37
14,2026-04-29,217.077,117668.87,190.55,-44.32%,13.92%,9.992,52.92%,33.06
15,2026-04-28,218.221,190035.34,197.58,-44.51%,10.45%,9.992,84.70%,34.28
16,2026-04-27,215.348,137102.89,192.74,-43.73%,11.73%,9.992,64.31%,33.44
17,2026-04-24,209.135,209624.96,192.74,-41.92%,8.51%,9.992,96.49%,33.44
18,2026-04-23,212.792,128372.92,191.76,-42.77%,10.97%,9.992,60.81%,33.27
19,2026-04-22,211.831,319069.07,196.31,-42.45%,7.91%,9.992,154.09%,34.06
20,2026-04-21,201.554,320674.15,187.32,-39.65%,7.60%,9.992,155.42%,32.50
21,2026-04-20,206.309,300694.16,180.06,-40.86%,14.58%,9.992,152.31%,31.24
22,2026-04-17,171.924,317265.47,163.69,-29.82%,5.03%,9.992,182.38%,28.40
23,2026-04-16,165.941,317301.10,153.37,-27.44%,8.20%,9.992,185.96%,26.61
24,2026-04-15,165.221,222652.37,148.70,-27.09%,11.11%,9.992,142.72%,25.80
25,2026-04-14,137.684,43355.42,135.16,-13.83%,1.87%,9.992,31.89%,23.45
26,2026-04-13,139.417,27399.02,138.67,-14.77%,0.54%,9.992,19.58%,24.06
27,2026-04-10,142.182,51664.21,142.08,-16.18%,0.08%,9.992,36.17%,24.65
28,2026-04-09,139.551,16503.44,134.87,-14.71%,3.47%,9.992,11.87%,23.40
29,2026-04-08,139.794,25025.75,134.76,-14.81%,3.74%,9.992,17.84%,23.38
30,2026-04-07,138.137,10588.70,127.38,-13.86%,8.45%,9.992,7.64%,22.10
