序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,161.886,155805.03,128.00,-20.10%,26.48%,5.994,155.27%,14.31
2,2026-05-20,161.077,39289.56,128.53,-19.79%,25.32%,5.994,40.46%,14.37
3,2026-05-19,163.477,98645.79,133.27,-20.57%,22.66%,5.994,101.57%,14.90
4,2026-05-18,159.877,43717.37,129.70,-19.31%,23.27%,5.994,45.47%,14.50
5,2026-05-15,161.342,83316.40,131.04,-19.72%,23.13%,5.994,85.02%,14.65
6,2026-05-14,165.002,105980.72,138.37,-20.90%,19.25%,5.994,105.36%,15.47
7,2026-05-13,171.752,105756.60,143.20,-22.98%,19.94%,5.994,102.78%,16.01
8,2026-05-12,182.985,360937.95,151.97,-26.17%,20.41%,5.994,321.72%,16.99
9,2026-05-11,208.885,365679.72,146.33,-32.43%,42.75%,5.994,298.14%,16.36
10,2026-05-08,179.782,269162.03,133.01,-25.12%,35.17%,5.994,253.69%,14.87
11,2026-05-07,165.410,131050.08,120.93,-20.79%,36.78%,5.994,132.40%,13.52
12,2026-05-06,154.899,38223.31,109.93,-17.20%,40.91%,5.994,41.15%,12.29
13,2026-04-30,150.276,30926.90,104.56,-15.35%,43.72%,5.994,34.18%,11.69
14,2026-04-29,152.970,195395.12,108.50,-16.32%,40.99%,5.994,207.64%,12.13
15,2026-04-28,145.303,17566.19,98.66,-13.41%,47.28%,5.994,20.13%,11.03
16,2026-04-27,147.946,44046.33,101.43,-14.40%,45.86%,5.994,49.83%,11.34
17,2026-04-24,142.370,9071.59,92.22,-12.15%,54.38%,5.994,10.58%,10.31
18,2026-04-23,143.804,18264.84,95.17,-12.70%,51.10%,5.994,20.94%,10.64
19,2026-04-22,145.644,16976.04,98.66,-13.40%,47.62%,5.994,19.44%,11.03
20,2026-04-21,144.523,70081.68,96.24,-12.95%,50.16%,5.994,79.47%,10.76
21,2026-04-20,142.674,7881.39,93.38,-12.19%,52.79%,5.994,9.16%,10.44
22,2026-04-17,142.605,11419.66,92.31,-12.10%,54.49%,5.994,13.26%,10.32
23,2026-04-16,143.009,9101.76,93.83,-12.24%,52.42%,5.994,10.64%,10.49
24,2026-04-15,141.593,7748.43,90.70,-11.66%,56.12%,5.994,9.07%,10.14
25,2026-04-14,142.502,13180.60,94.37,-12.00%,51.01%,5.994,15.42%,10.55
26,2026-04-13,141.792,48696.64,94.63,-11.70%,49.83%,5.994,56.35%,10.58
27,2026-04-10,143.470,75285.65,90.52,-12.30%,58.50%,5.994,86.36%,10.12
28,2026-04-09,138.958,8128.72,82.29,-10.48%,68.86%,5.995,9.76%,9.20
29,2026-04-08,140.484,12652.58,85.87,-11.08%,63.61%,5.995,14.93%,9.60
30,2026-04-07,139.228,12086.88,82.74,-10.56%,68.28%,5.995,14.50%,9.25
