序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,144.900,5473.78,112.53,-13.89%,28.77%,6.619,5.71%,15.36
2,2026-04-20,145.051,18617.89,113.70,-13.92%,27.57%,6.619,19.46%,15.52
3,2026-04-17,141.938,7559.25,106.59,-12.70%,33.16%,6.619,8.07%,14.55
4,2026-04-16,140.745,6653.11,103.44,-12.23%,36.06%,6.619,7.15%,14.12
5,2026-04-15,139.412,5100.27,102.56,-11.70%,35.93%,6.619,5.51%,14.00
6,2026-04-14,138.844,4576.94,102.42,-11.46%,35.57%,6.619,5.00%,13.98
7,2026-04-13,137.882,4480.87,102.86,-11.06%,34.05%,6.619,4.88%,14.04
8,2026-04-10,139.016,6502.32,103.08,-11.45%,34.87%,6.619,6.99%,14.07
9,2026-04-09,139.949,5840.49,102.49,-11.79%,36.55%,6.619,6.30%,13.99
10,2026-04-08,141.086,11858.83,105.71,-12.21%,33.46%,6.619,12.76%,14.43
11,2026-04-07,136.795,4259.76,99.56,-10.53%,37.40%,6.619,4.71%,13.59
12,2026-04-03,135.690,5471.44,98.02,-10.03%,38.43%,6.619,6.06%,13.38
13,2026-04-02,135.495,3960.67,99.27,-9.94%,36.49%,6.619,4.41%,13.55
14,2026-04-01,136.433,7234.78,100.73,-10.29%,35.44%,6.619,8.07%,13.75
15,2026-03-31,132.678,5155.15,97.51,-8.77%,36.07%,6.619,5.82%,13.31
16,2026-03-30,134.155,5999.53,99.27,-9.36%,35.15%,6.619,6.76%,13.55
17,2026-03-27,135.533,4730.99,100.00,-9.86%,35.53%,6.619,5.28%,13.65
18,2026-03-26,135.401,4492.49,100.29,-9.79%,35.01%,6.619,5.00%,13.69
19,2026-03-25,137.617,7304.20,102.71,-10.64%,33.99%,6.619,8.00%,14.02
20,2026-03-24,136.965,8453.33,101.39,-10.37%,35.08%,6.619,9.47%,13.84
21,2026-03-23,132.944,10413.68,100.00,-8.77%,32.94%,6.619,11.76%,13.65
22,2026-03-20,134.603,9272.95,102.78,-9.39%,30.96%,6.619,10.34%,14.03
23,2026-03-19,134.850,8851.24,102.64,-9.47%,31.38%,6.619,9.90%,14.01
24,2026-03-18,137.758,9300.60,107.62,-10.58%,28.01%,6.619,10.30%,14.69
25,2026-03-17,136.187,14777.05,106.81,-9.96%,27.50%,6.619,16.20%,14.58
26,2026-03-16,141.274,12085.23,114.29,-11.85%,23.61%,6.619,12.97%,15.60
27,2026-03-13,142.348,18871.22,121.61,-12.19%,17.05%,6.619,19.84%,16.60
28,2026-03-12,144.052,13751.47,122.34,-12.77%,17.74%,6.619,14.34%,16.70
29,2026-03-11,147.333,28774.63,129.08,-13.88%,14.14%,6.619,29.45%,17.62
30,2026-03-10,145.830,16159.76,122.27,-13.35%,19.27%,6.619,16.73%,16.69
