序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,141.925,1870.49,95.78,-8.36%,48.18%,2.035,6.46%,10.89
2,2026-02-12,143.972,1318.60,97.01,-9.00%,48.41%,2.035,4.53%,11.03
3,2026-02-11,142.445,1004.17,98.95,-8.51%,43.96%,2.035,3.46%,11.25
4,2026-02-10,141.622,1325.01,97.27,-8.24%,45.59%,2.035,4.58%,11.06
5,2026-02-09,142.204,1940.54,97.63,-8.41%,45.66%,2.035,6.73%,11.10
6,2026-02-06,139.932,1658.11,95.87,-7.65%,45.97%,2.035,5.82%,10.90
7,2026-02-05,139.466,1835.96,95.87,-7.49%,45.48%,2.035,6.48%,10.90
8,2026-02-04,139.549,2019.79,94.99,-7.51%,46.91%,2.035,7.12%,10.80
9,2026-02-03,139.264,2504.40,93.32,-7.40%,49.24%,2.035,8.90%,10.61
10,2026-02-02,135.786,2217.62,90.94,-6.25%,49.31%,2.035,7.98%,10.34
11,2026-01-30,138.693,2662.83,94.90,-7.18%,46.15%,2.035,9.41%,10.79
12,2026-01-29,138.832,1691.69,92.17,-7.22%,50.62%,2.035,5.95%,10.48
13,2026-01-28,139.973,2192.61,92.70,-7.58%,51.00%,2.035,7.75%,10.54
14,2026-01-27,138.283,1493.52,92.61,-7.02%,49.31%,2.035,5.31%,10.53
15,2026-01-26,138.141,1346.98,93.40,-6.97%,47.90%,2.035,4.76%,10.62
16,2026-01-23,139.802,2222.11,94.64,-7.47%,47.73%,2.035,7.82%,10.76
17,2026-01-22,139.761,1773.21,96.13,-7.45%,45.39%,2.035,6.24%,10.93
18,2026-01-21,138.954,1662.74,95.69,-7.18%,45.21%,2.035,5.91%,10.88
19,2026-01-20,138.433,1314.54,97.01,-7.01%,42.70%,2.035,4.67%,11.03
20,2026-01-19,138.878,1362.41,97.19,-7.14%,42.90%,2.035,4.83%,11.05
21,2026-01-16,138.096,2024.47,94.81,-6.86%,45.65%,2.035,7.21%,10.78
22,2026-01-15,137.001,1003.23,93.49,-6.50%,46.54%,2.035,3.61%,10.63
23,2026-01-14,136.525,1721.45,93.14,-6.34%,46.58%,2.035,6.18%,10.59
24,2026-01-13,136.338,1589.84,92.70,-6.27%,47.07%,2.035,5.71%,10.54
25,2026-01-12,137.882,1387.97,93.32,-6.76%,47.76%,2.035,4.96%,10.61
26,2026-01-09,136.830,1472.64,93.32,-6.40%,46.63%,2.035,5.30%,10.61
27,2026-01-08,136.300,1031.76,93.14,-6.22%,46.34%,2.035,3.71%,10.59
28,2026-01-07,136.281,2653.33,93.23,-6.20%,46.18%,2.035,9.55%,10.60
29,2026-01-06,135.805,1748.28,93.49,-6.04%,45.26%,2.035,6.33%,10.63
30,2026-01-05,134.828,1303.75,92.26,-5.71%,46.14%,2.035,4.77%,10.49
