序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,139.925,5411.03,108.07,-7.27%,29.48%,6.715,5.75%,26.38
2,2026-01-19,140.400,6043.55,108.40,-7.41%,29.52%,6.715,6.44%,26.46
3,2026-01-16,139.729,6283.44,106.15,-7.18%,31.64%,6.715,6.70%,25.91
4,2026-01-15,137.753,5891.51,103.81,-6.55%,32.70%,6.715,6.36%,25.34
5,2026-01-14,138.562,7256.66,105.20,-6.80%,31.71%,6.715,7.74%,25.68
6,2026-01-13,139.450,6875.65,105.94,-7.07%,31.63%,6.715,7.27%,25.86
7,2026-01-12,141.600,7048.86,106.51,-7.71%,32.94%,6.715,7.44%,26.00
8,2026-01-09,140.859,5167.44,108.44,-7.46%,29.90%,6.715,5.45%,26.47
9,2026-01-08,141.794,5975.57,110.53,-7.73%,28.29%,6.715,6.27%,26.98
10,2026-01-07,141.785,9192.89,110.86,-7.72%,27.90%,6.715,9.65%,27.06
11,2026-01-06,139.734,7543.22,106.23,-7.09%,31.54%,6.715,8.05%,25.93
12,2026-01-05,137.696,6100.71,105.78,-6.46%,30.18%,6.715,6.60%,25.82
13,2025-12-31,136.147,8328.77,104.75,-5.94%,29.97%,6.715,9.09%,25.57
14,2025-12-30,136.870,8827.31,109.26,-6.16%,25.27%,6.715,9.54%,26.67
15,2025-12-29,138.661,7438.30,115.53,-6.70%,20.03%,6.715,7.98%,28.20
16,2025-12-26,139.411,5882.89,116.84,-6.90%,19.32%,6.715,6.27%,28.52
17,2025-12-25,139.889,6001.29,118.03,-7.04%,18.52%,6.715,6.42%,28.81
18,2025-12-24,139.176,6334.46,117.08,-6.81%,18.87%,6.715,6.79%,28.58
19,2025-12-23,138.317,5583.45,118.39,-6.55%,16.83%,6.715,6.00%,28.90
20,2025-12-22,138.914,6104.02,118.27,-6.72%,17.45%,6.715,6.53%,28.87
21,2025-12-19,138.603,7494.36,118.07,-6.60%,17.39%,6.715,8.05%,28.82
22,2025-12-18,139.086,10692.30,118.15,-6.74%,17.72%,6.715,11.44%,28.84
23,2025-12-17,138.871,16027.77,118.31,-6.67%,17.38%,6.715,17.43%,28.88
24,2025-12-16,135.446,45082.31,112.04,-5.61%,20.89%,6.715,48.38%,27.35
25,2025-12-15,140.251,6726.53,120.93,-7.06%,15.97%,6.715,7.18%,29.52
26,2025-12-12,139.737,7991.77,119.83,-6.89%,16.61%,6.715,8.56%,29.25
27,2025-12-11,139.358,5624.32,118.39,-6.76%,17.71%,6.715,6.03%,28.90
28,2025-12-10,140.177,6517.92,118.60,-7.00%,18.19%,6.715,6.96%,28.95
29,2025-12-09,139.414,11462.04,118.60,-6.77%,17.55%,6.715,12.22%,28.95
30,2025-12-08,139.247,9479.31,115.04,-6.71%,21.05%,6.715,10.20%,28.08
