序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,174.933,23958.34,152.34,-18.98%,14.83%,5.298,25.51%,18.25
2,2026-04-20,177.367,13203.61,149.83,-19.48%,18.38%,5.298,13.98%,17.95
3,2026-04-17,177.824,19868.83,149.25,-19.51%,19.15%,5.298,20.97%,17.88
4,2026-04-16,178.619,68121.90,147.25,-19.65%,21.31%,5.298,72.46%,17.64
5,2026-04-15,169.630,18058.75,138.15,-17.68%,22.79%,5.298,19.91%,16.55
6,2026-04-14,169.311,23713.77,142.40,-17.59%,18.89%,5.298,26.57%,17.06
7,2026-04-13,171.390,198552.67,149.00,-18.03%,15.03%,5.298,215.85%,17.85
8,2026-04-10,162.710,109544.36,140.32,-15.98%,15.96%,5.298,123.72%,16.81
9,2026-04-09,165.056,160860.54,133.72,-16.52%,23.43%,5.298,178.76%,16.02
10,2026-04-08,152.174,12928.34,121.54,-13.32%,25.21%,5.298,16.09%,14.56
11,2026-04-07,147.989,7832.78,120.62,-12.18%,22.69%,5.298,10.04%,14.45
12,2026-04-03,145.287,6651.12,116.86,-11.38%,24.32%,5.298,8.63%,14.00
13,2026-04-02,145.938,10021.61,120.95,-11.55%,20.66%,5.298,12.97%,14.49
14,2026-04-01,148.649,8174.98,123.21,-12.28%,20.65%,5.298,10.47%,14.76
15,2026-03-31,144.274,13542.42,118.78,-11.06%,21.46%,5.298,17.67%,14.23
16,2026-03-30,144.927,9323.96,121.04,-11.23%,19.74%,5.298,12.13%,14.50
17,2026-03-27,145.105,4598.11,115.69,-11.24%,25.42%,5.298,6.01%,13.86
18,2026-03-26,143.531,5219.93,113.02,-10.79%,26.99%,5.298,6.87%,13.54
19,2026-03-25,145.385,7703.72,115.44,-11.29%,25.94%,5.298,10.02%,13.83
20,2026-03-24,143.622,12280.17,112.02,-10.79%,28.21%,5.298,16.49%,13.42
21,2026-03-23,136.310,14398.46,105.93,-8.65%,28.68%,5.298,19.66%,12.69
22,2026-03-20,141.740,5585.32,110.94,-10.21%,27.77%,5.298,7.42%,13.29
23,2026-03-19,143.695,3202.68,116.11,-10.75%,23.76%,5.298,4.17%,13.91
24,2026-03-18,148.267,3439.44,119.28,-11.98%,24.30%,5.298,4.43%,14.29
25,2026-03-17,145.035,3415.28,117.36,-11.09%,23.58%,5.298,4.38%,14.06
26,2026-03-16,150.675,4303.02,121.95,-12.58%,23.55%,5.298,5.48%,14.61
27,2026-03-13,148.362,4114.60,121.70,-11.93%,21.91%,5.298,5.17%,14.58
28,2026-03-12,149.420,3809.08,124.04,-12.20%,20.46%,5.298,4.76%,14.86
29,2026-03-11,153.939,3944.22,126.38,-13.34%,21.81%,5.298,4.82%,15.14
30,2026-03-10,154.282,4064.64,127.96,-13.41%,20.57%,5.298,4.99%,15.33
