序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,128.826,3755.62,64.58,-4.99%,99.47%,7.011,4.17%,6.82
2,2026-04-20,127.508,2319.23,64.77,-4.60%,96.85%,7.011,2.60%,6.84
3,2026-04-17,127.024,2630.87,64.11,-4.44%,98.13%,7.011,2.95%,6.77
4,2026-04-16,127.203,2585.72,64.77,-4.49%,96.38%,7.011,2.90%,6.84
5,2026-04-15,125.803,3064.20,63.83,-4.06%,97.10%,7.011,3.45%,6.74
6,2026-04-14,127.133,2884.94,64.02,-4.46%,98.60%,7.011,3.25%,6.76
7,2026-04-13,125.797,1566.11,64.39,-4.05%,95.36%,7.011,1.77%,6.80
8,2026-04-10,126.204,2438.77,64.77,-4.16%,94.84%,7.011,2.74%,6.84
9,2026-04-09,126.658,2732.92,64.11,-4.29%,97.56%,7.011,3.08%,6.77
10,2026-04-08,127.258,3183.84,65.15,-4.47%,95.33%,7.011,3.57%,6.88
11,2026-04-07,125.263,2346.11,63.64,-3.87%,96.84%,7.011,2.68%,6.72
12,2026-04-03,123.845,1561.84,61.27,-3.42%,102.13%,7.011,1.80%,6.47
13,2026-04-02,123.869,1921.30,63.92,-3.43%,93.79%,7.011,2.21%,6.75
14,2026-04-01,124.683,4638.86,64.96,-3.67%,91.93%,7.011,5.35%,6.86
15,2026-03-31,122.539,3112.68,64.68,-3.01%,89.46%,7.011,3.62%,6.83
16,2026-03-30,122.299,3842.90,65.25,-2.93%,87.44%,7.011,4.48%,6.89
17,2026-03-27,123.731,2220.15,64.30,-3.36%,92.43%,7.011,2.57%,6.79
18,2026-03-26,123.028,2366.26,63.45,-3.15%,93.91%,7.011,2.74%,6.70
19,2026-03-25,123.997,4033.86,64.30,-3.44%,92.84%,7.011,4.64%,6.79
20,2026-03-24,122.831,3592.40,62.88,-3.08%,95.35%,7.011,4.22%,6.64
21,2026-03-23,120.022,5486.63,59.28,-2.20%,102.47%,7.011,6.50%,6.26
22,2026-03-20,121.417,3947.99,63.73,-2.63%,90.51%,7.011,4.60%,6.73
23,2026-03-19,122.650,3134.91,66.00,-3.01%,85.82%,7.011,3.63%,6.97
24,2026-03-18,124.808,2295.79,68.37,-3.65%,82.54%,7.011,2.65%,7.22
25,2026-03-17,123.442,2416.63,67.80,-3.24%,82.06%,7.011,2.77%,7.16
26,2026-03-16,124.869,2755.22,68.66,-3.66%,81.88%,7.011,3.16%,7.25
27,2026-03-13,124.929,2627.88,68.47,-3.67%,82.47%,7.011,2.99%,7.23
28,2026-03-12,125.369,3314.69,68.56,-3.80%,82.86%,7.011,3.74%,7.24
29,2026-03-11,127.129,2245.94,69.13,-4.30%,83.90%,7.011,2.52%,7.30
30,2026-03-10,127.362,3510.07,69.79,-4.36%,82.49%,7.011,3.94%,7.37
