序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,149.583,66904.55,129.56,-8.91%,15.45%,33.892,13.08%,43.52
2,2026-01-15,149.295,25071.49,123.67,-8.84%,20.72%,33.892,5.04%,41.54
3,2026-01-14,145.345,31880.20,121.58,-7.95%,19.54%,33.892,6.41%,40.84
4,2026-01-13,145.797,34015.88,122.42,-8.05%,19.10%,33.892,6.83%,41.12
5,2026-01-12,148.648,30032.03,128.70,-8.67%,15.50%,33.893,5.98%,43.23
6,2026-01-09,147.175,38631.88,126.68,-8.33%,16.18%,33.893,7.75%,42.55
7,2026-01-08,146.251,32684.92,123.58,-8.11%,18.35%,33.893,6.55%,41.51
8,2026-01-07,144.584,58411.72,123.55,-7.73%,17.03%,33.893,11.89%,41.50
9,2026-01-06,145.567,80137.28,125.42,-7.95%,16.06%,33.893,16.41%,42.13
10,2026-01-05,139.946,42255.82,114.02,-6.64%,22.74%,33.893,9.01%,38.30
11,2025-12-31,133.933,9989.92,103.66,-5.15%,29.20%,33.893,2.19%,34.82
12,2025-12-30,133.758,6370.43,104.14,-5.11%,28.44%,33.893,1.40%,34.98
13,2025-12-29,133.901,10715.42,105.81,-5.14%,26.55%,33.893,2.34%,35.54
14,2025-12-26,135.631,13140.43,109.68,-5.55%,23.67%,33.893,2.85%,36.84
15,2025-12-25,136.186,14600.49,111.08,-5.68%,22.61%,33.893,3.16%,37.31
16,2025-12-24,136.006,19404.83,111.08,-5.63%,22.45%,33.893,4.22%,37.31
17,2025-12-23,135.075,14211.07,109.68,-5.40%,23.16%,33.893,3.10%,36.84
18,2025-12-22,135.591,43716.93,109.26,-5.52%,24.10%,33.893,9.61%,36.70
19,2025-12-19,130.997,10628.99,99.32,-4.36%,31.90%,33.893,2.39%,33.36
20,2025-12-18,131.385,11291.15,102.41,-4.45%,28.29%,33.893,2.53%,34.40
21,2025-12-17,131.664,13479.43,103.69,-4.52%,26.98%,33.893,3.04%,34.83
22,2025-12-16,130.395,16586.06,104.44,-4.19%,24.86%,33.893,3.74%,35.08
23,2025-12-15,132.161,16517.29,108.63,-4.64%,21.66%,33.893,3.68%,36.49
24,2025-12-12,133.256,38123.39,111.02,-4.90%,20.03%,33.893,8.45%,37.29
25,2025-12-11,132.572,52464.05,108.66,-4.72%,22.00%,33.893,11.68%,36.50
26,2025-12-10,131.127,55409.60,98.78,-4.36%,32.75%,33.893,12.51%,33.18
27,2025-12-09,127.336,6177.32,89.79,-3.38%,41.82%,33.893,1.42%,30.16
28,2025-12-08,127.810,8159.21,88.78,-3.50%,43.97%,33.893,1.88%,29.82
29,2025-12-05,126.984,4799.32,87.53,-3.27%,45.08%,33.893,1.12%,29.40
30,2025-12-04,126.030,11767.31,87.85,-3.02%,43.45%,33.893,2.76%,29.51
