序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,143.343,21317.18,122.72,-6.25%,16.80%,3.679,40.33%,10.64
2,2026-03-19,142.097,14517.30,116.72,-5.96%,21.74%,3.679,27.53%,10.12
3,2026-03-18,143.507,49200.18,117.99,-6.27%,21.62%,3.679,93.70%,10.23
4,2026-03-17,138.834,4967.19,109.92,-5.20%,26.31%,3.679,9.65%,9.53
5,2026-03-16,141.297,4610.03,111.53,-5.76%,26.69%,3.679,8.90%,9.67
6,2026-03-13,141.362,4589.25,111.88,-5.76%,26.35%,3.679,8.78%,9.70
7,2026-03-12,143.017,3171.04,114.19,-6.13%,25.25%,3.679,5.99%,9.90
8,2026-03-11,144.821,3623.89,115.57,-6.52%,25.31%,3.679,6.79%,10.02
9,2026-03-10,145.061,4272.50,116.03,-6.57%,25.02%,3.679,8.01%,10.06
10,2026-03-09,144.551,6909.37,116.15,-6.45%,24.45%,3.679,13.06%,10.07
11,2026-03-06,145.178,4862.66,115.57,-6.35%,25.62%,3.679,9.12%,10.02
12,2026-03-05,145.009,5593.22,114.65,-6.31%,26.48%,3.679,10.45%,9.94
13,2026-03-04,144.715,7236.86,113.26,-6.24%,27.77%,3.679,13.66%,9.82
14,2026-03-03,144.124,8896.85,112.80,-6.10%,27.77%,3.679,16.59%,9.78
15,2026-03-02,145.487,6197.95,112.80,-6.40%,28.97%,3.679,11.58%,9.78
16,2026-02-27,145.284,5237.66,112.57,-6.33%,29.06%,3.679,9.83%,9.76
17,2026-02-26,143.755,3027.56,109.69,-5.99%,31.06%,3.679,5.71%,9.51
18,2026-02-25,144.762,3062.00,108.19,-6.21%,33.80%,3.679,5.74%,9.38
19,2026-02-24,144.746,3318.04,107.96,-6.20%,34.08%,3.679,6.24%,9.36
20,2026-02-13,142.770,3936.93,105.77,-5.71%,34.99%,3.679,7.46%,9.17
21,2026-02-12,143.549,2675.50,106.92,-5.87%,34.26%,3.679,5.05%,9.27
22,2026-02-11,143.546,2319.50,107.73,-5.87%,33.25%,3.679,4.39%,9.34
23,2026-02-10,143.436,3177.71,107.61,-5.84%,33.29%,3.679,6.02%,9.33
24,2026-02-09,143.924,3508.59,108.07,-5.94%,33.17%,3.679,6.66%,9.37
25,2026-02-06,142.004,4811.79,106.23,-5.51%,33.68%,3.679,9.25%,9.21
26,2026-02-05,140.155,5234.65,105.19,-5.09%,33.24%,3.679,10.13%,9.12
27,2026-02-04,141.671,3576.89,106.81,-5.42%,32.64%,3.679,6.87%,9.26
28,2026-02-03,141.235,4412.22,105.42,-5.32%,33.97%,3.679,8.54%,9.14
29,2026-02-02,138.778,6950.11,104.84,-4.77%,32.37%,3.679,13.53%,9.09
30,2026-01-30,140.480,6615.51,106.23,-5.14%,32.24%,3.679,12.75%,9.21
