序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,130.790,2830.03,64.45,-3.51%,102.92%,5.999,3.61%,11.84
2,2026-02-12,130.816,1842.58,66.03,-3.51%,98.11%,5.999,2.35%,12.13
3,2026-02-11,130.930,2982.79,67.77,-3.54%,93.19%,5.999,3.80%,12.45
4,2026-02-10,130.575,3353.70,68.59,-3.45%,90.37%,5.999,4.29%,12.60
5,2026-02-09,130.800,4056.89,70.17,-3.50%,86.41%,5.999,5.18%,12.89
6,2026-02-06,129.307,1890.31,69.57,-3.16%,85.87%,5.999,2.44%,12.78
7,2026-02-05,128.969,2851.74,70.88,-3.08%,81.96%,5.999,3.68%,13.02
8,2026-02-04,129.579,3732.22,71.26,-3.21%,81.85%,5.999,4.80%,13.09
9,2026-02-03,129.200,6555.17,71.69,-3.13%,80.21%,5.999,8.45%,13.17
10,2026-02-02,128.955,10510.82,76.43,-3.07%,68.73%,5.999,13.50%,14.04
11,2026-01-30,129.963,6896.82,79.42,-3.29%,63.63%,5.999,8.80%,14.59
12,2026-01-29,131.349,7322.92,74.14,-3.59%,77.16%,5.999,9.27%,13.62
13,2026-01-28,132.607,9955.31,73.82,-3.86%,79.65%,5.999,12.55%,13.56
14,2026-01-27,129.058,4263.96,69.73,-3.08%,85.07%,5.999,5.51%,12.81
15,2026-01-26,128.942,3528.78,70.33,-3.05%,83.33%,5.999,4.56%,12.92
16,2026-01-23,129.430,2843.58,68.48,-3.15%,89.00%,5.999,3.66%,12.58
17,2026-01-22,129.125,4329.70,67.39,-3.08%,91.60%,5.999,5.61%,12.38
18,2026-01-21,126.907,2438.77,65.54,-2.57%,93.63%,5.999,3.21%,12.04
19,2026-01-20,127.138,2604.39,66.30,-2.62%,91.75%,5.999,3.41%,12.18
20,2026-01-19,127.738,2888.83,66.41,-2.76%,92.34%,5.999,3.78%,12.20
21,2026-01-16,126.275,2454.78,65.16,-2.42%,93.79%,5.999,3.24%,11.97
22,2026-01-15,125.635,1823.53,65.43,-2.27%,92.01%,5.999,2.42%,12.02
23,2026-01-14,125.556,2159.64,65.43,-2.25%,91.89%,5.999,2.86%,12.02
24,2026-01-13,125.665,1993.30,65.38,-2.27%,92.21%,5.999,2.62%,12.01
25,2026-01-12,127.078,2049.72,66.30,-2.59%,91.66%,5.999,2.69%,12.18
26,2026-01-09,126.465,1322.35,65.43,-2.45%,93.27%,5.999,1.75%,12.02
27,2026-01-08,125.742,1278.31,65.65,-2.28%,91.53%,5.999,1.69%,12.06
28,2026-01-07,125.901,1444.17,65.43,-2.32%,92.41%,5.999,1.91%,12.02
29,2026-01-06,125.270,1495.20,65.60,-2.17%,90.97%,5.999,1.99%,12.05
30,2026-01-05,124.573,3325.42,64.89,-2.01%,91.98%,5.999,4.45%,11.92
