序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,137.100,9048.00,109.91,-4.43%,24.74%,6.662,9.83%,22.29
2,2026-05-20,136.879,8456.15,109.86,-4.38%,24.59%,6.662,9.23%,22.28
3,2026-05-19,137.247,10670.98,109.81,-4.46%,24.98%,6.662,11.76%,22.27
4,2026-05-18,136.082,5138.03,110.26,-4.19%,23.42%,6.662,5.67%,22.36
5,2026-05-15,136.438,7460.62,112.57,-4.26%,21.20%,6.662,8.21%,22.83
6,2026-05-14,136.108,7492.70,110.45,-4.18%,23.23%,6.662,8.27%,22.40
7,2026-05-13,136.485,5191.99,108.63,-4.26%,25.64%,6.662,5.73%,22.03
8,2026-05-12,135.566,4002.52,106.02,-4.05%,27.87%,6.662,4.41%,21.50
9,2026-05-11,136.888,6596.86,105.92,-4.35%,29.24%,6.662,7.25%,21.48
10,2026-05-08,135.845,6946.01,103.99,-4.10%,30.63%,6.662,7.69%,21.09
11,2026-05-07,135.081,5188.80,101.23,-3.92%,33.44%,6.662,5.76%,20.53
12,2026-05-06,135.076,7432.76,101.87,-3.92%,32.59%,6.662,8.26%,20.66
13,2026-04-30,134.604,6373.42,103.16,-3.79%,30.49%,6.662,7.09%,20.92
14,2026-04-29,135.431,3755.13,103.99,-3.98%,30.23%,6.662,4.16%,21.09
15,2026-04-28,135.319,4609.87,103.99,-3.95%,30.12%,6.662,5.09%,21.09
16,2026-04-27,136.172,7805.77,105.13,-4.14%,29.53%,6.662,8.64%,21.32
17,2026-04-24,134.821,7264.98,101.58,-3.82%,32.73%,6.662,8.12%,20.60
18,2026-04-23,134.581,6160.09,100.59,-3.76%,33.79%,6.662,6.87%,20.40
19,2026-04-22,135.133,4578.74,101.28,-3.88%,33.42%,6.662,5.08%,20.54
20,2026-04-21,134.928,4313.52,100.79,-3.83%,33.87%,6.662,4.80%,20.44
21,2026-04-20,135.477,9922.13,102.81,-3.96%,31.77%,6.662,11.03%,20.85
22,2026-04-17,134.930,4813.45,99.61,-3.82%,35.46%,6.662,5.35%,20.20
23,2026-04-16,135.296,6693.87,101.92,-3.90%,32.74%,6.662,7.46%,20.67
24,2026-04-15,133.978,7684.31,99.06,-3.60%,35.25%,6.662,8.64%,20.09
25,2026-04-14,132.566,5914.40,98.18,-3.27%,35.03%,6.662,6.72%,19.91
26,2026-04-13,132.580,5428.77,98.62,-3.28%,34.44%,6.662,6.15%,20.00
27,2026-04-10,133.750,5030.26,99.61,-3.53%,34.28%,6.662,5.59%,20.20
28,2026-04-09,135.086,6740.31,99.36,-3.83%,35.96%,6.662,7.49%,20.15
29,2026-04-08,135.835,7841.93,103.99,-3.99%,30.62%,6.662,8.68%,21.09
30,2026-04-07,133.144,6709.53,101.92,-3.39%,30.63%,6.662,7.56%,20.67
