序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-12,123.250,0.00,124.56,-0.96%,-1.05%,0.014,0.00%,14.30
2,2026-02-11,123.250,0.00,125.17,-0.96%,-1.54%,0.020,0.00%,14.37
3,2026-02-10,123.250,0.00,127.79,-0.96%,-3.55%,0.034,0.00%,14.67
4,2026-02-09,123.250,89258.42,124.04,-0.96%,-0.64%,0.134,5300.82%,14.24
5,2026-02-06,116.233,12567.45,116.55,0.77%,-0.27%,0.975,111.24%,13.38
6,2026-02-05,115.031,8340.86,115.07,1.08%,-0.03%,1.439,49.91%,13.21
7,2026-02-04,116.653,10709.78,116.90,0.66%,-0.21%,1.823,50.09%,13.42
8,2026-02-03,119.230,18767.93,119.77,0.02%,-0.45%,2.194,71.80%,13.75
9,2026-02-02,119.486,12841.97,119.43,-0.05%,0.05%,2.993,35.27%,13.71
10,2026-01-30,123.967,29161.81,125.17,-1.12%,-0.96%,3.187,73.39%,14.37
11,2026-01-29,128.823,14708.20,129.18,-2.22%,-0.28%,3.911,29.09%,14.83
12,2026-01-28,129.968,9637.44,129.97,-2.47%,0.00%,4.114,17.96%,14.92
13,2026-01-27,132.137,23216.81,132.67,-2.94%,-0.40%,4.154,42.21%,15.23
14,2026-01-26,132.793,12347.08,132.49,-3.07%,0.23%,4.398,20.86%,15.21
15,2026-01-23,138.488,16703.41,139.20,-4.24%,-0.51%,4.470,26.99%,15.98
16,2026-01-22,139.384,35084.11,140.51,-4.42%,-0.80%,4.735,53.58%,16.13
17,2026-01-21,135.575,41769.26,137.28,-3.64%,-1.24%,5.141,60.82%,15.76
18,2026-01-20,137.278,23813.71,135.89,-3.99%,1.02%,5.481,31.42%,15.60
19,2026-01-19,142.103,17447.71,139.02,-4.94%,2.21%,5.488,22.36%,15.96
20,2026-01-16,143.417,25280.29,140.68,-5.18%,1.95%,5.488,32.13%,16.15
21,2026-01-15,140.965,45539.06,136.15,-4.70%,3.54%,5.488,57.45%,15.63
22,2026-01-14,155.605,15573.46,138.15,-7.37%,12.63%,5.488,18.03%,15.86
23,2026-01-13,155.148,12576.28,138.33,-7.29%,12.16%,5.488,14.57%,15.88
24,2026-01-12,161.384,12099.66,142.68,-8.33%,13.11%,5.488,13.66%,16.38
25,2026-01-09,161.959,15314.05,145.21,-8.40%,11.54%,5.488,17.16%,16.67
26,2026-01-08,163.504,44662.02,147.91,-8.65%,10.54%,5.488,49.62%,16.98
27,2026-01-07,159.741,26657.45,141.73,-8.03%,12.71%,5.488,30.72%,16.27
28,2026-01-06,160.328,105628.44,145.21,-8.12%,10.41%,5.488,123.14%,16.67
29,2026-01-05,150.384,9123.22,131.97,-6.42%,13.95%,5.488,11.08%,15.15
30,2025-12-31,148.301,5283.02,130.05,-6.02%,14.03%,5.488,6.51%,14.93
