序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,129.077,3489.07,92.86,-3.76%,39.01%,6.715,4.00%,7.41
2,2026-05-20,129.730,3738.64,93.86,-3.91%,38.22%,6.715,4.27%,7.49
3,2026-05-19,130.901,3385.29,95.61,-4.18%,36.91%,6.715,3.86%,7.63
4,2026-05-18,129.510,3847.52,94.49,-3.85%,37.07%,6.715,4.42%,7.54
5,2026-05-15,129.904,6085.81,94.74,-3.94%,37.12%,6.715,6.95%,7.56
6,2026-05-14,130.883,3931.02,95.24,-4.16%,37.43%,6.715,4.46%,7.60
7,2026-05-13,131.866,3178.90,95.61,-4.38%,37.91%,6.715,3.59%,7.63
8,2026-05-12,132.004,5662.50,95.24,-4.41%,38.60%,6.715,6.38%,7.60
9,2026-05-11,132.536,4905.58,96.12,-4.52%,37.89%,6.715,5.51%,7.67
10,2026-05-08,132.438,4022.48,96.49,-4.49%,37.25%,6.715,4.51%,7.70
11,2026-05-07,132.506,4690.91,96.24,-4.50%,37.68%,6.715,5.26%,7.68
12,2026-05-06,132.486,5090.64,96.74,-4.49%,36.95%,6.715,5.74%,7.72
13,2026-04-30,131.078,4503.23,97.37,-4.15%,34.62%,6.715,5.10%,7.77
14,2026-04-29,131.294,4582.91,97.62,-4.20%,34.50%,6.715,5.20%,7.79
15,2026-04-28,130.629,5404.30,97.37,-4.05%,34.16%,6.715,6.15%,7.77
16,2026-04-27,130.919,6580.55,97.24,-4.11%,34.63%,6.715,7.51%,7.76
17,2026-04-24,130.053,7455.94,95.61,-3.90%,36.02%,6.715,8.51%,7.63
18,2026-04-23,131.499,9900.26,96.49,-4.23%,36.28%,6.715,11.21%,7.70
19,2026-04-22,132.570,10619.76,97.74,-4.46%,35.63%,6.715,11.95%,7.80
20,2026-04-21,134.994,5138.01,104.26,-4.99%,29.48%,6.715,5.69%,8.32
21,2026-04-20,134.087,9097.32,103.01,-4.79%,30.17%,6.715,10.08%,8.22
22,2026-04-17,134.112,8548.56,103.13,-4.78%,30.04%,6.715,9.51%,8.23
23,2026-04-16,133.747,7558.56,103.26,-4.70%,29.53%,6.715,8.41%,8.24
24,2026-04-15,133.558,5627.30,103.76,-4.65%,28.72%,6.715,6.27%,8.28
25,2026-04-14,133.370,3652.58,103.89,-4.61%,28.38%,6.715,4.10%,8.29
26,2026-04-13,132.635,4849.24,103.89,-4.44%,27.68%,6.715,5.44%,8.29
27,2026-04-10,133.668,3980.36,103.89,-4.66%,28.67%,6.715,4.42%,8.29
28,2026-04-09,133.712,4933.73,103.01,-4.66%,29.81%,6.715,5.50%,8.22
29,2026-04-08,133.962,6487.64,102.76,-4.71%,30.37%,6.715,7.21%,8.20
30,2026-04-07,131.982,6114.68,102.13,-4.28%,29.23%,6.715,6.90%,8.15
