序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,131.124,9317.62,96.00,-2.41%,36.58%,13.022,5.46%,15.61
2,2026-01-15,130.461,11979.31,95.76,-2.28%,36.24%,13.022,7.07%,15.57
3,2026-01-14,129.940,9692.25,93.85,-2.18%,38.46%,13.022,5.71%,15.26
4,2026-01-13,130.106,9246.03,94.90,-2.21%,37.10%,13.022,5.40%,15.43
5,2026-01-12,133.103,9839.39,96.62,-2.78%,37.76%,13.022,5.70%,15.71
6,2026-01-09,131.711,11350.39,96.62,-2.51%,36.32%,13.022,6.60%,15.71
7,2026-01-08,131.892,13277.60,97.05,-2.54%,35.90%,13.022,7.68%,15.78
8,2026-01-07,131.683,10234.18,95.39,-2.50%,38.05%,13.022,5.95%,15.51
9,2026-01-06,131.679,8684.88,94.77,-2.50%,38.94%,13.022,5.07%,15.41
10,2026-01-05,129.926,5550.61,91.39,-2.16%,42.17%,13.022,3.27%,14.86
11,2025-12-31,129.385,4503.60,90.90,-2.05%,42.34%,13.022,2.66%,14.78
12,2025-12-30,130.052,6580.82,91.14,-2.17%,42.69%,13.022,3.87%,14.82
13,2025-12-29,129.998,7468.19,92.74,-2.16%,40.17%,13.022,4.41%,15.08
14,2025-12-26,130.758,8615.32,93.91,-2.30%,39.24%,13.022,5.04%,15.27
15,2025-12-25,131.967,6699.75,95.08,-2.53%,38.80%,13.022,3.90%,15.46
16,2025-12-24,130.225,2470.18,92.01,-2.12%,41.54%,13.022,1.46%,14.96
17,2025-12-23,128.186,2275.53,90.53,-1.73%,41.60%,13.022,1.36%,14.72
18,2025-12-22,129.066,1762.95,91.45,-1.90%,41.13%,13.022,1.05%,14.87
19,2025-12-19,129.047,2427.65,91.51,-1.89%,41.02%,13.022,1.45%,14.88
20,2025-12-18,129.210,4126.61,90.78,-1.92%,42.34%,13.022,2.46%,14.76
21,2025-12-17,127.352,2949.54,90.16,-1.56%,41.25%,13.022,1.78%,14.66
22,2025-12-16,127.185,2535.25,89.42,-1.52%,42.23%,13.022,1.54%,14.54
23,2025-12-15,127.014,2320.51,90.28,-1.49%,40.68%,13.022,1.41%,14.68
24,2025-12-12,127.087,2276.86,89.18,-1.50%,42.51%,13.022,1.38%,14.50
25,2025-12-11,127.034,3381.25,89.85,-1.49%,41.38%,13.022,2.04%,14.61
26,2025-12-10,128.172,4147.38,91.14,-1.71%,40.63%,13.022,2.48%,14.82
27,2025-12-09,128.716,2081.21,91.94,-1.81%,39.99%,13.022,1.24%,14.95
28,2025-12-08,129.957,2593.79,94.10,-2.05%,38.11%,13.022,1.53%,15.30
29,2025-12-05,130.008,2363.31,94.65,-2.05%,37.36%,13.022,1.40%,15.39
30,2025-12-04,129.439,2108.29,94.90,-1.94%,36.40%,13.022,1.25%,15.43
