序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,138.057,4299.27,97.66,-3.77%,41.36%,13.022,2.38%,15.88
2,2026-02-12,138.200,3858.98,99.26,-3.79%,39.23%,13.022,2.13%,16.14
3,2026-02-11,139.135,3843.56,99.63,-3.96%,39.65%,13.022,2.12%,16.20
4,2026-02-10,138.369,2766.71,99.57,-3.82%,38.97%,13.022,1.53%,16.19
5,2026-02-09,138.211,3467.53,99.45,-3.78%,38.98%,13.022,1.93%,16.17
6,2026-02-06,137.654,7453.46,99.94,-3.67%,37.74%,13.022,4.16%,16.25
7,2026-02-05,136.278,3541.22,99.26,-3.42%,37.29%,13.022,2.00%,16.14
8,2026-02-04,136.297,4048.02,99.08,-3.42%,37.57%,13.022,2.29%,16.11
9,2026-02-03,135.396,7695.62,98.71,-3.25%,37.17%,13.022,4.39%,16.05
10,2026-02-02,132.697,8374.50,96.43,-2.74%,37.61%,13.022,4.84%,15.68
11,2026-01-30,133.955,11099.91,99.45,-2.97%,34.70%,13.022,6.32%,16.17
12,2026-01-29,136.246,4825.80,98.03,-3.40%,38.98%,13.022,2.71%,15.94
13,2026-01-28,137.018,5574.04,98.28,-3.54%,39.42%,13.022,3.14%,15.98
14,2026-01-27,135.365,6602.92,98.28,-3.23%,37.74%,13.022,3.77%,15.98
15,2026-01-26,136.000,7586.59,99.08,-3.34%,37.27%,13.022,4.28%,16.11
16,2026-01-23,136.194,7748.62,99.57,-3.37%,36.78%,13.022,4.38%,16.19
17,2026-01-22,134.723,8747.46,100.12,-3.10%,34.56%,13.022,4.99%,16.28
18,2026-01-21,132.792,7343.21,98.03,-2.73%,35.46%,13.022,4.25%,15.94
19,2026-01-20,133.102,5044.99,99.26,-2.79%,34.09%,13.022,2.92%,16.14
20,2026-01-19,132.549,7532.76,97.54,-2.68%,35.89%,13.022,4.38%,15.86
21,2026-01-16,131.124,9317.62,96.00,-2.41%,36.58%,13.022,5.46%,15.61
22,2026-01-15,130.461,11979.31,95.76,-2.28%,36.24%,13.022,7.07%,15.57
23,2026-01-14,129.940,9692.25,93.85,-2.18%,38.46%,13.022,5.71%,15.26
24,2026-01-13,130.106,9246.03,94.90,-2.21%,37.10%,13.022,5.40%,15.43
25,2026-01-12,133.103,9839.39,96.62,-2.78%,37.76%,13.022,5.70%,15.71
26,2026-01-09,131.711,11350.39,96.62,-2.51%,36.32%,13.022,6.60%,15.71
27,2026-01-08,131.892,13277.60,97.05,-2.54%,35.90%,13.022,7.68%,15.78
28,2026-01-07,131.683,10234.18,95.39,-2.50%,38.05%,13.022,5.95%,15.51
29,2026-01-06,131.679,8684.88,94.77,-2.50%,38.94%,13.022,5.07%,15.41
30,2026-01-05,129.926,5550.61,91.39,-2.16%,42.17%,13.022,3.27%,14.86
