序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,192.679,0.00,187.73,-11.17%,2.64%,0.018,0.00%,10.25
2,2026-03-19,192.679,0.00,193.96,-11.17%,-0.66%,0.019,0.00%,10.59
3,2026-03-18,192.679,0.00,197.80,-11.17%,-2.59%,0.101,0.00%,10.80
4,2026-03-17,192.679,53950.42,195.06,-11.17%,-1.22%,0.120,2273.93%,10.65
5,2026-03-16,198.499,183759.23,197.62,-11.82%,0.45%,0.704,1336.65%,10.79
6,2026-03-13,179.899,22058.23,179.67,-9.62%,0.13%,0.796,151.52%,9.81
7,2026-03-12,191.475,56411.28,192.31,-11.00%,-0.43%,1.105,267.33%,10.50
8,2026-03-11,189.190,34517.93,189.74,-10.72%,-0.29%,1.416,127.37%,10.36
9,2026-03-10,191.895,93588.31,193.04,-11.03%,-0.59%,1.932,255.10%,10.54
10,2026-03-09,184.460,67549.02,184.07,-10.15%,0.21%,2.548,143.07%,10.05
11,2026-03-06,200.230,162942.09,200.00,-11.93%,0.11%,2.739,303.59%,10.92
12,2026-03-05,188.854,60099.91,187.00,-10.64%,0.99%,2.829,114.24%,10.21
13,2026-03-04,189.983,332255.34,190.48,-10.77%,-0.26%,2.948,590.13%,10.40
14,2026-03-03,179.859,275029.69,182.60,-9.55%,-1.50%,3.330,455.37%,9.97
15,2026-03-02,168.832,155983.14,173.99,-8.13%,-2.97%,3.944,240.70%,9.50
16,2026-02-27,159.351,51489.23,160.44,-6.80%,-0.68%,4.952,65.71%,8.76
17,2026-02-26,161.699,43374.76,163.19,-7.13%,-0.91%,5.410,49.86%,8.91
18,2026-02-25,158.485,43668.57,158.79,-6.66%,-0.19%,5.751,47.92%,8.67
19,2026-02-24,153.489,63582.01,154.03,-5.92%,-0.35%,5.893,69.93%,8.41
20,2026-02-13,145.241,19444.52,146.52,-4.61%,-0.87%,6.163,21.39%,8.00
21,2026-02-12,150.892,13656.80,150.92,-5.49%,-0.02%,6.433,14.10%,8.24
22,2026-02-11,151.092,20347.25,152.38,-5.51%,-0.85%,6.612,20.34%,8.32
23,2026-02-10,150.412,37681.67,153.11,-5.41%,-1.76%,6.844,36.58%,8.36
24,2026-02-09,148.407,32718.51,149.08,-5.09%,-0.45%,7.183,30.93%,8.14
25,2026-02-06,143.377,12573.42,137.36,-4.29%,4.38%,7.203,12.26%,7.50
26,2026-02-05,140.292,7839.96,131.14,-3.78%,6.98%,7.203,7.74%,7.16
27,2026-02-04,142.311,9668.77,132.42,-4.11%,7.47%,7.203,9.38%,7.23
28,2026-02-03,144.949,10235.32,127.84,-4.53%,13.38%,7.203,9.90%,6.98
29,2026-02-02,140.053,7751.46,124.36,-3.73%,12.62%,7.203,7.63%,6.79
30,2026-01-30,143.300,11145.07,128.76,-4.25%,11.30%,7.203,10.77%,7.03
