序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,167.976,8224.49,126.50,-7.34%,32.78%,8.121,6.02%,31.55
2,2026-01-19,169.720,22478.37,129.71,-7.55%,30.84%,8.121,16.16%,32.35
3,2026-01-16,171.224,21881.40,138.05,-7.72%,24.03%,8.121,15.71%,34.43
4,2026-01-15,166.025,10045.09,130.19,-7.08%,27.52%,8.121,7.48%,32.47
5,2026-01-14,165.253,27199.03,127.91,-6.98%,29.20%,8.121,19.99%,31.90
6,2026-01-13,163.162,30263.09,126.42,-6.71%,29.06%,8.121,22.96%,31.53
7,2026-01-12,163.003,34677.84,123.50,-6.68%,31.99%,8.121,25.84%,30.80
8,2026-01-09,162.807,76022.33,123.06,-6.65%,32.30%,8.121,58.87%,30.69
9,2026-01-08,157.896,186137.10,113.35,-6.00%,39.30%,8.121,146.32%,28.27
10,2026-01-07,140.737,9909.12,103.05,-3.55%,36.58%,8.121,8.70%,25.70
11,2026-01-06,138.069,7344.46,102.73,-3.14%,34.40%,8.121,6.56%,25.62
12,2026-01-05,137.161,10031.17,104.33,-2.99%,31.47%,8.121,9.05%,26.02
13,2025-12-31,134.375,2928.53,100.44,-2.54%,33.78%,8.121,2.68%,25.05
14,2025-12-30,134.404,5204.42,101.64,-2.54%,32.23%,8.121,4.76%,25.35
15,2025-12-29,133.900,3891.10,99.44,-2.46%,34.66%,8.121,3.57%,24.80
16,2025-12-26,133.531,5134.12,98.04,-2.40%,36.21%,8.121,4.73%,24.45
17,2025-12-25,133.342,5164.04,95.83,-2.36%,39.14%,8.121,4.81%,23.90
18,2025-12-24,132.506,12099.93,95.75,-2.23%,38.39%,8.121,11.32%,23.88
19,2025-12-23,129.488,4609.24,92.34,-1.73%,40.23%,8.121,4.38%,23.03
20,2025-12-22,129.107,2389.54,88.37,-1.66%,46.09%,8.121,2.28%,22.04
21,2025-12-19,128.642,2319.58,89.21,-1.58%,44.19%,8.121,2.22%,22.25
22,2025-12-18,128.017,1240.18,88.53,-1.47%,44.60%,8.121,1.19%,22.08
23,2025-12-17,127.708,2691.86,88.01,-1.42%,45.10%,8.121,2.61%,21.95
24,2025-12-16,127.215,2311.26,86.61,-1.33%,46.89%,8.121,2.24%,21.60
25,2025-12-15,127.918,1700.72,87.89,-1.45%,45.54%,8.121,1.64%,21.92
26,2025-12-12,128.421,1867.55,88.41,-1.54%,45.25%,8.121,1.80%,22.05
27,2025-12-11,128.014,1192.82,88.65,-1.47%,44.40%,8.121,1.15%,22.11
28,2025-12-10,128.196,1184.09,88.73,-1.50%,44.47%,8.121,1.14%,22.13
29,2025-12-09,128.065,1553.15,88.61,-1.47%,44.52%,8.121,1.49%,22.10
30,2025-12-08,128.382,3135.43,89.29,-1.53%,43.77%,8.121,3.00%,22.27
