序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,161.214,4752.74,119.48,-5.99%,34.93%,5.197,5.67%,27.05
2,2026-04-20,160.921,3432.11,120.14,-5.95%,33.94%,5.197,4.11%,27.20
3,2026-04-17,161.603,4337.70,123.23,-6.02%,31.14%,5.197,5.14%,27.90
4,2026-04-16,162.171,7863.26,128.09,-6.08%,26.61%,5.197,9.35%,29.00
5,2026-04-15,164.763,12115.45,131.98,-6.37%,24.84%,5.197,14.24%,29.88
6,2026-04-14,161.380,5289.11,128.05,-5.99%,26.03%,5.197,6.32%,28.99
7,2026-04-13,160.888,9183.73,129.20,-5.93%,24.53%,5.197,10.93%,29.25
8,2026-04-10,161.009,8143.06,126.41,-5.93%,27.37%,5.197,9.72%,28.62
9,2026-04-09,158.972,18811.24,122.92,-5.69%,29.33%,5.197,22.27%,27.83
10,2026-04-08,159.573,6206.96,120.50,-5.76%,32.43%,5.197,7.55%,27.28
11,2026-04-07,153.933,5114.01,116.56,-5.09%,32.06%,5.197,6.35%,26.39
12,2026-04-03,152.482,5750.48,115.37,-4.91%,32.17%,5.197,7.25%,26.12
13,2026-04-02,150.427,7423.06,111.75,-4.65%,34.61%,5.197,9.51%,25.30
14,2026-04-01,153.110,10859.40,111.53,-4.98%,37.28%,5.197,13.71%,25.25
15,2026-03-31,148.448,43459.79,108.08,-4.40%,37.35%,5.197,54.27%,24.47
16,2026-03-30,148.295,4180.09,109.10,-4.38%,35.93%,5.197,5.39%,24.70
17,2026-03-27,150.578,5796.53,109.32,-4.66%,37.74%,5.197,7.38%,24.75
18,2026-03-26,147.992,7144.96,106.67,-4.33%,38.74%,5.197,9.18%,24.15
19,2026-03-25,153.391,3010.61,107.16,-4.99%,43.15%,5.197,3.77%,24.26
20,2026-03-24,151.273,2929.47,103.58,-4.73%,46.05%,5.197,3.79%,23.45
21,2026-03-23,146.002,3204.49,100.62,-4.08%,45.10%,5.197,4.20%,22.78
22,2026-03-20,149.629,6852.13,104.90,-4.52%,42.64%,5.197,8.80%,23.75
23,2026-03-19,146.441,2672.53,102.47,-4.12%,42.91%,5.197,3.47%,23.20
24,2026-03-18,152.348,2040.16,105.61,-4.85%,44.26%,5.197,2.62%,23.91
25,2026-03-17,148.794,2921.69,104.68,-4.41%,42.14%,5.197,3.74%,23.70
26,2026-03-16,154.115,3620.85,109.10,-5.06%,41.26%,5.197,4.56%,24.70
27,2026-03-13,155.290,3990.56,108.70,-5.19%,42.86%,5.197,4.87%,24.61
28,2026-03-12,155.854,1733.88,106.71,-5.25%,46.05%,5.197,2.13%,24.16
29,2026-03-11,158.590,2994.07,109.19,-5.57%,45.25%,5.197,3.63%,24.72
30,2026-03-10,157.301,3588.81,108.22,-5.41%,45.36%,5.197,4.41%,24.50
