序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,175.069,1939.04,93.71,-6.94%,86.81%,5.800,1.90%,31.90
2,2026-02-12,175.693,2353.60,93.33,-6.99%,88.25%,5.800,2.31%,31.77
3,2026-02-11,175.925,4493.42,94.18,-7.01%,86.79%,5.800,4.39%,32.06
4,2026-02-10,176.686,9782.64,93.13,-7.07%,89.73%,5.800,9.57%,31.70
5,2026-02-09,172.534,3851.57,91.28,-6.69%,89.03%,5.800,3.85%,31.07
6,2026-02-06,169.703,4731.03,88.90,-6.41%,90.90%,5.800,4.80%,30.26
7,2026-02-05,168.715,5892.24,88.51,-6.31%,90.61%,5.800,5.96%,30.13
8,2026-02-04,175.060,10535.55,89.69,-6.91%,95.19%,5.800,10.24%,30.53
9,2026-02-03,174.111,8502.20,90.36,-6.82%,92.68%,5.800,8.53%,30.76
10,2026-02-02,168.564,10027.06,88.43,-6.29%,90.63%,5.800,9.93%,30.10
11,2026-01-30,181.406,7121.09,89.87,-7.46%,101.87%,5.800,6.81%,30.59
12,2026-01-29,181.795,10156.61,88.01,-7.49%,106.55%,5.800,9.63%,29.96
13,2026-01-28,182.607,9195.80,91.36,-7.56%,99.87%,5.800,8.69%,31.10
14,2026-01-27,181.910,24033.28,93.42,-7.49%,94.72%,5.800,22.92%,31.80
15,2026-01-26,178.345,8925.45,92.48,-7.18%,92.85%,5.800,8.59%,31.48
16,2026-01-23,182.006,18451.94,94.27,-7.49%,93.07%,5.800,17.38%,32.09
17,2026-01-22,184.766,26259.57,94.42,-7.72%,95.69%,5.800,24.58%,32.14
18,2026-01-21,184.483,59451.44,93.24,-7.70%,97.85%,5.800,56.24%,31.74
19,2026-01-20,178.119,134842.53,90.28,-7.14%,97.30%,5.800,124.41%,30.73
20,2026-01-19,188.760,6633.78,93.42,-8.05%,102.06%,5.800,6.06%,31.80
21,2026-01-16,157.300,2128.83,92.13,-5.13%,70.74%,5.800,2.38%,31.36
