序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,218.343,33748.31,174.57,-85.40%,25.07%,2.868,53.28%,5.08
2,2026-01-19,220.528,58639.47,176.98,-85.83%,24.61%,2.868,91.56%,5.15
3,2026-01-16,214.471,39370.71,173.88,-82.37%,23.34%,2.868,62.74%,5.06
4,2026-01-15,213.857,22106.45,169.76,-81.75%,25.98%,2.868,36.35%,4.94
5,2026-01-14,212.975,49006.15,171.82,-81.04%,23.95%,2.868,78.95%,5.00
6,2026-01-13,215.542,159436.04,172.17,-81.66%,25.20%,2.868,250.90%,5.01
7,2026-01-12,208.646,21161.10,165.98,-78.60%,25.71%,2.868,35.27%,4.83
8,2026-01-09,210.192,35458.29,167.01,-78.18%,25.86%,2.868,59.33%,4.86
9,2026-01-08,201.542,21989.38,163.92,-74.30%,22.95%,2.868,38.19%,4.77
10,2026-01-07,197.197,22435.23,163.57,-72.10%,20.56%,2.868,39.47%,4.76
11,2026-01-06,198.787,139184.62,167.35,-72.48%,18.78%,2.868,244.41%,4.87
12,2026-01-05,187.277,47649.13,159.11,-66.89%,17.71%,2.868,86.88%,4.63
13,2025-12-31,180.868,10754.12,152.58,-62.31%,18.54%,2.868,20.55%,4.44
14,2025-12-30,186.667,11476.05,156.36,-64.91%,19.38%,2.868,21.50%,4.55
15,2025-12-29,189.119,51149.48,160.14,-65.78%,18.10%,2.868,93.04%,4.66
16,2025-12-26,185.228,11867.60,156.01,-63.14%,18.73%,2.868,22.00%,4.54
17,2025-12-25,191.397,13961.32,158.08,-65.72%,21.08%,2.868,25.55%,4.60
18,2025-12-24,189.595,17637.12,157.39,-64.64%,20.46%,2.868,32.70%,4.58
19,2025-12-23,183.966,13071.75,155.67,-61.77%,18.18%,2.868,24.65%,4.53
20,2025-12-22,188.039,16517.87,158.08,-63.42%,18.96%,2.868,30.57%,4.60
21,2025-12-19,187.056,58425.09,157.39,-62.20%,18.85%,2.868,108.94%,4.58
22,2025-12-18,180.993,10474.72,150.86,-59.12%,19.97%,2.868,20.12%,4.39
23,2025-12-17,183.612,16754.29,153.95,-60.13%,19.27%,2.868,32.19%,4.48
24,2025-12-16,182.150,19598.87,154.64,-59.20%,17.79%,2.868,37.47%,4.50
25,2025-12-15,185.789,68303.46,158.08,-60.65%,17.53%,2.868,126.91%,4.60
26,2025-12-12,194.454,247597.33,159.11,-63.64%,22.22%,2.868,462.99%,4.63
27,2025-12-11,168.904,14294.05,144.67,-51.41%,16.75%,2.868,29.40%,4.21
28,2025-12-10,167.631,4166.68,144.78,-50.52%,15.78%,2.869,8.70%,4.30
29,2025-12-09,167.241,3519.54,143.77,-50.12%,16.32%,2.869,7.34%,4.27
30,2025-12-08,167.579,5845.92,143.43,-50.10%,16.83%,2.869,12.19%,4.26
