序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,123.403,15118.04,100.13,-25.48%,23.25%,37.992,3.17%,8.04
2,2026-05-20,123.980,14394.43,101.87,-26.07%,21.71%,37.992,3.05%,8.18
3,2026-05-19,125.803,9586.80,103.61,-28.17%,21.42%,37.992,2.03%,8.32
4,2026-05-18,123.818,23616.19,101.87,-25.62%,21.55%,37.992,4.98%,8.18
5,2026-05-15,127.443,10541.83,102.62,-29.52%,24.20%,37.992,2.16%,8.24
6,2026-05-14,128.444,10989.59,105.60,-30.52%,21.63%,37.992,2.23%,8.48
7,2026-05-13,130.105,9549.43,108.59,-32.21%,19.81%,37.992,1.93%,8.72
8,2026-05-12,130.131,24338.24,109.71,-32.08%,18.61%,37.992,4.89%,8.81
9,2026-05-11,129.977,15224.26,107.47,-31.76%,20.94%,37.992,3.09%,8.63
10,2026-05-08,129.003,9284.23,104.61,-30.27%,23.32%,37.992,1.89%,8.40
11,2026-05-07,130.004,9927.43,106.10,-31.20%,22.53%,37.992,2.01%,8.52
12,2026-05-06,129.304,10910.17,103.74,-30.32%,24.65%,37.992,2.21%,8.33
13,2026-04-30,128.131,8969.22,102.99,-28.27%,24.41%,37.992,1.83%,8.27
14,2026-04-29,128.589,8370.25,102.37,-28.62%,25.62%,37.992,1.71%,8.22
15,2026-04-28,128.257,7588.82,102.37,-28.15%,25.29%,37.992,1.55%,8.22
16,2026-04-27,128.269,9591.50,101.87,-28.04%,25.92%,37.992,1.97%,8.18
17,2026-04-24,127.567,8183.96,103.36,-26.95%,23.42%,37.992,1.69%,8.30
18,2026-04-23,127.600,14242.28,102.62,-26.87%,24.35%,37.992,2.93%,8.24
19,2026-04-22,128.213,11023.31,103.86,-27.37%,23.45%,37.992,2.26%,8.34
20,2026-04-21,128.000,12121.73,102.24,-27.04%,25.19%,37.992,2.49%,8.21
21,2026-04-20,128.825,9056.06,103.24,-27.75%,24.78%,37.992,1.85%,8.29
22,2026-04-17,129.394,5783.95,103.49,-27.96%,25.03%,37.992,1.18%,8.31
23,2026-04-16,128.801,9543.14,103.49,-27.26%,24.46%,37.992,1.94%,8.31
24,2026-04-15,128.100,10482.15,104.11,-26.46%,23.04%,37.992,2.14%,8.36
25,2026-04-14,129.095,11049.99,104.98,-27.32%,22.97%,37.992,2.28%,8.43
26,2026-04-13,127.015,9340.09,104.36,-25.16%,21.71%,37.992,1.93%,8.38
27,2026-04-10,126.597,18980.04,102.74,-24.44%,23.22%,37.992,3.89%,8.25
28,2026-04-09,127.016,10040.76,101.25,-24.75%,25.45%,37.992,2.07%,8.13
29,2026-04-08,128.102,21773.01,103.49,-25.71%,23.79%,37.992,4.50%,8.31
30,2026-04-07,123.281,6150.25,96.76,-20.80%,27.41%,37.992,1.31%,7.77
