序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,142.390,18088.78,110.56,-18.93%,28.79%,14.992,8.57%,11.41
2,2026-01-19,139.697,8306.27,108.53,-17.54%,28.72%,14.992,3.98%,11.20
3,2026-01-16,138.652,12138.79,107.66,-16.89%,28.79%,14.992,5.80%,11.11
4,2026-01-15,138.425,11434.19,107.85,-16.74%,28.35%,14.992,5.52%,11.13
5,2026-01-14,137.515,8893.72,107.27,-16.23%,28.20%,14.992,4.26%,11.07
6,2026-01-13,139.177,13927.12,107.46,-17.05%,29.51%,14.992,6.67%,11.09
7,2026-01-12,140.733,13198.66,109.01,-17.80%,29.10%,14.992,6.27%,11.25
8,2026-01-09,138.937,11569.20,109.21,-16.79%,27.23%,14.992,5.53%,11.27
9,2026-01-08,138.416,8975.06,107.17,-16.49%,29.15%,14.992,4.32%,11.06
10,2026-01-07,138.083,10958.35,107.46,-16.28%,28.50%,14.992,5.26%,11.09
11,2026-01-06,138.759,17382.96,107.17,-16.59%,29.47%,14.992,8.37%,11.06
12,2026-01-05,135.905,9227.37,104.65,-15.09%,29.86%,14.992,4.51%,10.80
13,2025-12-31,135.187,5708.90,104.65,-14.56%,29.18%,14.992,2.82%,10.80
14,2025-12-30,135.150,6019.04,105.23,-14.51%,28.43%,14.992,2.98%,10.86
15,2025-12-29,134.647,8435.12,105.04,-14.22%,28.19%,14.992,4.15%,10.84
16,2025-12-26,135.500,8964.27,104.55,-14.57%,29.60%,14.992,4.40%,10.79
17,2025-12-25,135.889,9613.81,103.97,-14.74%,30.70%,14.992,4.73%,10.73
18,2025-12-24,136.733,12491.78,104.17,-15.14%,31.26%,14.992,6.12%,10.75
19,2025-12-23,134.166,10958.94,102.13,-13.79%,31.37%,14.992,5.43%,10.54
20,2025-12-22,133.504,11909.16,102.62,-13.42%,30.10%,14.992,5.98%,10.59
21,2025-12-19,131.181,4401.86,100.48,-12.10%,30.55%,14.992,2.24%,10.37
22,2025-12-18,130.507,7969.22,99.61,-11.71%,31.01%,14.992,4.06%,10.28
23,2025-12-17,129.672,5573.54,99.03,-11.23%,30.94%,14.992,2.88%,10.22
24,2025-12-16,128.333,7907.14,96.71,-10.46%,32.71%,14.992,4.10%,9.98
25,2025-12-15,130.100,5723.10,99.32,-11.42%,30.99%,14.992,2.93%,10.25
26,2025-12-12,131.668,6394.46,101.36,-12.18%,29.91%,14.992,3.24%,10.46
27,2025-12-11,130.522,4667.90,99.23,-11.55%,31.54%,14.992,2.38%,10.24
28,2025-12-10,130.761,4697.93,99.71,-11.65%,31.14%,14.992,2.40%,10.29
29,2025-12-09,131.020,7168.35,100.58,-11.77%,30.26%,14.992,3.65%,10.38
30,2025-12-08,132.542,6750.74,103.88,-12.54%,27.60%,14.992,3.40%,10.72
