序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,116.500,2699.37,52.76,-6.15%,120.82%,34.951,0.66%,20.66
2,2026-04-20,116.399,4127.77,52.86,-6.06%,120.20%,34.951,1.01%,20.70
3,2026-04-17,116.725,4612.18,52.94,-6.25%,120.50%,34.951,1.13%,20.73
4,2026-04-16,116.613,4352.01,53.47,-6.16%,118.08%,34.951,1.07%,20.94
5,2026-04-15,115.847,4702.65,53.45,-5.60%,116.75%,34.951,1.16%,20.93
6,2026-04-14,115.884,5014.94,54.16,-5.61%,113.96%,34.951,1.24%,21.21
7,2026-04-13,115.297,5023.52,54.55,-5.18%,111.38%,34.951,1.24%,21.36
8,2026-04-10,115.831,9886.91,54.32,-5.52%,113.26%,34.951,2.44%,21.27
9,2026-04-09,116.244,8412.99,52.86,-5.80%,119.91%,34.951,2.07%,20.70
10,2026-04-08,117.087,13138.18,53.65,-6.37%,118.24%,34.951,3.23%,21.01
11,2026-04-07,115.011,4668.87,52.89,-4.90%,117.47%,34.951,1.16%,20.71
12,2026-04-03,114.400,4349.04,53.01,-4.42%,115.79%,34.951,1.09%,20.76
13,2026-04-02,114.050,4423.11,53.29,-4.16%,114.00%,34.951,1.11%,20.87
14,2026-04-01,114.217,7709.97,52.71,-4.27%,116.70%,34.951,1.94%,20.64
15,2026-03-31,113.025,7288.39,52.68,-3.41%,114.54%,34.951,1.84%,20.63
16,2026-03-30,113.825,7806.37,51.86,-3.98%,119.47%,34.951,1.96%,20.31
17,2026-03-27,114.256,3914.84,53.32,-4.25%,114.28%,34.951,0.98%,20.88
18,2026-03-26,114.243,3945.14,52.94,-4.24%,115.81%,34.951,0.99%,20.73
19,2026-03-25,114.976,5200.08,53.37,-4.74%,115.43%,34.951,1.29%,20.90
20,2026-03-24,114.858,5138.16,52.91,-4.64%,117.08%,34.951,1.29%,20.72
21,2026-03-23,113.708,5891.23,53.19,-3.83%,113.77%,34.951,1.48%,20.83
22,2026-03-20,114.090,5978.41,54.37,-4.07%,109.85%,34.951,1.49%,21.29
23,2026-03-19,114.326,4968.71,53.47,-4.23%,113.80%,34.951,1.24%,20.94
24,2026-03-18,115.093,5780.51,53.81,-4.74%,113.91%,34.951,1.44%,21.07
25,2026-03-17,114.817,5256.22,53.98,-4.55%,112.69%,34.951,1.30%,21.14
26,2026-03-16,115.543,4789.10,54.01,-5.03%,113.93%,34.951,1.19%,21.15
27,2026-03-13,115.829,2927.67,53.81,-5.19%,115.28%,34.951,0.72%,21.07
28,2026-03-12,115.892,3943.17,52.63,-5.22%,120.20%,34.951,0.97%,20.61
29,2026-03-11,116.568,3814.20,52.40,-5.65%,122.46%,34.951,0.93%,20.52
30,2026-03-10,116.680,3567.22,51.25,-5.71%,127.66%,34.951,0.87%,20.07
