序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,158.542,43575.82,135.14,-27.83%,17.32%,26.520,10.14%,4.50
2,2026-05-20,162.505,67449.44,140.24,-29.40%,15.88%,26.520,15.30%,4.67
3,2026-05-19,172.723,128254.95,154.05,-33.22%,12.12%,26.520,28.68%,5.13
4,2026-05-18,164.645,98972.06,149.85,-30.13%,9.87%,26.520,22.96%,4.99
5,2026-05-15,157.332,150719.84,151.05,-26.96%,4.16%,26.520,35.48%,5.03
6,2026-05-14,164.966,163691.72,153.15,-30.00%,7.71%,26.520,34.97%,5.10
7,2026-05-13,187.008,402089.06,169.07,-37.52%,10.61%,26.520,84.34%,5.63
8,2026-05-12,165.002,166010.92,153.75,-29.89%,7.32%,26.520,35.85%,5.12
9,2026-05-11,173.657,91528.89,153.75,-33.01%,12.94%,26.520,20.35%,5.12
10,2026-05-08,163.119,78241.59,147.15,-28.92%,10.85%,26.520,18.23%,4.90
11,2026-05-07,157.548,119292.18,149.85,-26.60%,5.14%,26.520,27.99%,4.99
12,2026-05-06,157.785,104242.59,140.84,-26.64%,12.03%,26.520,25.08%,4.69
13,2026-04-30,148.623,23011.98,127.93,-22.30%,16.18%,26.520,5.82%,4.26
14,2026-04-29,150.235,41336.80,136.94,-22.99%,9.71%,26.520,10.22%,4.56
15,2026-04-28,151.923,109396.53,142.04,-23.70%,6.96%,26.520,26.53%,4.73
16,2026-04-27,155.486,136596.48,139.64,-25.19%,11.35%,26.520,32.90%,4.65
17,2026-04-24,150.031,104871.08,134.54,-22.66%,11.52%,26.520,25.38%,4.48
18,2026-04-23,155.138,223256.82,134.54,-24.83%,15.31%,26.520,54.66%,4.48
19,2026-04-22,144.816,17199.07,122.22,-20.15%,18.49%,26.520,4.50%,4.07
20,2026-04-21,144.044,46309.65,125.23,-19.74%,15.03%,26.520,11.96%,4.17
21,2026-04-20,145.190,15386.53,123.12,-20.24%,17.92%,26.520,3.99%,4.10
22,2026-04-17,144.468,18962.62,121.92,-19.77%,18.49%,26.520,4.93%,4.06
23,2026-04-16,144.210,25755.67,121.92,-19.61%,18.28%,26.520,6.83%,4.06
24,2026-04-15,139.529,11740.70,120.42,-17.27%,15.87%,26.520,3.15%,4.01
25,2026-04-14,140.359,19582.68,122.52,-17.65%,14.56%,26.520,5.29%,4.08
26,2026-04-13,138.892,28816.60,121.62,-16.87%,14.20%,26.520,7.80%,4.05
27,2026-04-10,140.471,21935.99,119.22,-17.55%,17.83%,26.520,5.81%,3.97
28,2026-04-09,142.319,22055.99,120.72,-18.42%,17.89%,26.520,5.84%,4.02
29,2026-04-08,143.204,41437.64,123.12,-18.81%,16.31%,26.520,11.12%,4.10
30,2026-04-07,137.069,107543.01,121.32,-15.73%,12.98%,26.520,29.04%,4.04
