序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,133.756,9796.82,100.51,-11.58%,33.07%,69.951,1.05%,17.59
2,2026-04-20,134.028,12801.95,100.86,-11.67%,32.89%,69.951,1.36%,17.65
3,2026-04-17,134.434,12508.60,99.66,-11.77%,34.90%,69.951,1.33%,17.44
4,2026-04-16,133.711,9899.54,100.06,-11.48%,33.63%,69.951,1.06%,17.51
5,2026-04-15,133.160,9007.28,99.31,-11.24%,34.08%,69.951,0.96%,17.38
6,2026-04-14,134.084,13362.44,100.29,-11.58%,33.70%,69.951,1.43%,17.55
7,2026-04-13,132.922,18798.74,101.03,-11.12%,31.57%,69.951,2.03%,17.68
8,2026-04-10,131.660,17517.81,97.83,-10.57%,34.58%,69.951,1.89%,17.12
9,2026-04-09,132.529,15896.36,96.69,-10.90%,37.07%,69.951,1.71%,16.92
10,2026-04-08,133.991,18388.45,98.97,-11.44%,35.38%,69.951,1.98%,17.32
11,2026-04-07,130.232,13598.46,95.43,-9.96%,36.47%,69.951,1.49%,16.70
12,2026-04-03,130.919,11422.41,95.20,-10.17%,37.52%,69.951,1.24%,16.66
13,2026-04-02,132.111,15786.36,99.20,-10.62%,33.18%,69.951,1.72%,17.36
14,2026-04-01,132.967,18560.65,102.23,-10.94%,30.07%,69.951,2.02%,17.89
15,2026-03-31,129.969,12269.59,100.23,-9.75%,29.67%,69.951,1.34%,17.54
16,2026-03-30,131.194,14666.35,102.63,-10.22%,27.83%,69.951,1.59%,17.96
17,2026-03-27,133.129,15315.14,105.83,-10.92%,25.80%,69.951,1.64%,18.52
18,2026-03-26,133.169,16860.89,104.97,-10.92%,26.86%,69.951,1.81%,18.37
19,2026-03-25,134.597,21027.10,107.94,-11.44%,24.69%,69.951,2.23%,18.89
20,2026-03-24,134.390,30026.60,108.80,-11.34%,23.52%,69.951,3.21%,19.04
21,2026-03-23,133.025,23630.22,107.49,-10.82%,23.76%,69.951,2.54%,18.81
22,2026-03-20,132.349,22493.54,108.51,-10.51%,21.96%,69.951,2.41%,18.99
23,2026-03-19,132.328,17116.93,105.83,-10.49%,25.04%,69.951,1.84%,18.52
24,2026-03-18,133.652,12745.54,105.94,-10.97%,26.15%,69.951,1.37%,18.54
25,2026-03-17,133.461,15736.66,107.37,-10.89%,24.30%,69.951,1.67%,18.79
26,2026-03-16,134.190,14500.81,106.74,-11.14%,25.71%,69.951,1.54%,18.68
27,2026-03-13,135.097,19293.47,107.83,-11.42%,25.29%,69.951,2.03%,18.87
28,2026-03-12,135.118,9853.66,108.23,-11.42%,24.85%,69.951,1.04%,18.94
29,2026-03-11,136.101,13663.35,107.37,-11.75%,26.76%,69.951,1.43%,18.79
30,2026-03-10,135.812,11898.53,106.06,-11.63%,28.06%,69.951,1.26%,18.56
