序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,132.621,13884.36,97.75,-9.77%,35.67%,23.598,4.40%,8.69
2,2026-05-20,134.886,15809.00,101.69,-10.62%,32.65%,23.598,4.94%,9.04
3,2026-05-19,138.938,13441.54,109.45,-12.10%,26.94%,23.598,4.14%,9.73
4,2026-05-18,137.391,24276.19,112.49,-11.52%,22.14%,23.598,7.50%,10.00
5,2026-05-15,134.040,22435.29,105.17,-10.22%,27.45%,23.598,7.06%,9.35
6,2026-05-14,134.495,10655.70,102.70,-10.38%,30.96%,23.598,3.33%,9.13
7,2026-05-13,135.400,8808.69,102.25,-10.70%,32.42%,23.598,2.75%,9.09
8,2026-05-12,134.999,9280.87,100.90,-10.54%,33.79%,23.598,2.91%,8.97
9,2026-05-11,135.933,6935.80,99.89,-10.87%,36.09%,23.598,2.16%,8.88
10,2026-05-08,135.599,7461.88,100.00,-10.70%,35.60%,23.598,2.33%,8.89
11,2026-05-07,135.760,11744.43,101.01,-10.74%,34.40%,23.598,3.66%,8.98
12,2026-05-06,134.532,11965.17,97.86,-10.27%,37.47%,23.598,3.79%,8.70
13,2026-04-30,131.700,9403.75,96.40,-9.12%,36.62%,23.598,3.01%,8.57
14,2026-04-29,133.589,11400.35,101.35,-9.82%,31.81%,23.598,3.61%,9.01
15,2026-04-28,133.555,22857.78,103.26,-9.80%,29.34%,23.598,7.24%,9.18
16,2026-04-27,131.908,11332.00,97.86,-9.16%,34.79%,23.598,3.63%,8.70
17,2026-04-24,131.196,16247.00,96.74,-8.85%,35.62%,23.598,5.22%,8.60
18,2026-04-23,133.435,27412.46,103.38,-9.68%,29.08%,23.598,8.72%,9.19
19,2026-04-22,131.758,16409.98,97.75,-9.04%,34.79%,23.598,5.30%,8.69
20,2026-04-21,130.277,8494.34,92.58,-8.46%,40.72%,23.598,2.76%,8.23
21,2026-04-20,130.070,7021.84,90.78,-8.37%,43.29%,23.598,2.29%,8.07
22,2026-04-17,129.681,7389.01,88.08,-8.19%,47.24%,23.598,2.42%,7.83
23,2026-04-16,129.148,7874.99,89.54,-7.97%,44.24%,23.598,2.59%,7.96
24,2026-04-15,128.368,7898.84,89.88,-7.66%,42.83%,23.598,2.61%,7.99
25,2026-04-14,128.456,6507.28,90.21,-7.68%,42.39%,23.598,2.15%,8.02
26,2026-04-13,127.664,7360.11,91.00,-7.36%,40.29%,23.598,2.44%,8.09
27,2026-04-10,128.006,10097.03,89.43,-7.46%,43.14%,23.598,3.33%,7.95
28,2026-04-09,128.831,7194.59,90.21,-7.77%,42.81%,23.598,2.36%,8.02
29,2026-04-08,129.552,14742.43,92.01,-8.04%,40.80%,23.598,4.83%,8.18
30,2026-04-07,126.595,8494.85,90.55,-6.88%,39.80%,23.598,2.84%,8.05
