序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,145.165,11151.83,129.24,-10.93%,12.32%,18.638,4.03%,5.79
2,2026-03-19,150.201,7324.03,131.92,-12.43%,13.86%,18.638,2.61%,5.91
3,2026-03-18,155.074,6014.02,135.05,-13.80%,14.83%,18.638,2.10%,6.05
4,2026-03-17,153.965,9147.75,137.05,-13.47%,12.34%,18.638,3.14%,6.14
5,2026-03-16,158.162,6630.78,137.95,-14.61%,14.65%,18.638,2.26%,6.18
6,2026-03-13,159.337,9785.92,140.63,-14.87%,13.31%,18.638,3.27%,6.30
7,2026-03-12,158.627,7103.31,139.96,-14.66%,13.34%,18.638,2.39%,6.27
8,2026-03-11,159.939,4111.17,137.72,-14.99%,16.13%,18.638,1.37%,6.17
9,2026-03-10,161.524,4678.23,137.72,-15.38%,17.28%,18.638,1.56%,6.17
10,2026-03-09,160.361,10371.34,137.28,-15.06%,16.82%,18.638,3.52%,6.15
11,2026-03-06,160.277,7935.19,137.95,-14.98%,16.19%,18.638,2.67%,6.18
12,2026-03-05,159.792,9875.64,135.71,-14.84%,17.74%,18.638,3.30%,6.08
13,2026-03-04,161.897,15510.51,135.71,-15.37%,19.29%,18.638,5.13%,6.08
14,2026-03-03,163.125,12933.19,139.51,-15.66%,16.93%,18.638,4.27%,6.25
15,2026-03-02,165.575,13731.59,141.30,-16.25%,17.18%,18.638,4.45%,6.33
16,2026-02-27,163.998,8963.45,141.96,-15.80%,15.52%,18.638,2.95%,6.36
17,2026-02-26,163.207,13399.86,140.63,-15.58%,16.06%,18.638,4.38%,6.30
18,2026-02-25,163.493,40404.27,140.40,-15.64%,16.45%,18.638,13.21%,6.29
19,2026-02-24,160.840,15026.95,137.28,-14.95%,17.16%,18.638,5.10%,6.15
20,2026-02-13,154.415,4573.32,135.71,-13.07%,13.78%,18.638,1.60%,6.08
21,2026-02-12,154.377,3493.01,137.95,-13.04%,11.91%,18.638,1.22%,6.18
22,2026-02-11,153.878,6092.03,138.62,-12.89%,11.01%,18.638,2.12%,6.21
23,2026-02-10,154.707,9383.01,138.62,-13.10%,11.61%,18.638,3.25%,6.21
24,2026-02-09,155.312,20028.05,139.51,-13.24%,11.33%,18.638,6.87%,6.25
25,2026-02-06,156.144,12492.35,138.62,-13.42%,12.64%,18.638,4.32%,6.21
26,2026-02-05,154.035,33120.68,139.51,-12.84%,10.41%,18.638,11.38%,6.25
27,2026-02-04,154.090,11341.84,138.62,-12.84%,11.16%,18.638,3.97%,6.21
28,2026-02-03,154.949,14733.17,136.38,-13.05%,13.61%,18.638,5.19%,6.11
29,2026-02-02,149.134,22919.94,134.15,-11.45%,11.17%,18.638,8.15%,6.01
30,2026-01-30,157.688,20606.16,141.52,-13.70%,11.43%,18.638,7.08%,6.34
