序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,122.236,10375.02,37.86,-2.71%,222.89%,39.999,2.12%,15.79
2,2026-03-19,123.361,8750.60,37.21,-3.12%,231.53%,39.999,1.77%,15.52
3,2026-03-18,124.293,4433.42,37.62,-3.46%,230.42%,39.999,0.90%,15.69
4,2026-03-17,123.766,5640.53,38.02,-3.27%,225.49%,39.999,1.13%,15.86
5,2026-03-16,125.300,7999.36,38.10,-3.82%,228.90%,39.999,1.60%,15.89
6,2026-03-13,125.851,4019.40,38.82,-4.00%,224.23%,39.999,0.80%,16.19
7,2026-03-12,126.309,4037.92,38.77,-4.16%,225.81%,39.999,0.80%,16.17
8,2026-03-11,127.192,5902.24,38.41,-4.46%,231.16%,39.999,1.16%,16.02
9,2026-03-10,126.842,5186.58,37.67,-4.33%,236.77%,39.999,1.03%,15.71
10,2026-03-09,126.062,6632.88,37.19,-4.05%,239.01%,39.999,1.31%,15.51
11,2026-03-06,126.972,2248.39,37.04,-4.36%,242.78%,39.999,0.44%,15.45
12,2026-03-05,126.707,5022.00,37.31,-4.26%,239.65%,39.999,0.99%,15.56
13,2026-03-04,127.526,6316.60,37.21,-4.54%,242.73%,39.999,1.25%,15.52
14,2026-03-03,126.656,9198.30,38.67,-4.23%,227.52%,39.999,1.82%,16.13
15,2026-03-02,127.489,5016.20,40.04,-4.51%,218.42%,39.999,0.98%,16.70
16,2026-02-27,127.801,3643.55,40.95,-4.60%,212.09%,39.999,0.71%,17.08
17,2026-02-26,127.636,6728.63,40.16,-4.54%,217.83%,39.999,1.32%,16.75
18,2026-02-25,128.747,6872.79,41.12,-4.91%,213.12%,39.999,1.33%,17.15
19,2026-02-24,128.747,6781.56,41.19,-4.91%,212.57%,39.999,1.32%,17.18
20,2026-02-13,127.333,3158.22,39.87,-4.37%,219.37%,39.999,0.62%,16.63
21,2026-02-12,127.801,4577.75,41.17,-4.52%,210.46%,39.999,0.90%,17.17
22,2026-02-11,126.892,3654.05,41.43,-4.21%,206.29%,39.999,0.72%,17.28
23,2026-02-10,126.784,6487.75,42.03,-4.17%,201.66%,39.999,1.28%,17.53
24,2026-02-09,126.675,7610.32,42.80,-4.13%,196.00%,39.999,1.51%,17.85
25,2026-02-06,125.154,12020.56,40.73,-3.59%,207.25%,39.999,2.40%,16.99
26,2026-02-05,123.840,7240.50,40.01,-3.13%,209.49%,39.999,1.46%,16.69
27,2026-02-04,125.083,3393.16,42.48,-3.56%,194.43%,39.999,0.68%,17.72
28,2026-02-03,125.054,8668.99,40.90,-3.55%,205.74%,39.999,1.74%,17.06
29,2026-02-02,123.079,9630.00,37.93,-2.86%,224.50%,39.999,1.95%,15.82
30,2026-01-30,125.586,9379.12,38.62,-3.71%,225.15%,39.999,1.87%,16.11
