序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,131.279,5768.28,87.97,-5.28%,49.23%,29.999,1.45%,6.51
2,2026-05-20,132.563,6521.68,90.68,-5.57%,46.19%,29.999,1.63%,6.71
3,2026-05-19,133.641,7220.03,90.54,-5.81%,47.60%,29.999,1.81%,6.70
4,2026-05-18,131.794,5384.34,89.19,-5.38%,47.77%,29.999,1.36%,6.60
5,2026-05-15,131.147,9218.54,88.24,-5.22%,48.62%,29.999,2.34%,6.53
6,2026-05-14,131.563,7390.76,89.32,-5.31%,47.29%,29.999,1.86%,6.61
7,2026-05-13,133.480,2405.77,89.32,-5.74%,49.43%,29.999,0.60%,6.61
8,2026-05-12,133.722,4922.16,90.00,-5.79%,48.58%,29.999,1.23%,6.66
9,2026-05-11,134.267,3327.44,91.49,-5.91%,46.76%,29.999,0.82%,6.77
10,2026-05-08,134.141,3435.98,91.35,-5.86%,46.84%,29.999,0.85%,6.76
11,2026-05-07,134.375,3253.43,91.22,-5.91%,47.31%,29.999,0.80%,6.75
12,2026-05-06,135.290,4572.44,93.11,-6.11%,45.30%,29.999,1.13%,6.89
13,2026-04-30,134.592,6175.77,93.65,-5.92%,43.72%,29.999,1.53%,6.93
14,2026-04-29,135.163,6810.90,95.27,-6.04%,41.87%,29.999,1.69%,7.05
15,2026-04-28,134.525,7021.46,95.68,-5.90%,40.61%,29.999,1.73%,7.08
16,2026-04-27,135.852,6245.26,94.73,-6.18%,43.41%,29.999,1.53%,7.01
17,2026-04-24,134.914,4855.03,95.41,-5.97%,41.41%,29.999,1.19%,7.06
18,2026-04-23,136.340,6788.17,95.95,-6.27%,42.10%,29.999,1.66%,7.10
19,2026-04-22,135.098,5089.65,93.78,-6.00%,44.05%,29.999,1.25%,6.94
20,2026-04-21,134.800,6407.63,94.32,-5.93%,42.91%,29.999,1.58%,6.98
21,2026-04-20,136.002,8181.10,92.70,-6.18%,46.71%,29.999,2.02%,6.86
22,2026-04-17,134.288,4791.36,91.89,-5.80%,46.14%,29.999,1.19%,6.80
23,2026-04-16,134.553,6032.85,92.84,-5.85%,44.93%,29.999,1.50%,6.87
24,2026-04-15,134.216,5731.93,92.57,-5.77%,44.99%,29.999,1.42%,6.85
25,2026-04-14,134.396,8670.96,96.08,-5.80%,39.88%,29.999,2.16%,7.11
26,2026-04-13,133.548,5133.58,97.97,-5.62%,36.31%,29.999,1.28%,7.25
27,2026-04-10,133.990,9111.35,97.84,-5.70%,36.95%,29.999,2.25%,7.24
28,2026-04-09,134.505,9912.91,97.84,-5.80%,37.48%,29.999,2.45%,7.24
29,2026-04-08,135.282,15209.14,96.76,-5.97%,39.82%,29.999,3.78%,7.16
30,2026-04-07,133.230,8362.40,97.03,-5.52%,37.31%,29.999,2.10%,7.18
