序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,128.813,6935.55,94.61,-2.93%,36.16%,18.998,2.84%,4.56
2,2026-01-19,128.524,4801.53,93.57,-2.88%,37.36%,18.998,1.97%,4.51
3,2026-01-16,128.020,3616.63,93.36,-2.80%,37.12%,18.998,1.49%,4.50
4,2026-01-15,127.985,5237.97,93.36,-2.80%,37.09%,18.998,2.16%,4.50
5,2026-01-14,127.652,6951.58,93.57,-2.74%,36.43%,18.998,2.86%,4.51
6,2026-01-13,127.459,8547.94,93.78,-2.71%,35.92%,18.998,3.51%,4.52
7,2026-01-12,128.443,8206.20,93.78,-2.86%,36.97%,18.998,3.35%,4.52
8,2026-01-09,128.063,4419.40,93.15,-2.80%,37.48%,18.998,1.82%,4.49
9,2026-01-08,127.673,3118.90,92.95,-2.71%,37.36%,18.998,1.28%,4.48
10,2026-01-07,127.444,4681.56,93.15,-2.67%,36.81%,18.998,1.93%,4.49
11,2026-01-06,127.696,5004.77,93.36,-2.71%,36.78%,18.998,2.06%,4.50
12,2026-01-05,126.856,5113.23,92.95,-2.58%,36.48%,18.998,2.12%,4.48
13,2025-12-31,126.249,3770.37,92.74,-2.47%,36.13%,18.998,1.57%,4.47
14,2025-12-30,125.940,4313.07,91.91,-2.42%,37.03%,18.998,1.80%,4.43
15,2025-12-29,125.859,4274.28,92.32,-2.41%,36.32%,18.998,1.79%,4.45
16,2025-12-26,125.952,4325.45,92.74,-2.42%,35.81%,18.998,1.81%,4.47
17,2025-12-25,125.905,3844.95,92.95,-2.41%,35.46%,18.998,1.61%,4.48
18,2025-12-24,125.800,2158.57,92.53,-2.39%,35.95%,18.998,0.90%,4.46
19,2025-12-23,125.468,2350.33,92.32,-2.34%,35.90%,18.998,0.99%,4.45
20,2025-12-22,125.768,3111.45,92.53,-2.39%,35.92%,18.998,1.30%,4.46
21,2025-12-19,125.680,2949.70,92.53,-2.37%,35.82%,18.998,1.24%,4.46
22,2025-12-18,125.112,2398.62,91.91,-2.28%,36.13%,18.998,1.01%,4.43
23,2025-12-17,125.063,2517.99,91.91,-2.27%,36.07%,18.998,1.06%,4.43
24,2025-12-16,125.120,2527.42,91.91,-2.28%,36.14%,18.998,1.06%,4.43
25,2025-12-15,125.301,3412.53,92.32,-2.31%,35.72%,18.998,1.43%,4.45
26,2025-12-12,126.035,3164.66,93.36,-2.42%,35.00%,18.998,1.32%,4.50
27,2025-12-11,125.877,3915.51,95.44,-2.39%,31.90%,18.998,1.64%,4.60
28,2025-12-10,126.077,3523.94,95.23,-2.42%,32.39%,18.998,1.47%,4.59
29,2025-12-09,125.708,4176.30,95.44,-2.36%,31.72%,18.998,1.75%,4.60
30,2025-12-08,126.301,3223.41,96.06,-2.45%,31.48%,18.998,1.34%,4.63
