序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,128.500,15016.89,119.47,-43.23%,7.56%,2.970,38.80%,10.37
2,2026-05-20,133.182,12514.31,131.11,-59.43%,1.58%,2.970,31.61%,11.38
3,2026-05-19,134.762,23035.55,132.03,-63.95%,2.07%,2.970,58.43%,11.46
4,2026-05-18,131.932,17462.82,129.49,-53.52%,1.88%,2.970,44.03%,11.24
5,2026-05-15,135.889,30379.21,133.30,-64.06%,1.95%,2.970,74.77%,11.57
6,2026-05-14,135.900,15978.00,130.99,-63.26%,3.75%,2.970,39.17%,11.37
7,2026-05-13,140.315,27092.80,137.21,-75.37%,2.26%,2.970,64.86%,11.91
8,2026-05-12,137.702,11445.68,131.45,-66.95%,4.75%,2.970,27.91%,11.41
9,2026-05-11,140.658,12486.34,132.60,-74.44%,6.07%,2.970,29.83%,11.51
10,2026-05-08,141.939,23214.90,134.10,-75.06%,5.84%,2.970,55.12%,11.64
11,2026-05-07,141.193,16843.27,130.53,-72.24%,8.17%,2.970,40.05%,11.33
12,2026-05-06,141.445,32060.54,128.23,-72.04%,10.31%,2.970,76.03%,11.13
13,2026-04-30,138.147,28417.18,121.89,-59.14%,13.34%,2.970,68.85%,10.58
14,2026-04-29,138.154,74018.52,120.39,-58.52%,14.75%,2.970,176.46%,10.45
15,2026-04-28,136.748,18081.95,116.71,-54.38%,17.17%,2.970,43.91%,10.13
16,2026-04-27,141.392,16875.61,122.58,-64.93%,15.35%,2.970,40.35%,10.64
17,2026-04-24,142.502,33253.09,125.81,-65.38%,13.27%,2.970,78.16%,10.92
18,2026-04-23,145.793,246097.99,132.03,-71.72%,10.43%,2.970,557.24%,11.46
19,2026-04-22,139.562,31814.83,120.05,-57.54%,16.26%,2.972,77.17%,10.42
20,2026-04-21,139.495,63612.43,121.43,-56.82%,14.88%,2.972,151.37%,10.54
21,2026-04-20,153.791,200675.38,133.53,-84.94%,15.18%,2.972,432.39%,11.59
22,2026-04-17,140.823,43363.83,121.43,-57.43%,15.97%,2.972,102.65%,10.54
23,2026-04-16,138.862,19399.54,120.62,-52.73%,15.12%,2.972,47.25%,10.47
24,2026-04-15,134.225,8630.19,116.82,-42.02%,14.90%,2.972,21.43%,10.14
25,2026-04-14,135.433,12510.95,118.78,-44.33%,14.02%,2.972,31.08%,10.31
26,2026-04-13,135.315,8238.31,116.71,-43.64%,15.95%,2.972,20.35%,10.13
27,2026-04-10,135.846,9592.78,115.78,-43.59%,17.33%,2.972,23.49%,10.05
28,2026-04-09,136.410,10056.80,115.90,-44.38%,17.70%,2.972,24.71%,10.06
29,2026-04-08,137.257,18284.44,117.63,-45.73%,16.69%,2.972,44.82%,10.21
30,2026-04-07,133.825,18652.77,113.02,-38.20%,18.41%,2.972,46.54%,9.81
