序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,174.963,34454.91,175.83,-81.76%,-0.49%,1.586,120.56%,21.10
2,2026-03-19,184.293,22613.28,184.00,-89.12%,0.16%,1.673,72.29%,22.08
3,2026-03-18,195.038,46315.04,192.00,-96.63%,1.58%,1.675,143.17%,23.04
4,2026-03-17,191.678,60971.65,190.17,-93.60%,0.79%,1.676,184.81%,22.82
5,2026-03-16,197.161,136559.36,197.08,-96.89%,0.04%,1.681,401.69%,23.65
6,2026-03-13,199.484,185084.78,202.50,-96.60%,-1.49%,1.725,530.29%,24.30
7,2026-03-12,219.423,57150.49,196.92,-107.89%,11.43%,1.874,134.99%,23.63
8,2026-03-11,230.651,111734.55,202.42,-112.98%,13.95%,1.874,255.64%,24.29
9,2026-03-10,228.611,31893.76,197.25,-111.28%,15.90%,1.874,74.31%,23.67
10,2026-03-09,230.547,143176.28,199.17,-111.55%,15.76%,1.874,327.46%,23.90
11,2026-03-06,232.198,282020.01,193.17,-110.32%,20.21%,1.874,639.65%,23.18
12,2026-03-05,216.092,114887.08,175.58,-101.63%,23.07%,1.875,276.01%,21.07
13,2026-03-04,211.096,11869.89,169.17,-98.32%,24.79%,1.875,29.96%,20.30
14,2026-03-03,213.037,16350.16,170.83,-98.80%,24.70%,1.875,40.14%,20.50
15,2026-03-02,219.188,13595.71,178.50,-101.46%,22.79%,1.875,32.98%,21.42
16,2026-02-27,228.836,17265.53,186.92,-104.35%,22.43%,1.875,40.27%,22.43
17,2026-02-26,226.154,9233.17,184.33,-102.50%,22.69%,1.875,21.66%,22.12
18,2026-02-25,230.750,20699.94,186.58,-104.03%,23.67%,1.875,47.44%,22.39
19,2026-02-24,231.854,16752.97,183.08,-103.94%,26.64%,1.875,38.92%,21.97
20,2026-02-13,228.245,16227.75,181.92,-96.32%,25.47%,1.875,37.00%,21.83
21,2026-02-12,233.801,10163.33,182.92,-98.13%,27.82%,1.875,23.07%,21.95
22,2026-02-11,236.059,15707.71,185.00,-98.53%,27.60%,1.875,35.08%,22.20
23,2026-02-10,237.618,19062.08,185.17,-98.61%,28.33%,1.875,42.68%,22.22
24,2026-02-09,237.949,27949.86,187.00,-98.23%,27.25%,1.875,62.24%,22.44
25,2026-02-06,237.732,100117.48,187.00,-96.64%,27.13%,1.875,216.50%,22.44
26,2026-02-05,236.342,39096.06,188.33,-95.61%,25.49%,1.875,88.12%,22.60
27,2026-02-04,235.145,24732.15,187.42,-94.67%,25.47%,1.875,55.92%,22.49
28,2026-02-03,238.374,29117.79,186.50,-95.40%,27.81%,1.875,65.80%,22.38
29,2026-02-02,233.942,44402.31,182.58,-93.26%,28.13%,1.875,99.60%,21.91
30,2026-01-30,234.759,29932.56,184.33,-92.18%,27.36%,1.875,66.16%,22.12
