序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,116.709,6111.35,100.35,-13.71%,16.31%,14.045,3.71%,17.41
2,2026-05-20,117.825,7495.53,103.29,-15.74%,14.08%,14.045,4.53%,17.92
3,2026-05-19,118.463,8964.77,102.54,-16.82%,15.53%,14.045,5.43%,17.79
4,2026-05-18,117.117,23369.23,102.54,-14.22%,14.22%,14.045,14.15%,17.79
5,2026-05-15,121.024,5076.41,108.42,-20.91%,11.63%,14.045,2.98%,18.81
6,2026-05-14,121.680,8056.94,108.18,-21.90%,12.47%,14.045,4.71%,18.77
7,2026-05-13,122.987,5088.93,108.07,-23.94%,13.80%,14.045,2.95%,18.75
8,2026-05-12,122.704,6761.54,108.13,-23.33%,13.48%,14.045,3.92%,18.76
9,2026-05-11,123.904,8717.75,108.36,-25.13%,14.35%,14.045,5.00%,18.80
10,2026-05-08,124.263,6483.17,106.92,-25.24%,16.22%,14.045,3.71%,18.55
11,2026-05-07,124.852,6985.89,106.57,-26.00%,17.15%,14.046,3.97%,18.49
12,2026-05-06,124.892,6133.31,107.61,-25.91%,16.06%,14.046,3.49%,18.67
13,2026-04-30,124.745,5536.73,107.90,-24.80%,15.62%,14.046,3.15%,18.72
14,2026-04-29,125.755,6317.68,111.53,-26.13%,12.76%,14.046,3.58%,19.35
15,2026-04-28,124.570,7364.47,108.07,-24.26%,15.27%,14.046,4.21%,18.75
16,2026-04-27,124.201,8139.64,107.21,-23.58%,15.85%,14.046,4.67%,18.60
17,2026-04-24,123.511,9490.91,104.84,-22.18%,17.81%,14.046,5.47%,18.19
18,2026-04-23,124.128,8237.55,103.63,-22.95%,19.78%,14.046,4.72%,17.98
19,2026-04-22,123.942,7298.54,102.54,-22.56%,20.88%,14.046,4.18%,17.79
20,2026-04-21,125.113,6717.30,102.42,-24.09%,22.16%,14.046,3.83%,17.77
21,2026-04-20,125.197,4773.61,101.04,-24.08%,23.91%,14.046,2.72%,17.53
22,2026-04-17,124.770,5477.48,100.23,-23.11%,24.48%,14.046,3.12%,17.39
23,2026-04-16,124.721,6179.45,100.98,-22.91%,23.51%,14.046,3.53%,17.52
24,2026-04-15,124.419,8320.75,100.58,-22.38%,23.71%,14.046,4.75%,17.45
25,2026-04-14,123.907,9227.14,98.33,-21.56%,26.01%,14.046,5.31%,17.06
26,2026-04-13,125.060,6134.72,99.42,-23.01%,25.78%,14.046,3.50%,17.25
27,2026-04-10,126.101,5501.20,102.36,-24.02%,23.19%,14.046,3.11%,17.76
28,2026-04-09,125.675,5280.93,100.40,-23.35%,25.17%,14.046,2.98%,17.42
29,2026-04-08,127.154,6952.72,102.88,-25.12%,23.59%,14.046,3.89%,17.85
30,2026-04-07,125.355,5313.74,101.79,-22.70%,23.15%,14.046,3.02%,17.66
