序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,125.506,6838.41,67.39,-13.70%,86.25%,2.530,21.39%,4.38
2,2026-04-20,125.508,1484.42,68.77,-13.64%,82.51%,2.530,4.68%,4.47
3,2026-04-17,124.900,1518.27,68.15,-12.75%,83.26%,2.530,4.82%,4.43
4,2026-04-16,125.253,2246.80,71.54,-13.10%,75.08%,2.530,7.11%,4.65
5,2026-04-15,126.056,2387.39,72.46,-13.98%,73.96%,2.530,7.53%,4.71
6,2026-04-14,124.101,1438.59,70.15,-11.64%,76.90%,2.530,4.60%,4.56
7,2026-04-13,123.373,1522.00,69.39,-10.72%,77.81%,2.530,4.86%,4.51
8,2026-04-10,124.566,7221.49,71.39,-11.98%,74.50%,2.530,22.62%,4.64
9,2026-04-09,124.569,3193.48,72.00,-11.93%,73.01%,2.530,10.06%,4.68
10,2026-04-08,126.244,2008.03,74.31,-13.77%,69.89%,2.530,6.28%,4.83
11,2026-04-07,126.065,2092.36,76.92,-13.52%,63.88%,2.530,6.57%,5.00
12,2026-04-03,125.243,4781.61,75.85,-12.39%,65.13%,2.530,15.04%,4.93
13,2026-04-02,124.291,3045.69,74.62,-11.28%,66.58%,2.530,9.66%,4.85
14,2026-04-01,126.051,10416.55,75.54,-13.17%,66.87%,2.530,32.54%,4.91
15,2026-03-31,123.172,905.05,70.77,-9.93%,74.05%,2.530,2.89%,4.60
16,2026-03-30,124.094,2045.34,70.31,-10.92%,76.50%,2.530,6.50%,4.57
17,2026-03-27,124.134,1977.12,69.39,-10.83%,78.91%,2.530,6.31%,4.51
18,2026-03-26,122.617,1635.31,66.77,-9.11%,83.64%,2.530,5.27%,4.34
19,2026-03-25,122.581,1568.69,68.15,-9.03%,79.86%,2.530,5.05%,4.43
20,2026-03-24,121.739,4622.67,66.15,-8.05%,84.02%,2.530,15.02%,4.30
21,2026-03-23,119.576,1543.91,62.31,-5.54%,91.91%,2.530,5.07%,4.05
22,2026-03-20,121.214,1079.58,66.77,-7.34%,81.54%,2.530,3.51%,4.34
23,2026-03-19,121.193,1040.84,69.08,-7.29%,75.45%,2.530,3.40%,4.49
24,2026-03-18,122.171,1111.74,70.92,-8.34%,72.26%,2.530,3.62%,4.61
25,2026-03-17,120.978,986.14,69.85,-6.99%,73.21%,2.530,3.19%,4.54
26,2026-03-16,122.589,852.59,70.15,-8.72%,74.74%,2.530,2.75%,4.56
27,2026-03-13,122.516,899.49,70.46,-8.55%,73.88%,2.530,2.89%,4.58
28,2026-03-12,123.321,1119.49,69.85,-9.37%,76.56%,2.530,3.58%,4.54
29,2026-03-11,124.584,592.80,70.92,-10.64%,75.66%,2.530,1.89%,4.61
30,2026-03-10,124.199,912.38,71.69,-10.20%,73.24%,2.530,2.92%,4.66
