序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,126.066,3435.61,72.79,-14.63%,73.20%,24.324,1.12%,115.82
2,2026-02-12,126.967,1942.90,73.44,-15.29%,72.88%,24.324,0.63%,117.05
3,2026-02-11,127.147,2024.47,73.59,-15.38%,72.77%,24.324,0.65%,117.29
4,2026-02-10,127.256,4135.37,73.93,-15.42%,72.13%,24.324,1.34%,117.83
5,2026-02-09,126.214,3268.74,73.42,-14.56%,71.92%,24.324,1.07%,117.01
6,2026-02-06,125.603,4172.37,72.75,-13.95%,72.65%,24.324,1.36%,115.95
7,2026-02-05,125.511,5222.84,73.81,-13.84%,70.06%,24.324,1.71%,117.63
8,2026-02-04,125.714,4953.30,73.59,-13.95%,70.83%,24.324,1.62%,117.29
9,2026-02-03,126.361,6078.93,74.31,-14.41%,70.05%,24.324,1.98%,118.43
10,2026-02-02,125.124,5334.22,74.01,-13.41%,69.07%,24.324,1.75%,117.95
11,2026-01-30,127.037,9232.60,76.05,-14.74%,67.06%,24.324,2.98%,121.20
12,2026-01-29,127.710,4294.17,77.10,-15.20%,65.64%,24.324,1.37%,122.88
13,2026-01-28,129.421,6613.82,80.36,-16.40%,61.05%,24.324,2.11%,128.08
14,2026-01-27,128.012,5407.54,78.34,-15.33%,63.40%,24.324,1.74%,124.86
15,2026-01-26,128.166,5852.71,78.19,-15.40%,63.92%,24.324,1.87%,124.62
16,2026-01-23,129.730,7395.29,81.19,-16.37%,59.79%,24.324,2.34%,129.40
17,2026-01-22,128.974,5381.91,80.84,-15.79%,59.55%,24.324,1.71%,128.84
18,2026-01-21,129.109,12406.32,81.83,-15.84%,57.78%,24.324,3.96%,130.42
19,2026-01-20,127.465,10972.22,80.93,-14.62%,57.50%,24.324,3.53%,128.99
20,2026-01-19,127.470,9347.91,80.89,-14.59%,57.59%,24.324,3.01%,128.92
21,2026-01-16,127.932,14537.81,82.09,-14.79%,55.85%,24.324,4.64%,130.83
22,2026-01-15,129.256,12172.69,80.61,-15.67%,60.36%,24.324,3.91%,128.47
23,2026-01-14,128.739,11879.29,80.13,-15.27%,60.66%,24.324,3.79%,127.71
24,2026-01-13,128.746,13539.58,79.33,-15.23%,62.30%,24.324,4.35%,128.38
25,2026-01-12,129.424,16297.80,82.52,-15.65%,56.84%,24.324,5.18%,133.55
26,2026-01-09,128.285,9240.12,81.27,-14.74%,57.86%,24.324,2.96%,131.52
27,2026-01-08,127.349,11416.64,81.48,-14.05%,56.30%,24.324,3.67%,131.86
28,2026-01-07,128.315,9409.61,80.03,-14.68%,60.33%,24.324,3.02%,129.52
29,2026-01-06,128.452,16748.54,80.88,-14.73%,58.81%,24.324,5.37%,130.90
30,2026-01-05,126.369,7951.44,79.55,-13.24%,58.86%,24.324,2.60%,128.74
