序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,136.656,2637.81,80.57,-19.67%,69.61%,4.764,4.07%,20.69
2,2026-01-15,134.737,2256.46,81.15,-18.46%,66.03%,4.764,3.50%,20.84
3,2026-01-14,135.955,5656.34,81.50,-19.14%,66.81%,4.764,8.67%,20.93
4,2026-01-13,137.951,7883.79,82.48,-19.21%,67.26%,4.764,12.03%,21.18
5,2026-01-12,135.935,3331.34,82.44,-17.95%,64.89%,4.764,5.14%,21.17
6,2026-01-09,135.575,3687.45,82.17,-17.59%,65.00%,4.764,5.71%,21.10
7,2026-01-08,135.035,9772.55,81.70,-17.22%,65.29%,4.764,14.99%,20.98
8,2026-01-07,134.491,4235.98,79.75,-16.85%,68.64%,4.764,6.59%,20.48
9,2026-01-06,133.720,3649.79,79.05,-16.33%,69.16%,4.764,5.74%,20.30
10,2026-01-05,132.345,3505.35,78.78,-15.42%,68.00%,4.764,5.55%,20.23
11,2025-12-31,130.262,858.61,74.92,-13.91%,73.86%,4.764,1.38%,19.24
12,2025-12-30,130.145,1474.83,75.86,-13.80%,71.57%,4.764,2.38%,19.48
13,2025-12-29,129.992,1335.53,75.78,-13.66%,71.54%,4.764,2.16%,19.46
14,2025-12-26,130.441,1311.79,76.67,-13.85%,70.12%,4.764,2.11%,19.69
15,2025-12-25,130.948,2752.78,77.22,-14.14%,69.58%,4.764,4.41%,19.83
16,2025-12-24,130.867,726.70,77.18,-14.05%,69.56%,4.764,1.17%,19.82
17,2025-12-23,130.672,1378.80,77.06,-13.90%,69.56%,4.764,2.21%,19.79
18,2025-12-22,131.468,1302.32,77.03,-14.36%,70.68%,4.764,2.08%,19.78
19,2025-12-19,131.506,1157.24,77.49,-14.28%,69.70%,4.764,1.85%,19.90
20,2025-12-18,130.900,2904.14,75.51,-13.87%,73.36%,4.764,4.64%,19.39
21,2025-12-17,130.299,1930.42,75.55,-13.46%,72.48%,4.764,3.10%,19.40
22,2025-12-16,130.054,762.40,75.51,-13.28%,72.24%,4.764,1.23%,19.39
23,2025-12-15,130.887,785.89,76.71,-13.76%,70.62%,4.764,1.26%,19.70
24,2025-12-12,131.102,689.25,77.38,-13.80%,69.44%,4.764,1.11%,19.87
25,2025-12-11,130.577,962.43,77.69,-13.44%,68.08%,4.764,1.55%,19.95
26,2025-12-10,130.824,1340.10,78.54,-13.56%,66.56%,4.764,2.16%,20.17
27,2025-12-09,131.011,980.10,78.51,-13.64%,66.88%,4.764,1.56%,20.16
28,2025-12-08,132.150,2953.29,79.75,-14.30%,65.70%,4.764,4.71%,20.48
29,2025-12-05,129.999,2075.88,78.23,-12.90%,66.17%,4.764,3.36%,20.09
30,2025-12-04,129.573,2033.66,77.88,-12.61%,66.37%,4.764,3.32%,20.00
