序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-10,120.584,0.00,116.60,-5.24%,3.41%,0.015,0.00%,18.40
2,2026-03-09,120.584,0.00,110.52,-5.24%,9.11%,0.095,0.00%,17.44
3,2026-03-06,120.584,0.00,122.05,-5.24%,-1.20%,1.595,0.00%,19.26
4,2026-03-05,120.584,39124.34,120.91,-5.24%,-0.27%,1.882,173.02%,19.08
5,2026-03-04,120.580,55323.23,121.04,-5.23%,-0.38%,5.360,83.97%,19.10
6,2026-03-03,129.331,40231.17,130.36,-11.16%,-0.79%,7.457,39.98%,20.57
7,2026-03-02,139.610,73732.52,141.95,-17.18%,-1.65%,8.474,63.61%,22.40
8,2026-02-27,133.778,42171.79,134.54,-13.77%,-0.56%,10.534,30.24%,21.23
9,2026-02-26,134.266,51890.21,134.79,-14.02%,-0.39%,14.619,26.18%,21.27
10,2026-02-25,139.631,54853.01,140.05,-17.00%,-0.30%,16.523,23.74%,22.10
11,2026-02-24,134.865,36850.28,135.36,-14.30%,-0.37%,17.432,15.76%,21.36
12,2026-02-13,132.378,23027.42,132.13,-12.52%,0.19%,18.110,9.49%,20.85
13,2026-02-12,138.385,36143.85,138.97,-15.85%,-0.42%,18.242,14.35%,21.93
14,2026-02-11,137.688,125586.27,139.73,-15.44%,-1.46%,18.772,48.87%,22.05
15,2026-02-10,131.030,32851.64,131.18,-11.65%,-0.11%,20.762,12.12%,20.70
16,2026-02-09,133.306,65638.80,133.59,-12.94%,-0.21%,21.249,23.74%,21.08
17,2026-02-06,130.497,31720.51,130.93,-11.23%,-0.33%,22.666,10.57%,20.66
18,2026-02-05,131.901,24732.42,126.87,-12.02%,3.97%,22.695,8.29%,20.02
19,2026-02-04,130.757,23629.61,128.39,-11.33%,1.84%,22.695,7.95%,20.26
20,2026-02-03,131.883,48119.16,129.91,-11.96%,1.52%,22.695,15.98%,20.50
21,2026-02-02,132.555,37289.89,124.02,-12.32%,6.88%,22.697,12.52%,19.57
22,2026-01-30,132.638,45149.74,132.26,-12.28%,0.29%,22.697,15.00%,20.87
23,2026-01-29,133.223,32701.08,132.45,-12.59%,0.59%,23.045,10.52%,20.90
24,2026-01-28,135.577,64235.72,136.50,-13.85%,-0.68%,23.085,20.63%,21.54
25,2026-01-27,132.128,60141.85,132.13,-11.92%,0.00%,23.597,19.21%,20.85
26,2026-01-26,135.021,33060.87,134.85,-13.49%,0.12%,24.050,9.98%,21.28
27,2026-01-23,139.929,47914.27,139.73,-15.97%,0.14%,24.212,14.20%,22.05
28,2026-01-22,138.917,45071.89,138.85,-15.42%,0.05%,24.569,13.28%,21.91
29,2026-01-21,137.241,36953.96,137.14,-14.52%,0.08%,24.975,10.76%,21.64
30,2026-01-20,138.227,41009.25,138.34,-15.00%,-0.08%,24.975,11.92%,21.83
