序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,138.231,2360.00,98.95,-15.10%,39.69%,4.048,4.21%,19.86
2,2026-04-20,138.650,3682.57,99.15,-15.32%,39.83%,4.048,6.56%,19.90
3,2026-04-17,138.054,3498.98,98.75,-14.84%,39.80%,4.048,6.25%,19.82
4,2026-04-16,138.865,5200.81,100.10,-15.30%,38.73%,4.048,9.29%,20.09
5,2026-04-15,138.361,6832.03,100.75,-14.96%,37.33%,4.048,12.23%,20.22
6,2026-04-14,136.178,5880.87,98.31,-13.58%,38.52%,4.048,10.67%,19.73
7,2026-04-13,136.806,4714.67,98.71,-13.93%,38.60%,4.048,8.50%,19.81
8,2026-04-10,137.226,3852.24,100.05,-14.09%,37.16%,4.048,6.88%,20.08
9,2026-04-09,137.564,7319.24,99.05,-14.26%,38.88%,4.048,13.11%,19.88
10,2026-04-08,139.058,4347.79,101.00,-15.11%,37.69%,4.048,7.70%,20.27
11,2026-04-07,137.264,4088.13,100.40,-14.01%,36.72%,4.048,7.34%,20.15
12,2026-04-03,136.198,3815.69,98.90,-13.23%,37.71%,4.048,6.89%,19.85
13,2026-04-02,137.248,5266.04,102.09,-13.83%,34.43%,4.048,9.47%,20.49
14,2026-04-01,137.339,3738.52,101.79,-13.85%,34.92%,4.048,6.76%,20.43
15,2026-03-31,134.974,6977.79,99.75,-12.39%,35.31%,4.048,12.64%,20.02
16,2026-03-30,134.473,2571.83,99.00,-12.05%,35.83%,4.048,4.71%,19.87
17,2026-03-27,135.533,3002.91,97.36,-12.61%,39.21%,4.048,5.50%,19.54
18,2026-03-26,133.974,2655.06,93.97,-11.63%,42.57%,4.048,4.88%,18.86
19,2026-03-25,135.895,6053.01,95.77,-12.76%,41.90%,4.048,11.02%,19.22
20,2026-03-24,134.213,4463.42,92.98,-11.72%,44.35%,4.048,8.38%,18.66
21,2026-03-23,129.367,6275.26,88.24,-8.62%,46.61%,4.048,11.97%,17.71
22,2026-03-20,131.794,3399.52,94.17,-10.11%,39.95%,4.048,6.31%,18.90
23,2026-03-19,133.966,2796.45,97.81,-11.43%,36.97%,4.048,5.14%,19.63
24,2026-03-18,137.050,2886.57,101.30,-13.23%,35.30%,4.048,5.28%,20.33
25,2026-03-17,135.114,2831.00,99.25,-12.06%,36.13%,4.048,5.13%,19.92
26,2026-03-16,137.819,3571.04,101.15,-13.61%,36.26%,4.048,6.44%,20.30
27,2026-03-13,136.233,3689.54,100.35,-12.61%,35.76%,4.048,6.67%,20.14
28,2026-03-12,136.528,2642.05,100.10,-12.75%,36.39%,4.048,4.75%,20.09
29,2026-03-11,138.596,3326.30,101.45,-13.89%,36.62%,4.048,5.92%,20.36
30,2026-03-10,139.397,4120.99,102.99,-14.30%,35.35%,4.048,7.32%,20.67
