序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,127.968,2927.22,76.92,-4.31%,66.38%,5.825,3.91%,15.26
2,2026-01-19,128.331,2530.96,76.71,-4.50%,67.29%,5.825,3.38%,15.22
3,2026-01-16,129.124,4103.49,79.79,-4.90%,61.83%,5.825,5.45%,15.83
4,2026-01-15,128.872,9374.47,78.68,-4.75%,63.79%,5.825,12.54%,15.61
5,2026-01-14,126.946,1900.13,73.64,-3.70%,72.39%,5.825,2.56%,14.61
6,2026-01-13,127.148,2249.95,74.29,-3.80%,71.14%,5.825,3.03%,14.74
7,2026-01-12,128.376,2048.99,74.60,-4.46%,72.09%,5.825,2.75%,14.80
8,2026-01-09,126.937,1310.09,73.59,-3.66%,72.50%,5.825,1.77%,14.60
9,2026-01-08,126.583,1521.29,73.44,-3.46%,72.37%,5.825,2.06%,14.57
10,2026-01-07,126.700,1492.91,73.39,-3.52%,72.65%,5.825,2.03%,14.56
11,2026-01-06,126.185,1523.57,73.74,-3.23%,71.12%,5.825,2.07%,14.63
12,2026-01-05,125.633,1423.40,73.74,-2.92%,70.37%,5.825,1.95%,14.63
13,2025-12-31,124.448,1161.73,73.34,-2.24%,69.69%,5.825,1.60%,14.55
14,2025-12-30,124.042,1500.73,72.88,-2.02%,70.19%,5.825,2.08%,14.46
15,2025-12-29,123.649,2003.15,74.19,-1.79%,66.66%,5.825,2.78%,14.72
16,2025-12-26,124.600,1556.43,76.61,-2.31%,62.64%,5.825,2.14%,15.20
17,2025-12-25,124.868,2056.43,76.31,-2.45%,63.63%,5.825,2.83%,15.14
18,2025-12-24,124.026,1471.91,74.75,-1.98%,65.93%,5.825,2.04%,14.83
19,2025-12-23,123.199,2145.12,74.04,-1.52%,66.39%,5.825,2.99%,14.69
20,2025-12-22,123.214,969.28,73.84,-1.53%,66.86%,5.825,1.35%,14.65
21,2025-12-19,123.420,1515.24,74.60,-1.63%,65.45%,5.825,2.11%,14.80
22,2025-12-18,123.340,1359.97,74.40,-1.59%,65.79%,5.825,1.89%,14.76
23,2025-12-17,122.980,1194.96,74.19,-1.39%,65.76%,5.825,1.68%,14.72
24,2025-12-16,122.105,1636.33,73.49,-0.90%,66.16%,5.825,2.30%,14.58
25,2025-12-15,122.470,1235.79,73.34,-1.10%,67.00%,5.825,1.73%,14.55
26,2025-12-12,122.809,2321.21,73.79,-1.28%,66.43%,5.825,3.24%,14.64
27,2025-12-11,123.123,1284.14,73.49,-1.45%,67.54%,5.825,1.79%,14.58
28,2025-12-10,123.885,1375.07,74.75,-1.86%,65.74%,5.825,1.91%,14.83
29,2025-12-09,123.287,1601.94,75.50,-1.53%,63.29%,5.825,2.23%,14.98
30,2025-12-08,123.417,1030.12,74.95,-1.60%,64.67%,5.825,1.43%,14.87
