序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,117.492,4105.88,68.34,-3.74%,71.92%,7.997,4.33%,14.27
2,2026-03-19,118.946,4012.64,70.50,-4.64%,68.72%,7.997,4.21%,14.72
3,2026-03-18,121.003,4744.16,72.13,-5.87%,67.77%,7.997,4.94%,15.06
4,2026-03-17,120.261,4694.56,71.98,-5.42%,67.07%,7.997,4.83%,15.03
5,2026-03-16,122.487,5024.20,72.94,-6.72%,67.93%,7.997,5.12%,15.23
6,2026-03-13,122.988,4554.29,73.99,-6.96%,66.21%,7.997,4.61%,15.45
7,2026-03-12,123.633,6716.33,73.56,-7.32%,68.06%,7.997,6.76%,15.36
8,2026-03-11,125.049,3385.52,73.42,-8.09%,70.32%,7.997,3.39%,15.33
9,2026-03-10,125.037,5446.71,74.28,-8.07%,68.33%,7.997,5.45%,15.51
10,2026-03-09,124.405,5197.88,73.18,-7.71%,70.00%,7.997,5.24%,15.28
11,2026-03-06,124.803,3496.39,73.71,-7.88%,69.32%,7.997,3.52%,15.39
12,2026-03-05,124.297,4298.95,72.41,-7.58%,71.65%,7.997,4.32%,15.12
13,2026-03-04,124.010,6167.49,72.80,-7.41%,70.35%,7.997,6.23%,15.20
14,2026-03-03,123.608,3046.07,72.13,-7.17%,71.38%,7.997,3.07%,15.06
15,2026-03-02,124.925,3229.67,73.52,-7.88%,69.93%,7.997,3.23%,15.35
16,2026-02-27,125.352,2669.65,75.58,-8.07%,65.87%,7.997,2.66%,15.78
17,2026-02-26,125.483,2039.87,74.81,-8.12%,67.74%,7.997,2.02%,15.62
18,2026-02-25,126.963,2848.80,75.34,-8.89%,68.53%,7.997,2.80%,15.73
19,2026-02-24,127.121,3276.28,74.86,-8.96%,69.82%,7.997,3.23%,15.63
20,2026-02-13,126.253,2050.74,73.37,-8.33%,72.07%,7.997,2.03%,15.32
21,2026-02-12,126.212,2774.53,74.19,-8.29%,70.13%,7.997,2.75%,15.49
22,2026-02-11,126.096,2235.37,75.34,-8.22%,67.38%,7.997,2.22%,15.73
23,2026-02-10,126.229,3466.09,75.96,-8.27%,66.18%,7.997,3.42%,15.86
24,2026-02-09,126.421,4344.81,76.63,-8.35%,64.98%,7.997,4.31%,16.00
25,2026-02-06,125.367,5039.44,76.92,-7.76%,62.99%,7.997,5.03%,16.06
26,2026-02-05,124.921,2953.69,76.34,-7.52%,63.64%,7.997,2.96%,15.94
27,2026-02-04,124.893,4570.43,75.62,-7.49%,65.15%,7.997,4.58%,15.79
28,2026-02-03,124.928,3892.26,75.62,-7.49%,65.20%,7.997,3.91%,15.79
29,2026-02-02,123.545,6845.89,74.90,-6.76%,64.94%,7.997,6.92%,15.64
30,2026-01-30,125.131,3977.36,76.77,-7.54%,62.99%,7.997,3.95%,16.03
