序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,138.016,3886.35,121.59,-11.07%,13.51%,5.959,4.70%,8.28
2,2026-01-15,138.454,5170.39,122.17,-11.21%,13.33%,5.959,6.28%,8.32
3,2026-01-14,138.434,7497.52,121.88,-11.19%,13.58%,5.959,9.05%,8.30
4,2026-01-13,138.621,7354.62,122.32,-11.24%,13.33%,5.959,8.87%,8.33
5,2026-01-12,139.965,7820.81,122.03,-11.69%,14.70%,5.959,9.39%,8.31
6,2026-01-09,138.742,4112.73,121.15,-11.22%,14.53%,5.959,4.97%,8.25
7,2026-01-08,137.888,8187.45,121.00,-10.90%,13.96%,5.959,9.93%,8.24
8,2026-01-07,138.406,5020.15,120.41,-11.07%,14.94%,5.959,6.08%,8.20
9,2026-01-06,138.205,4897.62,121.15,-10.98%,14.08%,5.959,5.95%,8.25
10,2026-01-05,136.785,5127.85,120.41,-10.46%,13.60%,5.959,6.30%,8.20
11,2025-12-31,135.593,2729.66,119.09,-9.96%,13.86%,5.959,3.38%,8.11
12,2025-12-30,134.975,4661.07,119.38,-9.72%,13.06%,5.959,5.81%,8.13
13,2025-12-29,134.604,3247.20,119.97,-9.57%,12.20%,5.959,4.05%,8.17
14,2025-12-26,134.961,6401.71,120.85,-9.66%,11.67%,5.959,7.95%,8.23
15,2025-12-25,135.641,3693.04,121.44,-9.89%,11.69%,5.959,4.57%,8.27
16,2025-12-24,134.738,2408.90,121.15,-9.55%,11.22%,5.959,3.00%,8.25
17,2025-12-23,134.185,2675.18,120.56,-9.34%,11.30%,5.959,3.34%,8.21
18,2025-12-22,134.804,4779.31,120.41,-9.55%,11.95%,5.959,5.95%,8.20
19,2025-12-19,134.398,3809.46,120.71,-9.36%,11.34%,5.959,4.76%,8.22
20,2025-12-18,133.560,4451.31,119.97,-9.05%,11.33%,5.959,5.58%,8.17
21,2025-12-17,133.400,4008.29,119.38,-8.98%,11.74%,5.959,5.05%,8.13
22,2025-12-16,132.782,4942.24,118.94,-8.74%,11.64%,5.959,6.27%,8.10
23,2025-12-15,132.437,3979.91,118.65,-8.60%,11.62%,5.959,5.05%,8.08
24,2025-12-12,132.106,3380.11,118.50,-8.45%,11.48%,5.959,4.28%,8.07
25,2025-12-11,132.401,3701.43,119.53,-8.54%,10.77%,5.959,4.68%,8.14
26,2025-12-10,133.432,4488.67,121.00,-8.90%,10.28%,5.959,5.66%,8.24
27,2025-12-09,133.328,3442.98,121.15,-8.85%,10.06%,5.959,4.32%,8.25
28,2025-12-08,133.986,4785.18,122.03,-9.08%,9.80%,5.959,5.99%,8.31
29,2025-12-05,133.746,5043.22,121.88,-8.95%,9.74%,5.959,6.34%,8.30
30,2025-12-04,133.624,3853.75,121.15,-8.90%,10.30%,5.959,4.85%,8.25
