序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,133.939,7096.78,117.06,-9.43%,14.42%,20.167,2.60%,22.23
2,2026-03-19,134.781,8876.49,118.54,-9.76%,13.70%,20.167,3.26%,22.51
3,2026-03-18,136.894,16130.08,122.59,-10.59%,11.67%,20.167,5.89%,23.28
4,2026-03-17,136.263,10737.88,122.80,-10.32%,10.96%,20.167,3.87%,23.32
5,2026-03-16,138.829,13199.45,126.12,-11.31%,10.08%,20.167,4.73%,23.95
6,2026-03-13,138.074,7254.76,126.59,-10.97%,9.07%,20.167,2.58%,24.04
7,2026-03-12,139.665,8770.55,128.59,-11.56%,8.61%,20.167,3.10%,24.42
8,2026-03-11,142.088,9013.83,129.65,-12.45%,9.60%,20.167,3.14%,24.62
9,2026-03-10,141.929,8195.07,128.02,-12.37%,10.87%,20.167,2.87%,24.31
10,2026-03-09,141.537,12290.49,126.86,-12.21%,11.57%,20.167,4.34%,24.09
11,2026-03-06,142.810,7308.71,129.33,-12.62%,10.42%,20.167,2.54%,24.56
12,2026-03-05,143.160,8104.00,127.54,-12.72%,12.25%,20.167,2.81%,24.22
13,2026-03-04,142.589,12505.25,127.44,-12.50%,11.89%,20.167,4.37%,24.20
14,2026-03-03,141.613,12184.83,127.49,-12.12%,11.08%,20.167,4.26%,24.21
15,2026-03-02,143.067,13360.70,131.44,-12.63%,8.85%,20.167,4.64%,24.96
16,2026-02-27,141.888,16152.31,130.60,-12.15%,8.65%,20.167,5.58%,24.80
17,2026-02-26,147.620,12870.28,132.97,-14.15%,11.02%,20.167,4.31%,25.25
18,2026-02-25,149.360,18559.57,129.96,-14.71%,14.92%,20.167,6.15%,24.68
19,2026-02-24,149.997,12104.57,129.54,-14.90%,15.79%,20.167,4.02%,24.60
20,2026-02-13,146.775,8232.68,129.02,-13.59%,13.77%,20.167,2.76%,24.50
21,2026-02-12,148.742,12705.32,129.96,-14.23%,14.45%,20.167,4.22%,24.68
22,2026-02-11,149.664,11550.01,131.23,-14.51%,14.05%,20.167,3.80%,24.92
23,2026-02-10,149.264,5019.96,128.86,-14.36%,15.84%,20.167,1.66%,24.47
24,2026-02-09,150.149,6766.18,129.23,-14.63%,16.19%,20.167,2.24%,24.54
25,2026-02-06,148.933,12557.19,129.38,-14.17%,15.11%,20.167,4.19%,24.57
26,2026-02-05,147.116,12193.35,129.28,-13.55%,13.80%,20.167,4.12%,24.55
27,2026-02-04,147.982,8230.59,129.28,-13.82%,14.47%,20.167,2.76%,24.55
28,2026-02-03,147.956,11255.44,125.86,-13.79%,17.56%,20.167,3.81%,23.90
29,2026-02-02,143.756,10620.29,122.59,-12.36%,17.26%,20.167,3.61%,23.28
30,2026-01-30,148.646,13621.98,129.28,-13.94%,14.98%,20.167,4.53%,24.55
