序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,125.033,1781.61,39.40,-7.14%,217.33%,10.396,1.37%,68.48
2,2026-05-20,125.679,4615.96,39.52,-7.44%,218.04%,10.396,3.54%,68.68
3,2026-05-19,124.744,1449.03,39.33,-6.97%,217.15%,10.396,1.12%,68.36
4,2026-05-18,123.444,2327.82,39.19,-6.32%,214.95%,10.396,1.82%,68.12
5,2026-05-15,123.149,3767.85,37.49,-6.14%,228.52%,10.396,2.93%,65.15
6,2026-05-14,123.645,2250.78,35.62,-6.37%,247.16%,10.396,1.75%,61.90
7,2026-05-13,124.805,3236.41,37.16,-6.93%,235.83%,10.396,2.49%,64.59
8,2026-05-12,124.392,2827.81,36.73,-6.72%,238.65%,10.396,2.18%,63.84
9,2026-05-11,125.003,4358.00,38.06,-7.00%,228.48%,10.396,3.36%,66.14
10,2026-05-08,124.796,3604.79,38.71,-6.87%,222.38%,10.396,2.77%,67.28
11,2026-05-07,125.617,5288.91,38.25,-7.25%,228.40%,10.396,4.04%,66.48
12,2026-05-06,124.532,5058.36,37.33,-6.72%,233.65%,10.396,3.92%,64.87
13,2026-04-30,123.090,2783.26,37.49,-5.95%,228.32%,10.396,2.17%,65.16
14,2026-04-29,123.195,1497.67,38.07,-5.99%,223.58%,10.396,1.17%,66.17
15,2026-04-28,123.499,3422.39,38.55,-6.13%,220.36%,10.396,2.66%,67.00
16,2026-04-27,124.111,5746.77,39.01,-6.41%,218.15%,10.396,4.46%,67.80
17,2026-04-24,122.521,1998.97,35.47,-5.62%,245.46%,10.396,1.57%,61.64
18,2026-04-23,122.600,2388.64,36.78,-5.65%,233.35%,10.396,1.87%,63.92
19,2026-04-22,123.439,1713.50,36.86,-6.04%,234.85%,10.396,1.33%,64.07
20,2026-04-21,123.633,2503.39,36.86,-6.12%,235.43%,10.396,1.95%,64.06
21,2026-04-20,123.452,4993.01,37.27,-6.03%,231.26%,10.396,3.89%,64.77
22,2026-04-17,122.573,2793.87,35.93,-5.58%,241.12%,10.396,2.19%,62.45
23,2026-04-16,121.933,2322.63,36.20,-5.26%,236.81%,10.396,1.83%,62.92
24,2026-04-15,121.546,1904.86,36.02,-5.06%,237.40%,10.396,1.50%,62.61
25,2026-04-14,122.198,2712.64,36.31,-5.37%,236.52%,10.396,2.15%,63.11
26,2026-04-13,121.061,1869.04,36.06,-4.81%,235.68%,10.396,1.48%,62.68
27,2026-04-10,121.788,1939.24,35.79,-5.14%,240.30%,10.396,1.52%,62.20
28,2026-04-09,122.224,2330.27,35.14,-5.34%,247.84%,10.396,1.83%,61.07
29,2026-04-08,122.446,3191.02,36.18,-5.43%,238.44%,10.396,2.51%,62.88
30,2026-04-07,120.074,1589.05,34.52,-4.28%,247.87%,10.396,1.27%,59.99
