序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,129.304,1507.92,63.22,-6.10%,104.53%,7.507,1.56%,60.35
2,2026-04-20,129.500,2094.47,63.01,-6.18%,105.52%,7.507,2.15%,60.15
3,2026-04-17,129.979,1769.94,62.06,-6.36%,109.45%,7.507,1.82%,59.24
4,2026-04-16,129.451,1769.54,62.83,-6.12%,106.03%,7.507,1.82%,59.98
5,2026-04-15,129.029,2247.87,62.61,-5.92%,106.08%,7.507,2.31%,59.77
6,2026-04-14,128.828,1787.89,62.94,-5.82%,104.69%,7.507,1.86%,60.08
7,2026-04-13,127.963,2691.32,63.20,-5.42%,102.48%,7.507,2.79%,60.33
8,2026-04-10,128.822,8886.00,64.01,-5.78%,101.27%,7.507,9.10%,61.10
9,2026-04-09,128.852,3772.79,62.64,-5.79%,105.69%,7.507,3.88%,59.80
10,2026-04-08,129.717,3101.18,64.23,-6.16%,101.97%,7.507,3.19%,61.31
11,2026-04-07,128.100,2100.66,62.57,-5.43%,104.73%,7.507,2.19%,59.73
12,2026-04-03,127.763,1301.11,62.68,-5.25%,103.85%,7.507,1.36%,59.83
13,2026-04-02,127.190,1895.95,63.95,-4.98%,98.88%,7.507,1.99%,61.05
14,2026-04-01,127.218,2860.16,64.53,-4.99%,97.15%,7.507,3.00%,61.60
15,2026-03-31,125.975,3616.15,63.71,-4.42%,97.72%,7.507,3.80%,60.82
16,2026-03-30,126.910,1991.23,64.44,-4.83%,96.96%,7.507,2.09%,61.51
17,2026-03-27,127.734,2001.68,64.63,-5.18%,97.63%,7.507,2.09%,61.70
18,2026-03-26,127.627,2173.97,63.79,-5.12%,100.09%,7.507,2.26%,60.89
19,2026-03-25,129.557,4510.79,65.04,-5.95%,99.19%,7.507,4.65%,62.09
20,2026-03-24,128.280,3110.08,65.33,-5.39%,96.37%,7.507,3.26%,62.36
21,2026-03-23,126.192,3738.63,64.95,-4.46%,94.29%,7.507,3.96%,62.00
22,2026-03-20,127.000,3179.81,68.11,-4.80%,86.46%,7.507,3.33%,65.02
23,2026-03-19,127.801,3599.04,69.73,-5.14%,83.29%,7.507,3.75%,66.56
24,2026-03-18,129.680,2385.46,70.88,-5.94%,82.96%,7.507,2.46%,67.66
25,2026-03-17,128.928,4000.81,71.31,-5.61%,80.81%,7.507,4.14%,68.07
26,2026-03-16,128.832,4531.12,71.44,-5.56%,80.33%,7.507,4.71%,68.20
27,2026-03-13,128.192,2635.78,70.96,-5.26%,80.65%,7.507,2.73%,67.74
28,2026-03-12,129.425,2209.33,71.28,-5.78%,81.58%,7.507,2.27%,68.04
29,2026-03-11,130.469,1757.33,71.86,-6.21%,81.55%,7.507,1.80%,68.60
30,2026-03-10,130.338,2570.65,71.65,-6.14%,81.90%,7.507,2.63%,68.40
