序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,127.565,3892.39,68.06,-5.19%,87.42%,9.995,3.02%,18.20
2,2026-05-20,129.690,4266.22,70.08,-6.18%,85.05%,9.995,3.28%,18.74
3,2026-05-19,129.899,2126.46,69.90,-6.27%,85.85%,9.995,1.64%,18.69
4,2026-05-18,129.134,2571.50,69.97,-5.90%,84.56%,9.995,1.99%,18.71
5,2026-05-15,129.256,3117.50,72.74,-5.93%,77.70%,9.995,2.41%,19.45
6,2026-05-14,130.236,3114.07,73.04,-6.37%,78.32%,9.995,2.38%,19.53
7,2026-05-13,132.038,1388.78,74.20,-7.18%,77.96%,9.995,1.05%,19.84
8,2026-05-12,132.400,2366.89,75.24,-7.33%,75.96%,9.995,1.79%,20.12
9,2026-05-11,132.953,4375.81,73.86,-7.56%,80.01%,9.995,3.29%,19.75
10,2026-05-08,132.202,3150.96,74.50,-7.19%,77.46%,9.995,2.38%,19.92
11,2026-05-07,132.431,3197.50,73.93,-7.28%,79.12%,9.995,2.42%,19.77
12,2026-05-06,132.085,2829.05,73.60,-7.12%,79.47%,9.995,2.16%,19.68
13,2026-04-30,129.625,1631.03,72.48,-5.95%,78.85%,9.995,1.26%,19.38
14,2026-04-29,129.843,2056.97,73.41,-6.04%,76.87%,9.995,1.59%,19.63
15,2026-04-28,129.711,2136.57,73.64,-5.97%,76.15%,9.995,1.65%,19.69
16,2026-04-27,129.817,2964.99,73.00,-6.01%,77.83%,9.995,2.29%,19.52
17,2026-04-24,128.259,2412.54,69.26,-5.27%,85.19%,9.995,1.88%,18.52
18,2026-04-23,127.745,2243.89,68.03,-5.03%,87.79%,9.995,1.76%,18.19
19,2026-04-22,128.311,1563.95,68.36,-5.28%,87.69%,9.995,1.22%,18.28
20,2026-04-21,127.782,1838.63,68.25,-5.03%,87.23%,9.995,1.44%,18.25
21,2026-04-20,127.825,3066.63,68.55,-5.04%,86.47%,9.995,2.40%,18.33
22,2026-04-17,127.729,2644.93,69.15,-4.97%,84.72%,9.995,2.07%,18.49
23,2026-04-16,126.959,3318.18,68.14,-4.61%,86.33%,9.995,2.62%,18.22
24,2026-04-15,126.738,2996.00,67.80,-4.50%,86.93%,9.995,2.36%,18.13
25,2026-04-14,126.599,2476.57,67.88,-4.43%,86.52%,9.995,1.96%,18.15
26,2026-04-13,126.585,4400.01,68.03,-4.42%,86.08%,9.995,3.47%,18.19
27,2026-04-10,126.475,3922.24,64.55,-4.35%,95.94%,9.995,3.09%,17.26
28,2026-04-09,127.382,3099.22,65.89,-4.75%,93.31%,9.995,2.43%,17.62
29,2026-04-08,127.392,3575.81,66.46,-4.75%,91.70%,9.995,2.80%,17.77
30,2026-04-07,125.469,2458.24,64.51,-3.87%,94.50%,9.995,1.96%,17.25
