序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,126.830,4217.51,54.79,-6.59%,131.50%,5.997,5.51%,8.87
2,2026-05-20,126.585,1613.64,52.75,-6.47%,139.98%,5.997,2.12%,8.54
3,2026-05-19,126.672,2050.22,52.38,-6.50%,141.84%,5.997,2.70%,8.48
4,2026-05-18,126.201,2117.21,51.95,-6.27%,142.95%,5.997,2.79%,8.41
5,2026-05-15,127.152,2356.01,54.11,-6.67%,135.00%,5.997,3.08%,8.76
6,2026-05-14,128.223,1720.31,54.29,-7.15%,136.17%,5.997,2.23%,8.79
7,2026-05-13,129.500,1327.22,55.59,-7.70%,132.96%,5.997,1.71%,9.00
8,2026-05-12,129.800,2936.14,55.78,-7.82%,132.72%,5.997,3.76%,9.03
9,2026-05-11,130.989,2533.15,56.46,-8.33%,132.03%,5.997,3.23%,9.14
10,2026-05-08,130.564,1182.40,56.70,-8.10%,130.26%,5.997,1.51%,9.18
11,2026-05-07,130.785,1502.91,56.46,-8.19%,131.66%,5.997,1.92%,9.14
12,2026-05-06,130.460,1582.36,56.76,-8.03%,129.83%,5.997,2.02%,9.19
13,2026-04-30,130.049,1814.07,56.02,-7.78%,132.14%,5.997,2.33%,9.07
14,2026-04-29,130.152,1742.31,57.44,-7.81%,126.58%,5.997,2.23%,9.30
15,2026-04-28,130.059,2114.70,55.90,-7.76%,132.67%,5.997,2.71%,9.05
16,2026-04-27,130.267,2608.63,56.02,-7.84%,132.53%,5.997,3.34%,9.07
17,2026-04-24,129.598,1986.55,56.27,-7.51%,130.32%,5.997,2.55%,9.11
18,2026-04-23,129.697,2652.36,56.95,-7.54%,127.74%,5.997,3.41%,9.22
19,2026-04-22,129.656,1693.94,57.44,-7.52%,125.71%,5.997,2.18%,9.30
20,2026-04-21,129.932,2123.28,57.81,-7.62%,124.74%,5.997,2.73%,9.36
21,2026-04-20,130.357,2363.54,58.37,-7.79%,123.33%,5.997,3.02%,9.45
22,2026-04-17,130.429,1876.26,58.43,-7.78%,123.22%,5.997,2.40%,9.46
23,2026-04-16,130.487,2039.44,58.86,-7.79%,121.68%,5.997,2.61%,9.53
24,2026-04-15,129.376,2102.47,58.49,-7.31%,121.18%,5.997,2.70%,9.47
25,2026-04-14,129.461,2299.55,59.42,-7.34%,117.88%,5.997,2.98%,9.62
26,2026-04-13,128.320,3064.40,58.93,-6.84%,117.77%,5.997,3.97%,9.54
27,2026-04-10,129.262,3945.44,60.53,-7.21%,113.55%,5.997,5.07%,9.80
28,2026-04-09,129.395,4720.02,59.67,-7.25%,116.86%,5.997,6.07%,9.66
29,2026-04-08,129.638,4549.59,59.11,-7.35%,119.31%,5.997,5.84%,9.57
30,2026-04-07,128.151,2707.10,58.80,-6.71%,117.94%,5.997,3.53%,9.52
