序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,194.075,0.00,207.56,-25.45%,-6.50%,0.007,0.00%,79.93
2,2026-02-12,194.075,0.00,201.53,-25.45%,-3.70%,0.042,0.00%,77.61
3,2026-02-11,194.075,0.00,200.18,-25.45%,-3.05%,0.058,0.00%,77.09
4,2026-02-10,194.075,137441.49,195.46,-25.45%,-0.71%,0.272,2527.88%,75.27
5,2026-02-09,183.202,73819.21,187.87,-23.18%,-2.49%,0.627,657.96%,72.35
6,2026-02-06,171.049,37375.09,171.70,-20.34%,-0.38%,2.023,108.33%,66.12
7,2026-02-05,170.927,87629.11,172.29,-20.28%,-0.79%,2.315,216.58%,66.35
8,2026-02-04,170.295,57092.35,170.19,-20.11%,0.06%,2.849,116.25%,65.54
9,2026-02-03,166.209,50528.42,167.72,-19.08%,-0.90%,3.319,91.14%,64.59
10,2026-02-02,167.040,28289.07,167.13,-19.27%,-0.05%,4.602,36.02%,64.36
11,2026-01-30,173.279,38136.39,174.06,-20.68%,-0.45%,4.776,46.41%,67.03
12,2026-01-29,173.240,33731.29,171.64,-20.65%,0.93%,4.863,38.85%,66.10
13,2026-01-28,182.310,32716.19,182.50,-22.65%,-0.10%,4.863,37.16%,70.28
14,2026-01-27,183.222,128687.48,184.55,-22.81%,-0.72%,4.878,146.79%,71.07
15,2026-01-26,171.809,49633.90,172.66,-20.24%,-0.49%,5.344,53.19%,66.49
16,2026-01-23,178.960,33646.25,179.69,-21.45%,-0.41%,5.630,33.01%,69.20
17,2026-01-22,184.784,83112.40,185.98,-22.69%,-0.64%,5.634,80.40%,71.62
18,2026-01-21,178.910,95554.70,179.04,-21.39%,-0.08%,5.694,93.70%,68.95
19,2026-01-20,173.446,78215.39,171.05,-20.12%,1.40%,5.694,76.97%,65.87
20,2026-01-19,179.973,108605.88,165.70,-21.57%,8.62%,5.694,108.11%,63.81
21,2026-01-16,169.509,31934.09,150.64,-19.10%,12.53%,5.694,33.39%,58.01
22,2026-01-15,164.376,35792.24,143.31,-17.81%,14.70%,5.694,38.50%,55.19
23,2026-01-14,165.795,27003.99,141.26,-18.14%,17.37%,5.694,28.31%,54.40
24,2026-01-13,168.245,22951.14,145.39,-18.72%,15.72%,5.694,23.75%,55.99
25,2026-01-12,173.813,27097.88,147.78,-20.01%,17.62%,5.694,27.33%,56.91
26,2026-01-09,170.444,32977.50,142.17,-19.15%,19.89%,5.694,34.20%,54.75
27,2026-01-08,164.166,13343.87,135.00,-17.61%,21.60%,5.694,14.26%,51.99
28,2026-01-07,163.182,35429.00,135.55,-17.34%,20.39%,5.694,37.70%,52.20
29,2026-01-06,160.150,12238.05,128.12,-16.55%,25.00%,5.694,13.47%,49.34
30,2026-01-05,160.792,24199.79,132.49,-16.69%,21.37%,5.694,26.16%,51.02
