序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,146.457,6374.55,118.95,-10.21%,23.12%,9.101,4.79%,20.46
2,2026-02-12,145.902,5825.30,118.72,-10.02%,22.89%,9.101,4.39%,20.42
3,2026-02-11,146.558,7130.65,120.47,-10.21%,21.66%,9.101,5.34%,20.72
4,2026-02-10,145.080,8063.67,118.78,-9.74%,22.14%,9.101,6.08%,20.43
5,2026-02-09,146.841,6967.09,119.83,-10.28%,22.55%,9.101,5.25%,20.61
6,2026-02-06,144.188,9703.51,117.73,-9.41%,22.47%,9.101,7.39%,20.25
7,2026-02-05,142.605,8664.51,116.74,-8.89%,22.15%,9.101,6.69%,20.08
8,2026-02-04,143.632,8770.86,118.49,-9.21%,21.22%,9.101,6.74%,20.38
9,2026-02-03,144.243,15455.31,119.48,-9.39%,20.73%,9.101,11.87%,20.55
10,2026-02-02,141.649,14184.68,118.61,-8.55%,19.43%,9.101,10.90%,20.40
11,2026-01-30,146.770,13663.04,125.52,-10.12%,16.93%,9.101,10.29%,21.59
12,2026-01-29,147.394,7041.27,123.90,-10.30%,18.97%,9.101,5.22%,21.31
13,2026-01-28,148.897,8645.69,126.74,-10.74%,17.48%,9.101,6.40%,21.80
14,2026-01-27,147.323,7050.49,125.99,-10.25%,16.93%,9.101,5.30%,21.67
15,2026-01-26,146.580,9740.68,124.94,-10.01%,17.32%,9.101,7.25%,21.49
16,2026-01-23,147.937,6580.52,123.49,-10.38%,19.80%,9.101,4.89%,21.24
17,2026-01-22,147.569,6342.93,124.42,-10.26%,18.61%,9.101,4.72%,21.40
18,2026-01-21,148.459,8441.47,126.22,-10.51%,17.62%,9.101,6.29%,21.71
19,2026-01-20,147.441,7383.76,125.52,-10.19%,17.46%,9.101,5.53%,21.59
20,2026-01-19,145.829,11144.76,123.02,-9.70%,18.54%,9.101,8.43%,21.16
21,2026-01-16,145.199,7837.27,120.70,-9.47%,20.30%,9.101,5.94%,20.76
22,2026-01-15,145.308,8826.59,120.47,-9.49%,20.62%,9.101,6.73%,20.72
23,2026-01-14,142.487,5397.36,116.74,-8.61%,22.05%,9.101,4.14%,20.08
24,2026-01-13,142.122,7511.15,115.00,-8.48%,23.58%,9.101,5.78%,19.78
25,2026-01-12,142.842,4097.63,113.43,-8.70%,25.93%,9.101,3.16%,19.51
26,2026-01-09,141.955,5564.40,113.37,-8.39%,25.21%,9.101,4.32%,19.50
27,2026-01-08,140.915,4155.80,113.08,-8.05%,24.61%,9.101,3.24%,19.45
28,2026-01-07,140.615,4565.57,112.56,-7.94%,24.93%,9.101,3.57%,19.36
29,2026-01-06,140.151,7106.80,112.56,-7.79%,24.51%,9.101,5.56%,19.36
30,2026-01-05,138.916,5811.47,112.67,-7.38%,23.29%,9.101,4.58%,19.38
