序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,144.575,393014.68,98.82,-9.16%,46.31%,4.994,536.63%,11.68
2,2026-02-12,138.914,104357.76,89.85,-7.38%,54.61%,4.995,148.90%,10.62
3,2026-02-11,139.936,314480.35,95.43,-7.70%,46.64%,4.995,431.26%,11.28
4,2026-02-10,145.020,465531.15,92.72,-9.26%,56.40%,4.995,609.58%,10.96
5,2026-02-09,146.894,315633.78,84.26,-9.81%,74.33%,4.997,433.53%,9.96
6,2026-02-06,131.220,2707.75,76.57,-4.77%,71.38%,4.998,4.13%,9.05
7,2026-02-05,130.649,3455.62,76.57,-4.56%,70.64%,4.998,5.28%,9.05
8,2026-02-04,131.376,3559.68,76.57,-4.81%,71.59%,4.998,5.43%,9.05
9,2026-02-03,131.645,3986.06,78.09,-4.89%,68.59%,4.998,6.10%,9.23
10,2026-02-02,129.273,5098.34,76.40,-4.06%,69.21%,4.998,7.83%,9.03
11,2026-01-30,131.365,6194.44,78.68,-4.77%,66.96%,4.998,9.38%,9.30
12,2026-01-29,133.291,7363.51,79.02,-5.42%,68.68%,4.998,10.94%,9.34
13,2026-01-28,133.679,2912.90,77.50,-5.54%,72.50%,4.998,4.37%,9.16
14,2026-01-27,132.721,4086.25,79.10,-5.22%,67.78%,4.998,6.17%,9.35
15,2026-01-26,132.772,4869.79,79.87,-5.23%,66.25%,4.998,7.31%,9.44
16,2026-01-23,133.849,6075.81,81.98,-5.57%,63.27%,4.998,9.07%,9.69
17,2026-01-22,133.299,6843.41,80.80,-5.38%,64.98%,4.998,10.29%,9.55
18,2026-01-21,132.454,5779.02,78.60,-5.09%,68.53%,4.998,8.68%,9.29
19,2026-01-20,135.168,3364.19,87.14,-5.98%,55.12%,4.998,4.97%,10.30
20,2026-01-19,134.762,3106.47,87.39,-5.84%,54.20%,4.998,4.61%,10.33
21,2026-01-16,134.777,6025.11,87.90,-5.82%,53.33%,4.998,8.98%,10.39
22,2026-01-15,135.111,4537.49,90.78,-5.92%,48.84%,4.998,6.73%,10.73
23,2026-01-14,135.574,11852.09,92.30,-6.06%,46.88%,4.998,17.31%,10.91
24,2026-01-13,135.000,7875.75,89.76,-5.87%,50.40%,4.998,11.54%,10.61
25,2026-01-12,136.291,7361.55,91.71,-6.28%,48.61%,4.998,10.87%,10.84
26,2026-01-09,133.208,5932.43,87.82,-5.26%,51.69%,4.998,8.92%,10.38
27,2026-01-08,131.604,4621.92,84.60,-4.72%,55.56%,4.998,7.02%,10.00
28,2026-01-07,130.873,4191.05,84.43,-4.47%,55.00%,4.998,6.39%,9.98
29,2026-01-06,131.810,5930.43,86.63,-4.78%,52.15%,4.998,8.99%,10.24
30,2026-01-05,130.841,11669.51,84.86,-4.45%,54.19%,4.998,18.01%,10.03
