序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,155.608,22308.00,133.42,-14.07%,16.63%,1.374,101.90%,10.74
2,2026-01-19,157.589,17265.06,136.27,-14.55%,15.64%,1.374,79.51%,10.97
3,2026-01-16,158.167,75068.24,131.18,-14.64%,20.57%,1.374,350.30%,10.56
4,2026-01-15,148.482,2373.98,119.26,-12.15%,24.51%,1.374,11.64%,9.60
5,2026-01-14,148.365,5100.27,118.88,-12.10%,24.80%,1.374,24.79%,9.57
6,2026-01-13,149.612,4087.50,119.50,-12.42%,25.20%,1.374,19.82%,9.62
7,2026-01-12,152.298,5732.16,124.47,-13.10%,22.36%,1.374,27.51%,10.02
8,2026-01-09,149.129,3310.30,120.00,-12.23%,24.27%,1.374,16.14%,9.66
9,2026-01-08,148.915,2900.26,119.63,-12.16%,24.48%,1.374,14.14%,9.63
10,2026-01-07,149.472,4340.75,120.50,-12.30%,24.05%,1.374,21.18%,9.70
11,2026-01-06,147.718,3079.34,117.52,-11.82%,25.70%,1.374,15.21%,9.46
12,2026-01-05,145.680,2366.53,115.65,-11.25%,25.96%,1.374,11.83%,9.31
13,2025-12-31,145.200,2820.67,116.40,-11.06%,24.74%,1.374,14.18%,9.37
14,2025-12-30,145.144,1871.14,117.02,-11.03%,24.03%,1.374,9.37%,9.42
15,2025-12-29,145.585,2123.98,119.01,-11.14%,22.33%,1.374,10.62%,9.58
16,2025-12-26,146.129,3768.36,118.51,-11.25%,23.31%,1.374,18.67%,9.54
17,2025-12-25,148.410,4270.81,121.99,-11.84%,21.66%,1.374,21.01%,9.82
18,2025-12-24,146.660,5301.71,120.50,-11.36%,21.71%,1.374,26.28%,9.70
19,2025-12-23,145.124,3444.63,117.14,-10.94%,23.89%,1.374,17.23%,9.43
20,2025-12-22,145.974,3437.28,117.39,-11.15%,24.35%,1.374,17.15%,9.45
21,2025-12-19,146.403,7732.33,118.76,-11.23%,23.28%,1.374,38.49%,9.56
22,2025-12-18,145.507,21012.28,116.52,-10.98%,24.88%,1.374,104.61%,9.38
23,2025-12-17,145.106,75612.52,117.89,-10.86%,23.09%,1.374,377.72%,9.49
24,2025-12-16,141.180,7669.11,109.32,-9.77%,29.15%,1.374,39.30%,8.80
25,2025-12-15,143.765,54067.67,115.65,-10.47%,24.31%,1.374,266.13%,9.31
26,2025-12-12,142.582,17924.84,114.29,-10.12%,24.76%,1.374,91.44%,9.20
27,2025-12-11,139.342,1335.61,108.32,-9.20%,28.64%,1.374,6.97%,8.72
28,2025-12-10,140.464,994.92,111.55,-9.51%,25.92%,1.374,5.15%,8.98
29,2025-12-09,141.386,1214.62,113.29,-9.75%,24.80%,1.374,6.25%,9.12
30,2025-12-08,142.084,2279.76,114.29,-9.93%,24.32%,1.374,11.68%,9.20
