序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,125.304,2570.36,70.37,-4.27%,78.07%,8.997,2.28%,17.62
2,2026-01-19,125.338,1596.86,71.13,-4.28%,76.22%,8.997,1.42%,17.81
3,2026-01-16,125.045,3451.80,71.29,-4.16%,75.41%,8.997,3.07%,17.85
4,2026-01-15,125.106,3510.14,71.85,-4.18%,74.13%,8.997,3.13%,17.99
5,2026-01-14,124.538,5215.03,71.21,-3.98%,74.90%,8.997,4.66%,17.83
6,2026-01-13,124.056,4648.20,69.57,-3.81%,78.32%,8.997,4.13%,17.42
7,2026-01-12,124.934,7330.05,70.57,-4.11%,77.04%,8.997,6.52%,17.67
8,2026-01-09,125.010,2671.63,69.73,-4.12%,79.28%,8.997,2.38%,17.46
9,2026-01-08,123.996,6010.23,69.73,-3.76%,77.83%,8.997,5.37%,17.46
10,2026-01-07,124.629,2560.04,69.21,-3.98%,80.08%,8.997,2.28%,17.33
11,2026-01-06,124.697,2750.68,70.13,-4.00%,77.81%,8.997,2.45%,17.56
12,2026-01-05,124.072,1714.45,68.85,-3.78%,80.21%,8.997,1.54%,17.24
13,2025-12-31,122.912,1497.80,68.73,-3.36%,78.83%,8.997,1.36%,17.21
14,2025-12-30,122.375,1718.86,69.41,-3.16%,76.31%,8.997,1.56%,17.38
15,2025-12-29,121.969,1987.29,69.41,-3.02%,75.73%,8.997,1.81%,17.38
16,2025-12-26,121.980,2463.88,68.49,-3.01%,78.10%,8.997,2.25%,17.15
17,2025-12-25,121.470,3345.17,67.97,-2.83%,78.71%,8.997,3.07%,17.02
18,2025-12-24,121.000,1941.17,67.65,-2.66%,78.86%,8.997,1.79%,16.94
19,2025-12-23,120.875,1465.72,67.77,-2.62%,78.36%,8.997,1.35%,16.97
20,2025-12-22,121.365,1691.62,68.45,-2.78%,77.30%,8.997,1.55%,17.14
21,2025-12-19,121.333,1174.55,69.17,-2.76%,75.41%,8.997,1.08%,17.32
22,2025-12-18,121.097,1189.84,68.89,-2.68%,75.78%,8.997,1.09%,17.25
23,2025-12-17,121.411,2619.16,70.21,-2.78%,72.93%,8.997,2.40%,17.58
24,2025-12-16,120.953,1427.37,68.97,-2.62%,75.37%,8.997,1.31%,17.27
25,2025-12-15,122.203,1563.65,70.65,-3.05%,72.98%,8.997,1.43%,17.69
26,2025-12-12,121.518,1499.78,69.09,-2.81%,75.89%,8.997,1.37%,17.30
27,2025-12-11,121.738,855.86,68.41,-2.88%,77.95%,8.997,0.78%,17.13
28,2025-12-10,121.912,1201.22,69.01,-2.93%,76.66%,8.997,1.10%,17.28
29,2025-12-09,121.585,1308.59,68.21,-2.82%,78.25%,8.997,1.19%,17.08
30,2025-12-08,121.907,3437.02,67.53,-2.93%,80.52%,8.997,3.13%,16.91
